symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
NVR,1Month,1Min,0.001,1.0,10,0.10604380873727726,-0.12691115539002218,1.1441485385809267,1.1422157674614772,0.10578402367910333,-0.03036008117771174,-0.07224602032091912,0.5256821829855538,1246
NVR,1Month,1Min,0.001,1.0,20,0.09505906892578886,-0.12691115539002218,1.0552952793673853,1.007394783174948,0.09488254727703758,-0.020629406569350382,-0.06823918591536139,0.5287111867290515,1175
NVR,1Month,1Min,0.001,1.0,30,0.14586105995029408,-0.12691115539002218,1.5658983378232982,1.4488637844118477,0.1456635859862008,-0.0230780231261147,-0.06344405863011218,0.5360871538810713,1101
NVR,1Month,1Min,0.001,1.5,10,0.11450154752798025,-0.12691115539002218,1.279689830581765,1.2022084320874469,0.1145972813419767,0.011188042856716112,-0.07480368520294062,0.5293308890925756,1091
NVR,1Month,1Min,0.001,1.5,20,0.06937267833852534,-0.12691115539002218,0.8345105419370255,0.73541139627328,0.06948503694863326,0.013130918875278829,-0.07113143666753231,0.5282641320660331,999
NVR,1Month,1Min,0.001,1.5,30,0.05184648632155575,-0.12691115539002218,0.6546572626540563,0.5382046854844248,0.05209027171509559,0.028490261872007833,-0.08659466081711659,0.5251716247139588,874
NVR,1Month,1Min,0.001,2.0,10,0.06471009295121366,-0.12691115539002218,0.811835447873726,0.6785289167831524,0.06492589876089788,0.025220395455724905,-0.07874177629637112,0.5257617728531856,902
NVR,1Month,1Min,0.001,2.0,20,0.07960658393623143,-0.12691115539002218,1.0433146707883154,0.8612406328505006,0.07957988694420803,-0.0031199748389251713,-0.05171391948339406,0.5262820512820513,780
NVR,1Month,1Min,0.001,2.0,30,0.08590633773086953,-0.12691115539002218,1.1740229294211795,0.9645196836260125,0.0861365264545272,0.02690127132624441,-0.06536103875393609,0.5180635838150289,692
NVR,1Month,1Min,0.01,1.0,10,-0.025101339174354753,-0.12691115539002218,-0.21711646538890159,-0.2517554815159637,-0.025003112858197438,0.01147933200348722,-0.1134879545143273,0.5149330587023687,1456
NVR,1Month,1Min,0.01,1.0,20,0.011565779248601471,-0.12691115539002218,0.16871185646982906,0.1920287385616979,0.011575882916816271,0.0011807768674232963,-0.10553485887655784,0.5172782329889561,1403
NVR,1Month,1Min,0.01,1.0,30,0.01678992250160749,-0.12691115539002218,0.22380645665226812,0.2507781510398273,0.016867141906334048,0.009024335011690053,-0.09684665866068,0.5190197512801755,1367
NVR,1Month,1Min,0.01,1.5,10,-0.012865835334766706,-0.12691115539002218,-0.09141305634457107,-0.10306838665067923,-0.012798735583764778,0.007841689979178683,-0.10197268969616173,0.5145348837209303,1376
NVR,1Month,1Min,0.01,1.5,20,0.0194089445243133,-0.12691115539002218,0.25654301516507816,0.2904764715128434,0.019553426006124832,0.01688499541623979,-0.08442620881151452,0.518095238095238,1312
