symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
NWSA,1Month,1Min,0.001,1.0,10,0.09016280290513956,0.052172014843920644,1.0464289707014425,1.2027453047282015,0.08960190861600995,0.020796514139722493,-0.04097607588649509,0.5067857142857143,2800
NWSA,1Month,1Min,0.001,1.0,20,0.058782846110692955,0.052172014843920644,0.7143252152378863,0.7928818029603683,0.05839321748639642,0.014446424845931961,-0.04262300489549957,0.5067120438646247,2644
NWSA,1Month,1Min,0.001,1.0,30,0.09326642874097457,0.052172014843920644,1.0943649446217647,1.1834686063541922,0.09313686019544264,0.0048040676138805995,-0.04034260759335922,0.5102409638554217,2490
NWSA,1Month,1Min,0.001,1.5,10,0.07880495215336825,0.052172014843920644,0.9642220965881949,1.0294587164149684,0.0781771824043806,0.023276083772524846,-0.04453729296528618,0.5084988736432521,2441
NWSA,1Month,1Min,0.001,1.5,20,0.029287261739547432,0.052172014843920644,0.3959293151244544,0.40055751616660706,0.029133014814016568,0.005719078318285405,-0.05783451197810681,0.4990796134376438,2173
NWSA,1Month,1Min,0.001,1.5,30,0.035976695144636084,0.052172014843920644,0.48149454406404907,0.4570919389439059,0.03621164465665978,-0.00871132215752093,-0.049731722379020134,0.501287332646756,1942
NWSA,1Month,1Min,0.001,2.0,10,0.04182263365224603,0.052172014843920644,0.563912252768637,0.5748507945997288,0.04181876112302118,0.00014358339947830533,-0.035764950492739554,0.5006122948812148,2041
NWSA,1Month,1Min,0.001,2.0,20,0.014735389037889624,0.052172014843920644,0.23023339537200502,0.2144404202536815,0.014755676162013183,-0.0007521942581098421,-0.04714765803652048,0.49725195256002314,1728
NWSA,1Month,1Min,0.001,2.0,30,0.05396284220178238,0.052172014843920644,0.7596043614276495,0.7114820415400731,0.05385688878110089,0.003928479669090351,-0.0419891665480999,0.49827228749136143,1447
NWSA,1Month,1Min,0.01,1.0,10,0.140588692834287,0.052172014843920644,1.5634055373293883,1.9857905344928883,0.1401528060266385,0.016161559021481506,-0.05724442013704939,0.5070197830248884,3134
