symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ORLY,1Month,1Min,0.001,1.0,10,0.16193600418806642,-0.09305210918114148,1.8176756105249978,2.329467816932456,0.1621095266806431,-0.007114237952451228,-0.048652304521015634,0.4944029850746269,3216
ORLY,1Month,1Min,0.001,1.0,20,0.20244292870076985,-0.09305210918114148,2.28295051501633,2.9721721279885402,0.20214055397987546,0.012397042500400688,-0.04308834281637545,0.4959390021548152,3016
ORLY,1Month,1Min,0.001,1.0,30,0.18812117328163946,-0.09305210918114148,2.11214864112764,2.552505766958505,0.18782290791990883,0.012228563137934327,-0.041788630875813006,0.49541760332007606,2891
ORLY,1Month,1Min,0.001,1.5,10,0.20042967636493736,-0.09305210918114148,2.3855385966854143,3.206718458112402,0.20050918299187026,-0.0032596872854824183,-0.05106662657933964,0.49383818539024826,2799
ORLY,1Month,1Min,0.001,1.5,20,0.2270075058158032,-0.09305210918114148,2.6719253884569896,3.299876717002073,0.2267919098905272,0.008839204020277257,-0.040363450734872394,0.49440894568690097,2504
ORLY,1Month,1Min,0.001,1.5,30,0.2533127267591846,-0.09305210918114148,2.9801495974045715,3.568608941733753,0.25291733671172073,0.01621057212767761,-0.04364714835015369,0.49785223367697595,2328
ORLY,1Month,1Min,0.001,2.0,10,0.22087579888429643,-0.09305210918114148,2.83643521489361,3.831143964829792,0.220947236021432,-0.002928846771836219,-0.041124034390652424,0.4953330504879084,2357
ORLY,1Month,1Min,0.001,2.0,20,0.29828672739502804,-0.09305210918114148,3.6578389328472825,4.43908987335531,0.2981335690515262,0.0062793294626846885,-0.030125752782222147,0.4996186117467582,1966
ORLY,1Month,1Min,0.001,2.0,30,0.2688104407531611,-0.09305210918114148,3.41558659776819,3.7573946128887536,0.26830454016384353,0.02074138700548917,-0.030261217569543745,0.49773345421577514,1654
ORLY,1Month,1Min,0.01,1.0,10,0.2094400570202135,-0.09305210918114148,2.1833860382209136,2.9543433023888652,0.2087686863222924,0.027525485764925826,-0.03362338140653858,0.49450096233159196,3637
ORLY,1Month,1Min,0.01,1.0,20,0.22255751063048623,-0.09305210918114148,2.33788595553785,3.1180200430593885,0.22172306955070253,0.034211198275969565,-0.031248080193350514,0.4957142857142857,3500
ORLY,1Month,1Min,0.01,1.0,30,0.2062435415855952,-0.09305210918114148,2.1778690900094397,2.8086850261270744,0.20547100793946146,0.031673059228567786,-0.030831904850894508,0.49419373805673966,3401
ORLY,1Month,1Min,0.01,1.5,10,0.2152103582499536,-0.09305210918114148,2.3354824632234377,3.1079335646611357,0.2149864023863113,0.009181952616856916,-0.032694024432278264,0.49444281953787655,3419
ORLY,1Month,1Min,0.01,1.5,20,0.26515626422466965,-0.09305210918114148,2.871637505702973,3.943938705412658,0.2643765763548399,0.03196637480387189,-0.031248080193350014,0.4949431099873578,3164
ORLY,1Month,1Min,0.01,1.5,30,0.2579455865094029,-0.09305210918114148,2.8312524559876993,3.8060582386766506,0.2570559651261265,0.03647353212967525,-0.028280225018961127,0.49300466355762823,3002
ORLY,1Month,1Min,0.01,2.0,10,0.22042135283720743,-0.09305210918114148,2.537919874931568,3.644336300905521,0.21977437988744675,0.02652520399545621,-0.03186851486685405,0.4934713375796178,3140
ORLY,1Month,1Min,0.01,2.0,20,0.2953868098630039,-0.09305210918114148,3.318917003008307,4.539692009015684,0.294641458466802,0.030558615843006617,-0.028627169507833776,0.49726872246696036,2837
ORLY,1Month,1Min,0.01,2.0,30,0.25155288651234264,-0.09305210918114148,2.880876124604179,3.602939322837974,0.25037350279559867,0.04835348013719256,-0.026417949255511927,0.49572324653107774,2630
ORLY,1Month,1Min,0.1,1.0,10,0.17393412576299339,-0.09305210918114148,1.8140287870468235,2.4381073290482127,0.1726006869977567,0.05466957355239562,-0.04396155896297759,0.49640945293119204,3829
ORLY,1Month,1Min,0.1,1.0,20,0.19367726258509443,-0.09305210918114148,2.0064660062103754,2.67740273105853,0.192210404502676,0.060139623894514896,-0.04201155708261722,0.4970596097300187,3741
ORLY,1Month,1Min,0.1,1.0,30,0.1806978116128295,-0.09305210918114148,1.8893750711113602,2.4809543614816887,0.17927362869739674,0.05838998735986046,-0.04161241601999846,0.49678214432425033,3651
ORLY,1Month,1Min,0.1,1.5,10,0.18651085586176297,-0.09305210918114148,2.030742400254056,2.8404851771503115,0.1851187902260366,0.057073212993471754,-0.04396155896297629,0.4955860382996061,3681
ORLY,1Month,1Min,0.1,1.5,20,0.22044104084969884,-0.09305210918114148,2.318760717333355,3.0961244765693205,0.2190033367226896,0.05894434267790745,-0.04201155708261722,0.4989491382934006,3568
