symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
PFG,1Month,1Min,0.001,1.0,10,0.099322026920174,-0.05226328449595441,0.7394733024416067,0.7041001001594179,0.09847170801325113,0.05257527906548871,-0.1139743882980396,0.5104377104377105,2970
PFG,1Month,1Min,0.001,1.0,20,0.07523103616819138,-0.05226328449595441,0.5902063888353095,0.5491928150413857,0.07427146774541823,0.059330184474312014,-0.1222366166263261,0.5087687902648532,2794
PFG,1Month,1Min,0.001,1.0,30,0.08062459674721456,-0.05226328449595441,0.6284474529865003,0.5682097676677026,0.07951795372650818,0.0684238174240567,-0.10634593678032185,0.5073835668307459,2641
PFG,1Month,1Min,0.001,1.5,10,0.07791490175388605,-0.05226328449595441,0.6099970938619138,0.5352117904435212,0.0773459586347234,0.03517779390630319,-0.11311342283391172,0.5149942329873126,2601
PFG,1Month,1Min,0.001,1.5,20,0.056067347379448185,-0.05226328449595441,0.4672992427430766,0.390646950055069,0.055083640798264076,0.06082264854191188,-0.12089518224507914,0.5099236641221374,2292
PFG,1Month,1Min,0.001,1.5,30,0.09098857858982101,-0.05226328449595441,0.7135113798768951,0.5783816549791244,0.0898839729927329,0.06829784337545694,-0.1062508711077335,0.5103529411764706,2125
PFG,1Month,1Min,0.001,2.0,10,0.019185176271729665,-0.05226328449595441,0.208398353298868,0.16678849165949414,0.018560630103889385,0.03861573439818012,-0.13897612262228382,0.5108164689462665,2149
PFG,1Month,1Min,0.001,2.0,20,0.03824298916877322,-0.05226328449595441,0.3545607530035295,0.2544037227801973,0.037811298494399945,0.02669146539064649,-0.12771728681349032,0.5127262443438914,1768
PFG,1Month,1Min,0.001,2.0,30,0.06087425832919524,-0.05226328449595441,0.5249914195670478,0.3497869501811199,0.06015605944768666,0.044406288408286046,-0.11387503827632645,0.5211716014008277,1570
PFG,1Month,1Min,0.01,1.0,10,0.0772801680352222,-0.05226328449595441,0.5940500935831946,0.6229009976736543,0.07634508702106758,0.05781612624130281,-0.15901264018726202,0.5005979073243647,3345
PFG,1Month,1Min,0.01,1.0,20,0.05298763697492581,-0.05226328449595441,0.43574831509903234,0.44572348548205204,0.05198003565037784,0.06230006223967322,-0.1636589123088778,0.5010923845193508,3204
PFG,1Month,1Min,0.01,1.0,30,0.05996080406807436,-0.05226328449595441,0.48346589274953505,0.48722116360018025,0.05908696939839655,0.05402926036499065,-0.1594844785367091,0.5013619612241628,3120
PFG,1Month,1Min,0.01,1.5,10,0.0508452709568461,-0.05226328449595441,0.4223143776044878,0.42645235837195844,0.04981719711045114,0.06356587973534077,-0.1531479809086906,0.5023070803500398,3142
PFG,1Month,1Min,0.01,1.5,20,0.06417039470708974,-0.05226328449595441,0.5152082244179095,0.5018515440384331,0.06304231142437884,0.06974947036314416,-0.1449033913096105,0.5024622176940058,2944
PFG,1Month,1Min,0.01,1.5,30,0.07835799602578497,-0.05226328449595441,0.6122859355000055,0.5806426029109724,0.07740010753013274,0.059226314459811975,-0.13418077549618607,0.5025934537649794,2795
PFG,1Month,1Min,0.01,2.0,10,0.06007519880146717,-0.05226328449595441,0.49388836861078766,0.4837839600831085,0.05899462441808437,0.06681199170668602,-0.15178026842309394,0.5022237427300719,2923
PFG,1Month,1Min,0.01,2.0,20,0.05110110668137979,-0.05226328449595441,0.4346195429457246,0.40362582566157873,0.05014675581537954,0.059007582564438034,-0.134057872793826,0.502449133383572,2654
PFG,1Month,1Min,0.01,2.0,30,0.04579034681179461,-0.05226328449595441,0.39850723794890613,0.3543678444702278,0.04479536721792268,0.06151965972576963,-0.14273296067504185,0.5032639738882089,2451
PFG,1Month,1Min,0.1,1.0,10,0.14617807686970097,-0.05226328449595441,1.0299272989189445,1.1460176979155228,0.14437137113972845,0.11170874500046632,-0.13105055435482296,0.5036445192038127,3567
PFG,1Month,1Min,0.1,1.0,20,0.12067035578021423,-0.05226328449595441,0.8754423296568151,0.9610825689727884,0.11888317781921286,0.11050134164294391,-0.12846271959381877,0.5015114437886857,3473
PFG,1Month,1Min,0.1,1.0,30,0.12894042625133428,-0.05226328449595441,0.9297898746475652,1.0098636411697168,0.1270343089584924,0.1178553690701433,-0.1164213681889456,0.5017590149516271,3411
PFG,1Month,1Min,0.1,1.5,10,0.12431271603207139,-0.05226328449595441,0.9007526541483273,0.9860931464519035,0.1223748633716785,0.11981756912433102,-0.1281850868010563,0.5013024602026049,3455
PFG,1Month,1Min,0.1,1.5,20,0.0902052267016833,-0.05226328449595441,0.686316318858976,0.733924076295475,0.08836492622126839,0.11378591083232639,-0.13558141621279463,0.5010479041916168,3340
PFG,1Month,1Min,0.1,1.5,30,0.06487892592675548,-0.05226328449595441,0.5198561301190644,0.5479172261245405,0.06309765175120437,0.11013631016467947,-0.14100480807022034,0.49930737263352315,3248
PFG,1Month,1Min,0.1,2.0,10,0.07925741158850874,-0.05226328449595441,0.6164649118115515,0.6613870380693737,0.0773464260806544,0.11815637115388834,-0.1391949470153244,0.49902329075882795,3327
PFG,1Month,1Min,0.1,2.0,20,0.04517812349284278,-0.05226328449595441,0.3880052901231308,0.4044146931054602,0.04320577000246981,0.12195075791905925,-0.14606646908204393,0.4965299684542587,3170
PFG,1Month,1Min,0.1,2.0,30,0.044521734356949505,-0.05226328449595441,0.3834368835502774,0.39497103346634704,0.04262267682179176,0.11741886374566313,-0.14519263558712472,0.49629032258064515,3100
PFG,1Month,5Min,0.001,1.0,10,0.10295191369163548,-0.049509293272657295,0.7945684919786739,0.7862969024412281,0.10026958380822672,0.11825385661627187,-0.11711200809395224,0.5087463556851312,686
PFG,1Month,5Min,0.001,1.0,20,0.09675786804008268,-0.049509293272657295,0.7584441822256911,0.7149842818996897,0.09377888946718571,0.131331983885079,-0.1081800460029313,0.5076305220883535,622
PFG,1Month,5Min,0.001,1.0,30,0.16456975429171172,-0.049509293272657295,1.3741715529221836,1.6521861054444653,0.16102768255231892,0.15615664806388527,-0.09589855297373126,0.5066904549509367,560
PFG,1Month,5Min,0.001,1.5,10,0.0458882595153447,-0.049509293272657295,0.4043419213908708,0.37273879057585885,0.04288161696095895,0.1325515849940416,-0.1297191992370587,0.5032840722495895,609
PFG,1Month,5Min,0.001,1.5,20,0.0444592752303028,-0.049509293272657295,0.395456169616849,0.3386533157066474,0.04146037685340312,0.1322101732759253,-0.13221950775157623,0.49710982658959535,519
PFG,1Month,5Min,0.001,1.5,30,0.1479442542936389,-0.049509293272657295,1.2714818877102734,1.3601112040759726,0.14467179874669214,0.1442702821250237,-0.11212991060214775,0.5054704595185996,457
PFG,1Month,5Min,0.001,2.0,10,0.08542328205680727,-0.049509293272657295,0.7999424665961873,0.869348101121238,0.08265576403025843,0.12200948209940322,-0.10310813383173253,0.49898373983739835,492
PFG,1Month,5Min,0.001,2.0,20,0.18494125333597822,-0.049509293272657295,1.674370797476187,2.3132546625760244,0.18154813175153706,0.14958999480636848,-0.06646285960461237,0.5052631578947369,427
PFG,1Month,5Min,0.001,2.0,30,0.0776194300210582,-0.049509293272657295,0.7531377287036657,0.6810973838484952,0.07446420448232868,0.1391020510776077,-0.10003656618111906,0.4978540772532189,349
PFG,1Month,5Min,0.01,1.0,10,0.11905714749225615,-0.049509293272657295,0.898791725803517,0.9301887261548046,0.11276135748907472,0.2775577504196644,-0.07442854091457834,0.5112582781456954,755
PFG,1Month,5Min,0.01,1.0,20,0.18216767066887307,-0.049509293272657295,1.3660323251269788,1.475716843516016,0.17646849074127913,0.25125545152245043,-0.07561788919240599,0.5142262317834837,720
PFG,1Month,5Min,0.01,1.0,30,0.21362222159291822,-0.049509293272657295,1.7984057778078983,2.9994084815329876,0.2074969490484856,0.27004027568914074,-0.06527453187693018,0.5138004246284501,706
PFG,1Month,5Min,0.01,1.5,10,0.16315144134092052,-0.049509293272657295,1.3447685205154833,1.7668555625216602,0.15751208928736266,0.24861786511606535,-0.08223024307068855,0.5092329545454546,704
PFG,1Month,5Min,0.01,1.5,20,0.24667102501021665,-0.049509293272657295,2.054616107064933,3.3284262778723313,0.2411981394587167,0.2412789818610518,-0.05963715919556044,0.5184905660377358,662
PFG,1Month,5Min,0.01,1.5,30,0.16346051113271365,-0.049509293272657295,1.440714487645755,2.2311309681409757,0.15853125260822057,0.21731250670748045,-0.071253324013527,0.5088,625
PFG,1Month,5Min,0.01,2.0,10,0.17176333341220618,-0.049509293272657295,1.429786287070212,1.8521004520387712,0.16614876538627554,0.24752523036314686,-0.07043718252409406,0.5116804822908817,663
PFG,1Month,5Min,0.01,2.0,20,0.19449695025932012,-0.049509293272657295,1.7144465238109514,2.68232721112405,0.1888187985255551,0.2503283973844308,-0.05588715673324677,0.5124677558039553,581
PFG,1Month,5Min,0.01,2.0,30,0.12826165140346402,-0.049509293272657295,1.2062498514385074,1.7556960767609224,0.12343630007710142,0.21273162835052511,-0.05973127535702191,0.5037383177570094,535
PFG,1Month,5Min,0.1,1.0,10,0.24501004624064482,-0.049509293272657295,1.8693025984247498,3.0508582832943865,0.23696529265833535,0.35466299000729273,-0.057696424748446336,0.5073108709472346,786
PFG,1Month,5Min,0.1,1.0,20,0.2521746364592883,-0.049509293272657295,1.9597315868745129,3.3624704624768795,0.2437981950420575,0.36928586168119015,-0.04653193017285148,0.5043189368770764,752
PFG,1Month,5Min,0.1,1.0,30,0.2616266867443242,-0.049509293272657295,2.0266480274642777,3.4426871564176573,0.25307078349540585,0.3771976602424866,-0.046531930172852225,0.5074525745257452,738
PFG,1Month,5Min,0.1,1.5,10,0.2668934472269038,-0.049509293272657295,2.0620436131289885,3.5498013716727206,0.2580947921322546,0.38789967796817565,-0.04646880415944556,0.5069490403706155,755
PFG,1Month,5Min,0.1,1.5,20,0.26028490390879244,-0.049509293272657295,2.0357026695147216,3.4206619450518607,0.25166628706208016,0.3799624673779871,-0.046468804159445445,0.5079805690492714,720
PFG,1Month,5Min,0.1,1.5,30,0.22754691670041827,-0.049509293272657295,1.8057074414325611,2.879886783625192,0.21925075541515834,0.3657466119886228,-0.046468804159445425,0.5085959885386819,698
PFG,1Month,5Min,0.1,2.0,10,0.2855795189823809,-0.049509293272657295,2.2101941669721237,3.7938849298300514,0.2769666463919842,0.3797092246777076,-0.04646880415944545,0.5082758620689655,725
PFG,1Month,5Min,0.1,2.0,20,0.22888032021170623,-0.049509293272657295,1.8309672304087334,2.9059956386810537,0.2206305240009957,0.36370254987990197,-0.04646880415944533,0.5066469719350074,677
PFG,1Month,5Min,0.1,2.0,30,0.23154172274357832,-0.049509293272657295,1.892152096355267,2.9710310742897987,0.22304966099543783,0.37438312809793145,-0.046468804159445966,0.5108695652173914,644
PFG,1Month,15Min,0.001,1.0,10,0.26610623954964807,-0.044637936735368644,2.1366738040456323,4.092619765498416,0.25971083094445124,0.25998210640845826,-0.06330754113679317,0.5098468271334792,228
PFG,1Month,15Min,0.001,1.0,20,0.16089848525775619,-0.044637936735368644,1.3039163167525356,1.675987398097134,0.15517178643156876,0.2327981393384679,-0.07433616461457264,0.5,197
PFG,1Month,15Min,0.001,1.0,30,0.1644491290000627,-0.044637936735368644,1.3790187985263176,1.6708526322581962,0.15973713996641742,0.19154879851542347,-0.05715034663152212,0.5137362637362637,182
PFG,1Month,15Min,0.001,1.5,10,0.23312559455797444,-0.044637936735368644,1.956233574077531,3.552431969386927,0.22802470854289264,0.2073579926813135,-0.050603672384023426,0.508557457212714,204
PFG,1Month,15Min,0.001,1.5,20,0.12699953514822604,-0.044637936735368644,1.177590669573393,1.8695435854686555,0.1217070756150485,0.2151457181952296,-0.07089358032308392,0.49002849002849,175
PFG,1Month,15Min,0.001,1.5,30,0.17513232793555078,-0.044637936735368644,1.6474423367651903,2.7217668796075394,0.17044489040073227,0.19055074651053944,-0.040171108091595666,0.5161290322580645,155
PFG,1Month,15Min,0.001,2.0,10,0.14846425568313193,-0.044637936735368644,1.3982460329723945,2.3099617307800715,0.14392634771844176,0.18447216498242197,-0.043549765579528256,0.5,160
PFG,1Month,15Min,0.001,2.0,20,0.10320070145858962,-0.044637936735368644,1.0201625331165523,1.4845232063691098,0.0975920612874348,0.22799889354982772,-0.05722964704626149,0.49473684210526314,142
PFG,1Month,15Min,0.001,2.0,30,0.17912867818203693,-0.044637936735368644,1.742715656014641,2.658774036202004,0.1730053044964954,0.2489235148790327,-0.02793268643177946,0.5296442687747036,126
PFG,1Month,15Min,0.01,1.0,10,0.25443438564742293,-0.044637936735368644,1.9279503720360958,3.4691791283392948,0.24115702565664882,0.5397428422540339,-0.04615884711236327,0.5,249
PFG,1Month,15Min,0.01,1.0,20,0.27085915632435675,-0.044637936735368644,2.0558616310531566,3.5359091750894747,0.2591087730986062,0.4776691484035711,-0.04615884711236298,0.5088495575221239,226
PFG,1Month,15Min,0.01,1.0,30,0.25542750543248394,-0.044637936735368644,2.010632831291195,3.371710919057071,0.24487397284317794,0.42901553317305824,-0.04615884711236306,0.508274231678487,211
PFG,1Month,15Min,0.01,1.5,10,0.24246259732392272,-0.044637936735368644,1.8827225769946656,3.2695475812652823,0.23194818751230523,0.4274251387542025,-0.04615884711236321,0.5010799136069114,231
PFG,1Month,15Min,0.01,1.5,20,0.22869242701642367,-0.044637936735368644,1.7947994868929964,2.96149642666651,0.21797068226134164,0.43585358776529287,-0.04615884711236331,0.49876543209876545,202
PFG,1Month,15Min,0.01,1.5,30,0.1919368176730265,-0.044637936735368644,1.6207048165340225,2.4866634444267857,0.17951416241788834,0.5049979258233059,-0.046158847112363045,0.5108108108108108,185
PFG,1Month,15Min,0.01,2.0,10,0.21679441379607822,-0.044637936735368644,1.7562250018593035,2.872828697307422,0.20615062335574896,0.43268463825726794,-0.04615884711236304,0.5083135391923991,210
PFG,1Month,15Min,0.01,2.0,20,0.16635412260309557,-0.044637936735368644,1.4196683804278603,2.208170096057719,0.15499370273310173,0.46181660466315105,-0.04615884711236299,0.4945652173913043,184
PFG,1Month,15Min,0.01,2.0,30,0.16823257249426593,-0.044637936735368644,1.477833430495813,2.180388522520835,0.15693518713800078,0.45925416547165093,-0.046158847112363094,0.5075075075075075,166
PFG,1Month,15Min,0.1,1.0,10,0.06221376791629174,-0.044637936735368644,0.5327891015241571,0.8281666555183054,0.0472641950503075,0.607720582614079,-0.08807904802379819,0.48201438848920863,278
PFG,1Month,15Min,0.1,1.0,20,0.04306986949221803,-0.044637936735368644,0.39298847342965904,0.5998242091880941,0.028151883539609648,0.6064365313858707,-0.08807904802380004,0.4751908396946565,262
PFG,1Month,15Min,0.1,1.0,30,0.0530228591613322,-0.044637936735368644,0.47303029050635736,0.7057222724048139,0.037911367939752444,0.6143027852148185,-0.08807904802379984,0.47657841140529533,245
PFG,1Month,15Min,0.1,1.5,10,0.07917039555663452,-0.044637936735368644,0.6604030222911951,1.0141234430724226,0.06436887558669799,0.6017020299068953,-0.08807904802379893,0.48333333333333334,270
PFG,1Month,15Min,0.1,1.5,20,0.04693497120550005,-0.044637936735368644,0.42249458755413066,0.6402852418517979,0.03206742571504197,0.604386057615142,-0.08807904802379915,0.4758220502901354,258
PFG,1Month,15Min,0.1,1.5,30,0.05012522342340575,-0.044637936735368644,0.4544606193401131,0.6753282716172267,0.033792922322134586,0.6639303764509004,-0.08807904802380011,0.4774590163934426,244
