symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
PHM,1Month,1Min,0.001,1.0,10,0.10331747032571736,-0.1754101823815224,0.9814922528003811,1.029576535462161,0.10267178265353316,0.03408334302813747,-0.0758392608675605,0.5121008403361345,2975
PHM,1Month,1Min,0.001,1.0,20,0.1298277940189121,-0.1754101823815224,1.233496645278611,1.2763313288530034,0.12914920136080138,0.035820269364172236,-0.07882970251302315,0.5126750576138982,2820
PHM,1Month,1Min,0.001,1.0,30,0.1355385115101806,-0.1754101823815224,1.2963394010333567,1.318751167764624,0.13438988998317553,0.060631266788764224,-0.0860915559210952,0.5141700404858299,2717
PHM,1Month,1Min,0.001,1.5,10,0.14543557562959974,-0.1754101823815224,1.419440655389172,1.4451266984011066,0.14455364343696056,0.04655377320058722,-0.07181712152198394,0.5160422670509126,2602
PHM,1Month,1Min,0.001,1.5,20,0.10684075775269397,-0.1754101823815224,1.1046228682060846,1.0649100664956594,0.1053524027659684,0.0785644758999446,-0.0693556472118424,0.5158940397350993,2265
PHM,1Month,1Min,0.001,1.5,30,0.11400709868055481,-0.1754101823815224,1.1888482461041314,1.1022823132939923,0.11288879674979085,0.05903081312722146,-0.0720212306906525,0.5177592371871276,2097
PHM,1Month,1Min,0.001,2.0,10,0.09913713718366535,-0.1754101823815224,1.066279246013027,0.9876045234773999,0.09802228195454783,0.05884887514142428,-0.07069888047081706,0.5178236397748592,2132
PHM,1Month,1Min,0.001,2.0,20,0.05995887070693162,-0.1754101823815224,0.6849042164571386,0.5686821012862946,0.05816837495493192,0.09451331275908177,-0.07162710199513479,0.5189283634245777,1717
PHM,1Month,1Min,0.001,2.0,30,0.06505228039804267,-0.1754101823815224,0.7547529998485841,0.5806526720664278,0.06394022906681479,0.05870086826796965,-0.06843188755590275,0.5155925155925156,1443
PHM,1Month,1Min,0.01,1.0,10,0.035545552206905695,-0.1754101823815224,0.36724527412038055,0.3910572961172252,0.03442191451215221,0.05931246737308521,-0.0826864690905831,0.5091403535277232,3309
PHM,1Month,1Min,0.01,1.0,20,0.04656649937857171,-0.1754101823815224,0.4655045124464921,0.48689641098203346,0.045471995458781306,0.05777460860862698,-0.08174871874926097,0.5090476190476191,3150
PHM,1Month,1Min,0.01,1.0,30,0.036366047431563464,-0.1754101823815224,0.37973995562190355,0.3886968900794773,0.035347629914438156,0.053758303088902226,-0.07975205548072534,0.5090579710144928,3036
PHM,1Month,1Min,0.01,1.5,10,0.04327013250176459,-0.1754101823815224,0.44551942367856434,0.4682646352059671,0.04229748530107119,0.051342265951042465,-0.07980847675963147,0.5085241110569898,3079
