symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
PH,1Month,1Min,0.001,1.0,10,0.2435219516357514,-0.08942115768463077,2.355327676461393,2.8654275638278395,0.2430413832670965,0.016050924130633602,-0.03753498268950894,0.5216180805764822,3053
PH,1Month,1Min,0.001,1.0,20,0.1927714643337266,-0.08942115768463077,1.9292994984820866,2.24451784426944,0.19250758040969876,0.008813690455158936,-0.03739716327493053,0.5207717712497827,2876
PH,1Month,1Min,0.001,1.0,30,0.20048885172665765,-0.08942115768463077,2.046633150477744,2.386873860389611,0.20065404061805978,-0.0055172885609185126,-0.03294328869218479,0.5214442815249267,2728
PH,1Month,1Min,0.001,1.5,10,0.17475365482511251,-0.08942115768463077,1.9382134590709217,2.18164207367073,0.1745192060055052,0.007830561604723419,-0.03812104792118613,0.5198104265402843,2637
PH,1Month,1Min,0.001,1.5,20,0.16343957053584068,-0.08942115768463077,1.8302128935762356,1.9565205881124212,0.16329793423221983,0.004730635039348731,-0.0383472714045604,0.5206240649711477,2339
PH,1Month,1Min,0.001,1.5,30,0.14377695838088855,-0.08942115768463077,1.6799805618791905,1.6497655568948904,0.14360428220258314,0.005767363018306112,-0.04141268147607025,0.5222812283537289,2165
PH,1Month,1Min,0.001,2.0,10,0.18598868826750947,-0.08942115768463077,2.186818257435039,2.2284273014665157,0.1868415066843053,-0.028484029740680757,-0.031025942834806135,0.5194106641721234,2138
PH,1Month,1Min,0.001,2.0,20,0.10442131944033406,-0.08942115768463077,1.351417605723442,1.2153926295226547,0.10450351069653693,-0.0027451778010405535,-0.03568330940407746,0.5152789458929072,1783
PH,1Month,1Min,0.001,2.0,30,0.09331091230442401,-0.08942115768463077,1.2153170330776293,1.0482182602483956,0.09328278964824943,0.0009392932411958287,-0.037946012513821334,0.5142225031605563,1582
PH,1Month,1Min,0.01,1.0,10,0.21488315125893864,-0.08942115768463077,2.110476133473418,2.789493176247134,0.21295828134264735,0.06429041735353389,-0.05418025680305969,0.5145731617103122,3379
PH,1Month,1Min,0.01,1.0,20,0.19050170616560225,-0.08942115768463077,1.9170751601743306,2.490600740292449,0.18826191042543444,0.07480890095653825,-0.05738329786831836,0.5134760511319882,3246
PH,1Month,1Min,0.01,1.0,30,0.20372364535369103,-0.08942115768463077,2.0481283900862377,2.628653426940348,0.20159596610578306,0.07106422396896941,-0.04879499948017137,0.5139020537124802,3165
PH,1Month,1Min,0.01,1.5,10,0.18855675115527037,-0.08942115768463077,1.9595570215265818,2.504068176830726,0.18730662805234974,0.04175395716346177,-0.0551418195854414,0.5137585493876252,3143
PH,1Month,1Min,0.01,1.5,20,0.22126391179370808,-0.08942115768463077,2.2916181227613723,3.0372633843558057,0.21982351580165782,0.04810904814892124,-0.045238236163103934,0.5149983147960904,2967
PH,1Month,1Min,0.01,1.5,30,0.1896765684691577,-0.08942115768463077,2.014457587213824,2.383202177191314,0.188228491847771,0.04836558021968614,-0.04292305339662086,0.5153024911032028,2810
PH,1Month,1Min,0.01,2.0,10,0.16786864571563576,-0.08942115768463077,1.9231350469583863,2.425064943890166,0.16692520829929666,0.03151069312789939,-0.04674823236435327,0.5153299844101853,2886
PH,1Month,1Min,0.01,2.0,20,0.22578075207443615,-0.08942115768463077,2.4647420160303475,3.0600618461878795,0.22526585525448675,0.0171974901620023,-0.04823800182707374,0.5156309569195577,2623
PH,1Month,1Min,0.01,2.0,30,0.21305402143149443,-0.08942115768463077,2.365122771580305,2.8295992551310705,0.21212667657732315,0.030973203540005594,-0.046095680160975164,0.5179299103504482,2454
PH,1Month,1Min,0.1,1.0,10,0.18007333810405268,-0.08942115768463077,1.8179331189481724,2.504938549285917,0.17695681117852527,0.10409161421241847,-0.08126903286286033,0.5044717719396311,3578
PH,1Month,1Min,0.1,1.0,20,0.16050917299498302,-0.08942115768463077,1.6501362906229835,2.2541184529443514,0.15704634856103192,0.11565790820279048,-0.07904322532907153,0.5024244152880776,3506
PH,1Month,1Min,0.1,1.0,30,0.1818117279563609,-0.08942115768463077,1.854571803611522,2.518027996392494,0.1784152352311719,0.11344243732655353,-0.07766590549054285,0.5030558789289872,3436
PH,1Month,1Min,0.1,1.5,10,0.1663534697415554,-0.08942115768463077,1.732854016001616,2.3573687023356205,0.1638283873069448,0.08433744129887792,-0.07313461619537567,0.5033217793183131,3462
PH,1Month,1Min,0.1,1.5,20,0.15677140535394796,-0.08942115768463077,1.6394873375044465,2.1998475765096996,0.1535282928143833,0.108319558079445,-0.07872591765781795,0.5019391408114559,3352
PH,1Month,1Min,0.1,1.5,30,0.12915418725580552,-0.08942115768463077,1.3850856575831902,1.825813179664362,0.12553254602999678,0.12096236942630452,-0.0813453404551601,0.5017684145778871,3251
PH,1Month,1Min,0.1,2.0,10,0.10517795696194021,-0.08942115768463077,1.1978956454670167,1.5672895880668076,0.10302043264357207,0.07206104563447069,-0.07438793575509212,0.5023255813953489,3332
PH,1Month,1Min,0.1,2.0,20,0.13390283556258664,-0.08942115768463077,1.468621187079945,1.9398309079639677,0.13130527566804634,0.08675817950470034,-0.07799013779810367,0.5021249803242562,3176
PH,1Month,1Min,0.1,2.0,30,0.11461211602887111,-0.08942115768463077,1.2606037867624778,1.6136140249415543,0.11115909078445875,0.11533061648305373,-0.08600370002493413,0.5018744906275469,3067
PH,1Month,5Min,0.001,1.0,10,0.127146692650991,-0.08942115768463077,1.52326762656642,2.2158463927731042,0.12371927771514635,0.1566332724106251,-0.06138935689826639,0.49604031677465804,694
PH,1Month,5Min,0.001,1.0,20,0.11727388082187762,-0.08942115768463077,1.4447819620929343,2.083649436491397,0.11378077277129149,0.15963545560974549,-0.06939805175507537,0.490226739640344,639
PH,1Month,5Min,0.001,1.0,30,0.12176478020008563,-0.08942115768463077,1.4868057295607708,1.9778975371838816,0.11773606780463514,0.18411263821640275,-0.068289329572352,0.49489795918367346,588
PH,1Month,5Min,0.001,1.5,10,0.14186978779532033,-0.08942115768463077,1.775722579269781,2.452544437734114,0.13951793092916653,0.10748014001295307,-0.06278625316195847,0.4995871180842279,605
PH,1Month,5Min,0.001,1.5,20,0.1436188303798427,-0.08942115768463077,1.8075497379944705,2.4273998585407943,0.1403225846948098,0.1506388219636065,-0.06340585807662956,0.5,536
PH,1Month,5Min,0.001,1.5,30,0.12724897406006352,-0.08942115768463077,1.6410145051310374,2.065277543799371,0.12353993753233727,0.16950341283528778,-0.05553053505059072,0.5005359056806002,466
PH,1Month,5Min,0.001,2.0,10,0.09002104765770658,-0.08942115768463077,1.26741471534352,1.560830541092211,0.08777287788788454,0.10274162731192293,-0.06072505612304285,0.49950248756218907,502
PH,1Month,5Min,0.001,2.0,20,0.11473781060657529,-0.08942115768463077,1.4966239071383423,1.8600610683369057,0.11070762183473616,0.18418010879390484,-0.06267585869335018,0.504739336492891,422
PH,1Month,5Min,0.001,2.0,30,0.11003509574974246,-0.08942115768463077,1.4937027394590623,1.7284067718833867,0.10562115470583132,0.20171763351582472,-0.06387236955072173,0.496617050067659,369
PH,1Month,5Min,0.01,1.0,10,0.17482058003320655,-0.08942115768463077,1.904344579044467,2.8627562385279353,0.17115103762567258,0.16769852681988345,-0.07997201205970977,0.49806201550387597,774
PH,1Month,5Min,0.01,1.0,20,0.1297957073563787,-0.08942115768463077,1.5192464309019196,2.181541817656295,0.1251992957947329,0.21005655799571005,-0.09397974743696934,0.494949494949495,742
PH,1Month,5Min,0.01,1.0,30,0.1442367117306116,-0.08942115768463077,1.6774854883826464,2.3750163947642866,0.13943542908152928,0.21941919118958048,-0.08906904115353602,0.49688581314878894,722
PH,1Month,5Min,0.01,1.5,10,0.1534515327063397,-0.08942115768463077,1.7844218495990438,2.5647817854249335,0.14978279247746087,0.1676618671594211,-0.0777567815275549,0.5017064846416383,732
PH,1Month,5Min,0.01,1.5,20,0.13812525594353042,-0.08942115768463077,1.6322190316951606,2.2645934171617306,0.13368373284808702,0.20297813656904884,-0.08939096587951492,0.497841726618705,695
PH,1Month,5Min,0.01,1.5,30,0.1641373069930283,-0.08942115768463077,1.9250634167595724,2.632847977465578,0.15981637883702568,0.19746693341613522,-0.07929984064456778,0.5056095736724009,668
PH,1Month,5Min,0.01,2.0,10,0.08045077714995119,-0.08942115768463077,1.0828281773275152,1.4133548752805536,0.07665683299590037,0.17338370151138274,-0.08051384402697535,0.49962935507783546,674
PH,1Month,5Min,0.01,2.0,20,0.11546391337392481,-0.08942115768463077,1.4747064609551264,1.935532626230529,0.11130938884106707,0.18986226794024483,-0.07088709956910162,0.5026861089792786,651
PH,1Month,5Min,0.01,2.0,30,0.12990673287877552,-0.08942115768463077,1.6227278934025553,2.1451462018634433,0.12591969781723197,0.18220797907317424,-0.0844137577287428,0.49485420240137223,583
PH,1Month,5Min,0.1,1.0,10,0.17380261413565634,-0.08942115768463077,1.8266136476939425,2.835479909213132,0.16790471413081107,0.26953473547897094,-0.06542343096816293,0.4987908101571947,827
PH,1Month,5Min,0.1,1.0,20,0.16241247525962255,-0.08942115768463077,1.732783906366705,2.6567640389233276,0.15622825451147404,0.28261962768551524,-0.0654234309681619,0.5,816
PH,1Month,5Min,0.1,1.0,30,0.17070907762112197,-0.08942115768463077,1.820294064962552,2.7609817391725953,0.16439148537574794,0.2887147210569843,-0.06542343096816179,0.50187265917603,801
PH,1Month,5Min,0.1,1.5,10,0.1584950582579987,-0.08942115768463077,1.720081470780639,2.6155094788661506,0.15241881686610245,0.2776849581928594,-0.060858465467674684,0.4987389659520807,793
PH,1Month,5Min,0.1,1.5,20,0.13737677015313432,-0.08942115768463077,1.5278061746324403,2.288322770557332,0.13084141152241968,0.29866667090706084,-0.06670915018806647,0.49870466321243523,772
PH,1Month,5Min,0.1,1.5,30,0.1504880357991889,-0.08942115768463077,1.6501514210060764,2.4269872819990823,0.14429235302621643,0.2831434435905733,-0.06542343096816139,0.4969818913480885,745
PH,1Month,5Min,0.1,2.0,10,0.14298131084772847,-0.08942115768463077,1.6067202878010762,2.4538033405865383,0.13688827025060707,0.27845268388046024,-0.06399719830185785,0.4996751137102014,769
PH,1Month,5Min,0.1,2.0,20,0.15891773148134303,-0.08942115768463077,1.7628187646012097,2.6020198879871073,0.15247079959467813,0.29462555813011837,-0.06425087516783332,0.5020325203252033,738
