symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
PLD,1Month,1Min,0.001,1.0,10,0.15099381616672058,-0.06930552599843942,1.7834004993442905,2.452129641116139,0.15131589047560043,-0.012245887348750692,-0.04280958898358643,0.5099463214398484,3167
PLD,1Month,1Min,0.001,1.0,20,0.13961537224382004,-0.06930552599843942,1.6833683609602077,2.3112671203183717,0.13975228987477126,-0.005205872801583379,-0.0405593184860806,0.5067376476459824,3005
PLD,1Month,1Min,0.001,1.0,30,0.13218118562238756,-0.06930552599843942,1.6270383342282075,2.1772234040834872,0.1327183288828207,-0.020423224318270424,-0.04292856889394609,0.5061381971238162,2851
PLD,1Month,1Min,0.001,1.5,10,0.11177473657733539,-0.06930552599843942,1.4490919440611583,1.879573270624571,0.11226669542993623,-0.018705225853385188,-0.03402475494908335,0.5098937339684866,2729
PLD,1Month,1Min,0.001,1.5,20,0.09390605319585998,-0.06930552599843942,1.243631393887128,1.5074516768544788,0.09433167357965712,-0.01618290912876333,-0.051498600015133005,0.5093205051112447,2494
PLD,1Month,1Min,0.001,1.5,30,0.10749330775931809,-0.06930552599843942,1.4225752543954169,1.6644035976003262,0.10774901554379408,-0.009722503896018003,-0.057308217860446146,0.5103896103896104,2310
PLD,1Month,1Min,0.001,2.0,10,0.09772386249923026,-0.06930552599843942,1.313707396199681,1.47437531977744,0.09851398282660738,-0.030041901059012697,-0.04575449325239271,0.5122877569258266,2238
PLD,1Month,1Min,0.001,2.0,20,0.037563645239936605,-0.06930552599843942,0.566046915192519,0.5798155561916882,0.03848770072161566,-0.03513437433737946,-0.07325906694808848,0.5075390414647281,1857
PLD,1Month,1Min,0.001,2.0,30,0.05586123377230767,-0.06930552599843942,0.8083060489370582,0.8201861768038992,0.05602707604878249,-0.006305643695811268,-0.05955420095493161,0.5029708853238265,1683
PLD,1Month,1Min,0.01,1.0,10,0.04155579826878286,-0.06930552599843942,0.5412375993718287,0.7807511837202349,0.04229140801426793,-0.027969303441753048,-0.05658213669079866,0.4995835646862854,3602
PLD,1Month,1Min,0.01,1.0,20,0.03974714752047448,-0.06930552599843942,0.5215149173140853,0.7392201691706425,0.04037071672036763,-0.023709305478602623,-0.05884964238401417,0.5000717875089734,3482
PLD,1Month,1Min,0.01,1.0,30,0.061631871220329204,-0.06930552599843942,0.7819844587264969,1.0940523196119014,0.06214316074094841,-0.019440215190946377,-0.04752790108528555,0.5022871477054744,3388
PLD,1Month,1Min,0.01,1.5,10,0.04089227269239637,-0.06930552599843942,0.5403827657668618,0.7592063055578967,0.041286701536266186,-0.014996946530527834,-0.05130722643759641,0.4987427895281763,3380
PLD,1Month,1Min,0.01,1.5,20,0.023197129631606916,-0.06930552599843942,0.32848833155295337,0.44514806150162967,0.02346591585800928,-0.010219771520637053,-0.05749808902015609,0.4998429648241206,3184
PLD,1Month,1Min,0.01,1.5,30,0.04001212363743334,-0.06930552599843942,0.5372419282708983,0.7098208466414497,0.04016227718093439,-0.005709127763480029,-0.05014154880523524,0.5001667778519012,2998
PLD,1Month,1Min,0.01,2.0,10,0.04839116703724322,-0.06930552599843942,0.640609646871191,0.867173616283727,0.04897824667365423,-0.02232190179104545,-0.05018657523451372,0.500560448358687,3122
PLD,1Month,1Min,0.01,2.0,20,0.04568010163815228,-0.06930552599843942,0.61551097939514,0.7943845446141914,0.04619452711364368,-0.019559450252659975,-0.056019720537393285,0.5006167400881057,2837
PLD,1Month,1Min,0.01,2.0,30,0.037837621212036376,-0.06930552599843942,0.5207664350954768,0.6487945285304341,0.037978571435793314,-0.005359199769493644,-0.05421175538328325,0.4977298524404086,2643
PLD,1Month,1Min,0.1,1.0,10,0.01796366553754991,-0.06930552599843942,0.24882631927370155,0.33887127452323906,0.018320255089925686,-0.01355822357679653,-0.06841303040731346,0.5011054753544024,3844
PLD,1Month,1Min,0.1,1.0,20,0.01792506328470278,-0.06930552599843942,0.24872510969668002,0.33605373184737847,0.018392563061726635,-0.01777524455431179,-0.07382574749412671,0.5013846762495054,3791
PLD,1Month,1Min,0.1,1.0,30,0.01943441134288948,-0.06930552599843942,0.26632715284634007,0.3573336245725695,0.019953789754210766,-0.019747770440101616,-0.0741183406578575,0.5014690170940171,3744
PLD,1Month,1Min,0.1,1.5,10,0.02240000012805199,-0.06930552599843942,0.3006044942495168,0.4055088541919049,0.02254474611039818,-0.0055035218430198,-0.07080575797205159,0.501266835578077,3749
PLD,1Month,1Min,0.1,1.5,20,0.02441226682048092,-0.06930552599843942,0.3240085034444724,0.42895601314492177,0.02479500477878055,-0.0145524364788022,-0.07549003603507268,0.5019936752371786,3636
PLD,1Month,1Min,0.1,1.5,30,0.020099826685452182,-0.06930552599843942,0.2753127918714423,0.3613906171335948,0.020550698124593727,-0.017143003028398288,-0.07244646952849394,0.5011195074167366,3573
PLD,1Month,1Min,0.1,2.0,10,0.004604842513112217,-0.06930552599843942,0.09644723466950211,0.12681315686246628,0.005134201222601946,-0.02012724065460821,-0.06800263982131102,0.5011108025548459,3601
PLD,1Month,1Min,0.1,2.0,20,0.03415229656340002,-0.06930552599843942,0.44130904193034065,0.5725550239892265,0.034721706065813984,-0.02165004916449558,-0.06842161992599176,0.5017936576266322,3484
PLD,1Month,1Min,0.1,2.0,30,0.029709830229159184,-0.06930552599843942,0.39061514783752105,0.49724030888791476,0.030247945859524256,-0.020460195701331257,-0.06384863753242542,0.5017014351235389,3379
PLD,1Month,5Min,0.001,1.0,10,-0.004852859606605309,-0.0569787525525185,-0.020499801990653523,-0.02774091350691833,-0.005671955379069956,0.08027236729143378,-0.052719892710524165,0.47201767304860087,679
PLD,1Month,5Min,0.001,1.0,20,-0.010102146301111614,-0.0569787525525185,-0.088741592550145,-0.11541834819523851,-0.010901472724536967,0.0783349473943445,-0.05272322177251831,0.46682847896440127,618
PLD,1Month,5Min,0.001,1.0,30,-0.0038117913302379014,-0.0569787525525185,-0.010221425212772813,-0.012588691496279445,-0.004715764080585849,0.08859041283906749,-0.048997013401705834,0.47153024911032027,562
PLD,1Month,5Min,0.001,1.5,10,-0.024078984069797915,-0.0569787525525185,-0.2708825330193339,-0.34761147990510116,-0.024861569827763157,0.07669434211753587,-0.056245801189235764,0.46885245901639344,610
PLD,1Month,5Min,0.001,1.5,20,-0.030855738547700073,-0.0569787525525185,-0.36549402307599443,-0.4460260786766347,-0.03175727956483806,0.08835210007034518,-0.05613238441974476,0.4599078341013825,542
PLD,1Month,5Min,0.001,1.5,30,5.1798506273792455e-05,-0.0569787525525185,0.03858909854460355,0.043180725941366294,-0.0011292853631114533,0.11574763458979054,-0.043740768372921374,0.4684095860566449,459
PLD,1Month,5Min,0.001,2.0,10,0.014006280629949686,-0.0569787525525185,0.22101189173354538,0.27237753687470834,0.013522329210836887,0.04742781903188236,-0.0489715329457529,0.4694072657743786,523
PLD,1Month,5Min,0.001,2.0,20,-0.011757195667407072,-0.0569787525525185,-0.12013563969551191,-0.13556228998728442,-0.01251340974319184,0.07410988566049144,-0.05287760356403237,0.46319365798414497,441
PLD,1Month,5Min,0.001,2.0,30,0.015149538516429972,-0.0569787525525185,0.2387609323914841,0.24618401855882424,0.013803939499594136,0.1318703161919937,-0.04522853248236625,0.47346938775510206,367
PLD,1Month,5Min,0.01,1.0,10,0.02614427176621681,-0.0569787525525185,0.35528229094386515,0.4679174376866117,0.025157669094843602,0.09668824412177986,-0.054154979381801756,0.4879948085658663,770
PLD,1Month,5Min,0.01,1.0,20,0.014454300277721543,-0.0569787525525185,0.21646357335034172,0.2790340624075539,0.013410123399252185,0.1023305854131152,-0.05173977569915592,0.48639455782312924,735
PLD,1Month,5Min,0.01,1.0,30,0.02886745671519919,-0.0569787525525185,0.39302063039569995,0.508604817170192,0.02762210700702955,0.12204576380570688,-0.047219697761019794,0.48907681465821,709
PLD,1Month,5Min,0.01,1.5,10,0.04491906853552985,-0.0569787525525185,0.5876047370536578,0.7789958947878649,0.04394055772523439,0.09589523203901748,-0.04196117982496147,0.4865979381443299,727
PLD,1Month,5Min,0.01,1.5,20,0.005153127555217685,-0.0569787525525185,0.10519885213293599,0.1274392410049223,0.0040043799471513025,0.11257864222933779,-0.04631839203050078,0.4880597014925373,670
PLD,1Month,5Min,0.01,1.5,30,0.002670069794772134,-0.0569787525525185,0.07293929577128683,0.08686171277442098,0.0013600793809682853,0.12838063042213838,-0.04721969776101899,0.48498845265588914,649
PLD,1Month,5Min,0.01,2.0,10,0.04080024065561538,-0.0569787525525185,0.5658041175565861,0.7035219364906831,0.03981570730401381,0.09648544830432353,-0.04130587502136203,0.48686131386861314,685
PLD,1Month,5Min,0.01,2.0,20,0.035132146119191576,-0.0569787525525185,0.4939588325936743,0.5882775850236499,0.03404535064391521,0.10650725897357549,-0.040346507656127434,0.4921507064364207,637
PLD,1Month,5Min,0.01,2.0,30,0.02543989209089159,-0.0569787525525185,0.38081464671150056,0.45468042332492015,0.025150713089927078,0.02833988864152677,-0.03473230608381443,0.4897084048027444,583
PLD,1Month,5Min,0.1,1.0,10,0.15648113273787967,-0.0569787525525185,1.8141955241253358,2.408175088506726,0.15574460760697675,0.0721803454671856,-0.03602935725405896,0.513767209011264,799
PLD,1Month,5Min,0.1,1.0,20,0.14506032715686046,-0.0569787525525185,1.6965362899005978,2.236182849683982,0.144303876176407,0.07413310260192638,-0.03602935725405784,0.51143583227446,787
PLD,1Month,5Min,0.1,1.0,30,0.11524873200640529,-0.0569787525525185,1.4042340017406107,1.789066337742128,0.11343032796761092,0.17820577494511247,-0.036029357254058876,0.5084635416666666,768
PLD,1Month,5Min,0.1,1.5,10,0.1492863004986551,-0.0569787525525185,1.7583704907630877,2.2852406143025017,0.14869006867431792,0.058431433298725126,-0.036029357254058356,0.5132858068697342,771
PLD,1Month,5Min,0.1,1.5,20,0.11826702875062534,-0.0569787525525185,1.4238298633132,1.8275121110363874,0.11763024546613914,0.062405524989482715,-0.03602935725405801,0.5080213903743316,748
PLD,1Month,5Min,0.1,1.5,30,0.11359012627723386,-0.0569787525525185,1.398058621301535,1.7447650073841405,0.11178677552468397,0.1767305348535611,-0.03602935725405886,0.5107671601615074,743
PLD,1Month,5Min,0.1,2.0,10,0.08148850152513898,-0.0569787525525185,1.0833467761648998,1.2745992762177245,0.07939838200003062,0.20483421822292092,-0.06011506249662902,0.5114401076716016,743
PLD,1Month,5Min,0.1,2.0,20,0.0943111506331622,-0.0569787525525185,1.256801743742999,1.4294911042359673,0.09214635579021423,0.21215248886078356,-0.05673430183250814,0.5135714285714286,700
PLD,1Month,5Min,0.1,2.0,30,0.06675348970087014,-0.0569787525525185,0.907932492217803,1.0192934864481709,0.06431244250899966,0.23922555011112276,-0.05673430183250782,0.5062454077883909,680
PLD,1Month,15Min,0.001,1.0,10,0.08188466752265455,-0.060811052650416975,1.0297145179239797,1.411911321542528,0.08157156716010837,0.02960408145146193,-0.03935067651773592,0.5163934426229508,244
PLD,1Month,15Min,0.001,1.0,20,0.04009314698959532,-0.060811052650416975,0.5772613775828711,0.7131765713382826,0.03869026080558777,0.13264486990929303,-0.039350676517735855,0.5172413793103449,217
PLD,1Month,15Min,0.001,1.0,30,0.05695396181339918,-0.060811052650416975,0.8088769189596872,0.9864039189973324,0.055497311904382514,0.13772830603616423,-0.039350676517735814,0.5215311004784688,209
PLD,1Month,15Min,0.001,1.5,10,0.04580437473067711,-0.060811052650416975,0.6429151317783294,0.7966697709549984,0.04486971421005391,0.08837347218949378,-0.03830627275018462,0.509478672985782,211
PLD,1Month,15Min,0.001,1.5,20,0.07003566864199495,-0.060811052650416975,1.0193569114890866,1.3158797987030815,0.06951775316946529,0.04896963934840269,-0.03047414455268333,0.5141388174807198,194
PLD,1Month,15Min,0.001,1.5,30,0.07843622792173433,-0.060811052650416975,1.162399873643019,1.4311530989067864,0.07742331123455967,0.09577270325338869,-0.03047414455268274,0.5246376811594203,172
PLD,1Month,15Min,0.001,2.0,10,0.06555345272420032,-0.060811052650416975,0.9196200457192826,1.0373156165534023,0.06446080732503734,0.10331116556792666,-0.038306272750184764,0.5185185185185185,175
PLD,1Month,15Min,0.001,2.0,20,0.0747162761435356,-0.060811052650416975,1.1205347133142083,1.3592556831107183,0.07445906811184519,0.024319382635688426,-0.028837189974786587,0.5264705882352941,170
PLD,1Month,15Min,0.001,2.0,30,0.09474413432487783,-0.060811052650416975,1.509857010702534,1.7519887083318024,0.09439226221647738,0.03327000477697673,-0.02310503331448647,0.5303030303030303,132
PLD,1Month,15Min,0.01,1.0,10,0.12923344669387915,-0.060811052650416975,1.493881223236185,1.8799983326893357,0.12721737301319097,0.190622613688091,-0.037640660530220756,0.5339622641509434,265
PLD,1Month,15Min,0.01,1.0,20,0.1570262742530102,-0.060811052650416975,1.812921239421001,2.193287277191712,0.1553507013460246,0.15842778466584595,-0.03534488754207086,0.5441767068273092,249
PLD,1Month,15Min,0.01,1.0,30,0.15536070576004657,-0.060811052650416975,1.8441388580897773,2.091913833023424,0.15330552383506793,0.1943203534159638,-0.03240671919131834,0.5555555555555556,229
PLD,1Month,15Min,0.01,1.5,10,0.09306498316728695,-0.060811052650416975,1.1629340359582168,1.3027948272069874,0.09025642589437323,0.2655530565097033,-0.05903083008391332,0.5365853658536586,246
PLD,1Month,15Min,0.01,1.5,20,0.09327667062151779,-0.060811052650416975,1.1965387310365396,1.250422234066928,0.09018018888888518,0.2927767207944383,-0.05166084159238415,0.5396825396825397,220
PLD,1Month,15Min,0.01,1.5,30,0.1445169471731853,-0.060811052650416975,1.8934806762577572,2.0850963525234243,0.14180112090032376,0.25678520949638145,-0.05118577277577907,0.5539568345323741,208
PLD,1Month,15Min,0.01,2.0,10,0.1354872397075917,-0.060811052650416975,1.6972825759580321,1.8357966780037336,0.13263486067629607,0.2696964656515334,-0.051660841592385466,0.5521064301552107,225
PLD,1Month,15Min,0.01,2.0,20,0.11624132303162749,-0.060811052650416975,1.4811616844310123,1.4884090593685815,0.11322888943123072,0.2848298511954411,-0.05166084159238383,0.5526315789473685,209
PLD,1Month,15Min,0.01,2.0,30,0.15817333949018364,-0.060811052650416975,2.1010930437967508,2.1127686271507793,0.1554566348818151,0.2568682573589879,-0.051185772775778376,0.5682451253481894,179
PLD,1Month,15Min,0.1,1.0,10,0.021701406180298477,-0.060811052650416975,0.2916688504512738,0.3108557451391423,0.016325917336718534,0.508260061638527,-0.07673758865248165,0.5263157894736842,266
PLD,1Month,15Min,0.1,1.0,20,0.03878519463390284,-0.060811052650416975,0.4883687154906885,0.49379971842950454,0.03347706631424151,0.5018910289728251,-0.06884589249311561,0.5330578512396694,242
PLD,1Month,15Min,0.1,1.0,30,0.08635752009645037,-0.060811052650416975,1.0239774567467186,1.0147142986724882,0.08074170204911693,0.5309835272558315,-0.06884589249311532,0.5448577680525164,228
PLD,1Month,15Min,0.1,1.5,10,0.06170699415629044,-0.060811052650416975,0.7543207892593301,0.7768619028954415,0.056532133510985995,0.4892903821564986,-0.07608232789212217,0.5330578512396694,242
PLD,1Month,15Min,0.1,1.5,20,0.04667087941521286,-0.060811052650416975,0.5810100888089321,0.5732868338856553,0.04138381257646463,0.499899636208635,-0.06884589249311591,0.5356371490280778,231
PLD,1Month,15Min,0.1,1.5,30,0.07665767747347241,-0.060811052650416975,0.9340503068715836,0.8873635036233335,0.07118718689947696,0.5172426094145149,-0.06837943249722712,0.5458823529411765,212
PLD,1Month,15Min,0.1,2.0,10,0.030262205423368993,-0.060811052650416975,0.4177770133813725,0.3969621565512009,0.025296798499527463,0.4694862369933469,-0.06884589249311597,0.5296703296703297,227
PLD,1Month,15Min,0.1,2.0,20,0.050425170676206665,-0.060811052650416975,0.6746297775695698,0.6131279001522438,0.045320918496394025,0.4826142520281793,-0.06884589249311493,0.5368171021377672,210
PLD,1Month,15Min,0.1,2.0,30,0.06223101392519448,-0.060811052650416975,0.8433350404969003,0.7098937648204681,0.056896571935591646,0.5043790236269997,-0.06837943249722743,0.5535248041775457,191
PLD,1Month,30Min,0.001,1.0,10,0.1319263327414888,-0.06118067978533104,1.6246864218035892,1.8424532127628923,0.1304378003482939,0.1956051103984346,-0.03782432632801313,0.5491803278688525,122
PLD,1Month,30Min,0.001,1.0,20,0.10712880142870151,-0.06118067978533104,1.3823066427579074,1.4606629056767118,0.10562078297342316,0.19816573544259883,-0.037824326328013906,0.5545454545454546,110
PLD,1Month,30Min,0.001,1.0,30,0.11026259014657702,-0.06118067978533104,1.4559567816470005,1.4047692249471608,0.10889590593222095,0.17959328117484402,-0.03289746901935882,0.5670103092783505,97
