symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
RCL,1Month,1Min,0.001,1.0,10,0.5871654701764695,-0.1579407176287052,2.5768039306799944,3.3431621456897544,0.5874117687408503,0.01155874613442389,-0.15508230554630717,0.5129334067143644,3634
RCL,1Month,1Min,0.001,1.0,20,0.6592738235051634,-0.1579407176287052,2.8385602852312433,3.602045709159648,0.6596375849311338,0.017071256533132732,-0.1520417788349258,0.5129291453615777,3422
RCL,1Month,1Min,0.001,1.0,30,0.6170371900067204,-0.1579407176287052,2.7244258042930145,3.3701190673330284,0.617317134334025,0.013137735573981905,-0.14630571219965724,0.5138291333743086,3254
RCL,1Month,1Min,0.001,1.5,10,0.5788136491485651,-0.1579407176287052,2.657462404276743,3.3246018412003147,0.5771877086584936,-0.07630508688373644,-0.14777098612716563,0.514308176100629,3180
RCL,1Month,1Min,0.001,1.5,20,0.6525829293062086,-0.1579407176287052,2.966791800618095,3.615434968784631,0.6513172404260212,-0.0593985453712559,-0.14108030930745927,0.5142956764295676,2868
RCL,1Month,1Min,0.001,1.5,30,0.6710657104634308,-0.1579407176287052,3.076198080244554,3.6196803507851354,0.6701576045916848,-0.042617240831585794,-0.12727510094707029,0.5143946615824595,2622
RCL,1Month,1Min,0.001,2.0,10,0.45231275396977555,-0.1579407176287052,2.305546037367597,2.7393892264377273,0.45098279043788053,-0.06241494290420574,-0.15148936052918055,0.5121263395375071,2659
RCL,1Month,1Min,0.001,2.0,20,0.4839702461750208,-0.1579407176287052,2.502291881803229,2.7686833963673254,0.4831046061889607,-0.04062432465990774,-0.13045403315542392,0.5149435466017268,2258
RCL,1Month,1Min,0.001,2.0,30,0.44738229396340223,-0.1579407176287052,2.3999301450344377,2.5017736942132665,0.44656067936401517,-0.03855822139494104,-0.13387662313226922,0.5138121546961326,1991
RCL,1Month,1Min,0.01,1.0,10,0.2472922918256033,-0.1579407176287052,1.190461811988963,1.6451803574468158,0.24468193783871578,-0.12250343046564734,-0.18764643795842717,0.5066699302410965,4085
