symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
RJF,1Month,1Min,0.001,1.0,10,0.21055984398304917,-0.10870381966186593,2.1455348314922587,2.2301250335036746,0.21092125171057072,-0.026169772269573247,-0.04281693726276019,0.5090744101633394,2755
RJF,1Month,1Min,0.001,1.0,20,0.22160850775761665,-0.10870381966186593,2.2797149588223586,2.3014529094231064,0.22167950369871145,-0.00514086298944445,-0.046328724221322705,0.5115251632731463,2603
RJF,1Month,1Min,0.001,1.0,30,0.18678462059560652,-0.10870381966186593,1.9791974781670334,1.9419107347792885,0.18691149881418495,-0.009187335613815439,-0.05191860032164139,0.5108783239323127,2482
RJF,1Month,1Min,0.001,1.5,10,0.222759700023355,-0.10870381966186593,2.341253494569058,2.244168780871684,0.22338227340736536,-0.045080949963023406,-0.040937500000000175,0.5139664804469274,2416
RJF,1Month,1Min,0.001,1.5,20,0.19381051692035478,-0.10870381966186593,2.1713821268084796,1.9972888687278603,0.1941585504794673,-0.025201339901071342,-0.04687652814294717,0.5106432748538011,2137
RJF,1Month,1Min,0.001,1.5,30,0.18739265510653547,-0.10870381966186593,2.1523025612163336,1.9195993927843598,0.1879218131393292,-0.03831668267801986,-0.046702524357097874,0.5096709369505149,1990
RJF,1Month,1Min,0.001,2.0,10,0.19554508863278763,-0.10870381966186593,2.2885603471984135,2.0936704971758613,0.19599368858130836,-0.032483418584981924,-0.041705476539376354,0.5125817815802718,1987
RJF,1Month,1Min,0.001,2.0,20,0.09211660716960846,-0.10870381966186593,1.1711174701957145,0.9384618118274685,0.09265895701131344,-0.03927191027483526,-0.04779916766393506,0.5038852361028093,1673
RJF,1Month,1Min,0.001,2.0,30,0.1230420815724187,-0.10870381966186593,1.5733113939841665,1.150011231252522,0.12353846657742329,-0.035943566088322595,-0.048911193588932395,0.5098522167487685,1421
RJF,1Month,1Min,0.01,1.0,10,0.07178578601636176,-0.10870381966186593,0.7733450278122652,0.8706107630503438,0.07081797352292273,0.0700799419166748,-0.10063070147671589,0.5011097019657578,3154
RJF,1Month,1Min,0.01,1.0,20,0.07547594120283008,-0.10870381966186593,0.822465460163875,0.9317350304353841,0.07472486090625328,0.054386220384305475,-0.10510548316782642,0.4997559785261103,3073
RJF,1Month,1Min,0.01,1.0,30,0.09138513718123353,-0.10870381966186593,0.9861796300508636,1.0973718415712328,0.09052292577745652,0.06243329726182484,-0.09596722775774244,0.5020976673938581,2979
RJF,1Month,1Min,0.01,1.5,10,0.05289187112022109,-0.10870381966186593,0.6024772551867633,0.6670943894943276,0.05193302090253608,0.06943097760949586,-0.09861001090378681,0.49804388501445823,2939
RJF,1Month,1Min,0.01,1.5,20,0.046110470140968474,-0.10870381966186593,0.5381928556389537,0.5773972768163803,0.04516820220191799,0.06823024386051915,-0.09829457571715228,0.49738408803896805,2771
RJF,1Month,1Min,0.01,1.5,30,0.044376230408371686,-0.10870381966186593,0.5240710990499747,0.5489890298175604,0.043567487443030885,0.058561612317285544,-0.09449261411364959,0.4985957685826624,2670
RJF,1Month,1Min,0.01,2.0,10,0.07212406599962251,-0.10870381966186593,0.8258324376806817,0.8820662731737428,0.07143219925546354,0.05009852794155214,-0.10193155233999962,0.49889665318131665,2719
