symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
RL,1Month,1Min,0.001,1.0,10,0.2178589250480618,-0.0885636914211011,1.4875457843214002,1.4687400728977908,0.22260383062642564,-0.1272364766058322,-0.08956485739606415,0.5082832696158748,2746
RL,1Month,1Min,0.001,1.0,20,0.11384661582781286,-0.0885636914211011,0.8482307837514302,0.8154248959134548,0.11695608863709667,-0.08338171494054028,-0.08956673368632073,0.5028868360277137,2598
RL,1Month,1Min,0.001,1.0,30,0.13548298634962608,-0.0885636914211011,0.999005768179498,0.9332630204914899,0.13845657910772655,-0.07973803886141555,-0.08245613468793729,0.5052888527257934,2458
RL,1Month,1Min,0.001,1.5,10,0.17420907983794476,-0.0885636914211011,1.2783985870081345,1.19467130600701,0.177614539548521,-0.09131871807368008,-0.07949335635227973,0.508804640563497,2413
RL,1Month,1Min,0.001,1.5,20,0.10046324112619986,-0.0885636914211011,0.793098494080336,0.6844552664175024,0.10444904987399854,-0.10688100176473578,-0.0854366916898999,0.506795669200645,2170
RL,1Month,1Min,0.001,1.5,30,0.07587971419195316,-0.0885636914211011,0.6283550363678261,0.5149505506587517,0.0787739487445625,-0.07761001791564717,-0.08679349689235621,0.5076961897552359,1981
RL,1Month,1Min,0.001,2.0,10,0.11802663375204547,-0.0885636914211011,0.9502678658576243,0.8070083868960706,0.1209323326172718,-0.07791743788850057,-0.08024551412782334,0.5050125313283208,1995
RL,1Month,1Min,0.001,2.0,20,0.08450862878977272,-0.0885636914211011,0.7167099143332734,0.548608189904083,0.08722149547602731,-0.07274656849534177,-0.07923477107711789,0.5116416150898909,1696
RL,1Month,1Min,0.001,2.0,30,0.06866084612721024,-0.0885636914211011,0.6126397730551609,0.43271851739478556,0.07105194496582937,-0.06411823932376413,-0.08873448934870654,0.5090340514246005,1439
RL,1Month,1Min,0.01,1.0,10,0.15382718846019228,-0.0885636914211011,1.0685876360314104,1.1115482597771111,0.15472093492478275,-0.023966156808672517,-0.08577988803105453,0.5060121890957009,3035
RL,1Month,1Min,0.01,1.0,20,0.10473557791687638,-0.0885636914211011,0.7694168545421853,0.779375895391959,0.10601405573352761,-0.0342828766817134,-0.09627613947585886,0.5057353192946413,2920
RL,1Month,1Min,0.01,1.0,30,0.07039342110512758,-0.0885636914211011,0.5515117348199988,0.5472656046723265,0.07149614092951555,-0.029569858202933355,-0.10120905659599282,0.5047010821358879,2818
RL,1Month,1Min,0.01,1.5,10,0.12066293729361521,-0.0885636914211011,0.881836895143017,0.8896992917776491,0.1218838399948613,-0.03273897771400146,-0.09038415730343351,0.5052816901408451,2840
RL,1Month,1Min,0.01,1.5,20,0.06040801222994818,-0.0885636914211011,0.49106368835129904,0.4705139828015362,0.06108324866683709,-0.018106725979412847,-0.0926531052732817,0.5048304603144534,2639
RL,1Month,1Min,0.01,1.5,30,0.024925803647678046,-0.0885636914211011,0.24785800358334245,0.22780922528381034,0.02661371968000091,-0.04526212064968307,-0.10029516792147758,0.5053095572029653,2495
RL,1Month,1Min,0.01,2.0,10,0.09602627047750678,-0.0885636914211011,0.7443944578970421,0.7252660073065506,0.09695293954277986,-0.024848989067897308,-0.08766319135094204,0.504447022428461,2586
RL,1Month,1Min,0.01,2.0,20,0.011439337916229197,-0.0885636914211011,0.15172955172060323,0.13525462819636083,0.012131668754808823,-0.018565118966352222,-0.09836977208884469,0.5030949839914621,2342
RL,1Month,1Min,0.01,2.0,30,0.014269507562909123,-0.0885636914211011,0.1735560818530156,0.1507469989885439,0.014253480477239053,0.00042977249541446664,-0.10169642786002607,0.5029280862028578,2134
RL,1Month,1Min,0.1,1.0,10,-0.03352176049800415,-0.0885636914211011,-0.16668125015336507,-0.18053078319850632,-0.03501029391425,0.03991559875433263,-0.1023530969172595,0.5070674006844219,3360
RL,1Month,1Min,0.1,1.0,20,-0.07216691489853344,-0.0885636914211011,-0.45605063196050377,-0.488242422731293,-0.07357082165192469,0.037646302088529926,-0.11629448207315317,0.5054711246200608,3290
RL,1Month,1Min,0.1,1.0,30,-0.06808777248493003,-0.0885636914211011,-0.4278107050096358,-0.4540158212023569,-0.0692911069682931,0.03226787916277396,-0.11360708828293753,0.5046468401486989,3228
RL,1Month,1Min,0.1,1.5,10,-0.047392938489916436,-0.0885636914211011,-0.27589474272598674,-0.2921904299690647,-0.04892787803099875,0.04115999692403416,-0.10270568207230729,0.5070981529537475,3275
RL,1Month,1Min,0.1,1.5,20,-0.05829187093809274,-0.0885636914211011,-0.35584964408944314,-0.37481210624790307,-0.05949140721932842,0.03216602890503046,-0.116803766982653,0.5058103015075377,3184
