symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ROL,1Month,1Min,0.001,1.0,10,0.07627715444201622,-0.09272972063278362,0.9736630869650539,1.3102904241045499,0.07630622603740288,-0.0023461686485944885,-0.06373849253308637,0.49875807252856436,3019
ROL,1Month,1Min,0.001,1.0,20,0.0530096027730671,-0.09272972063278362,0.7124708767971927,0.9156225843664347,0.05318470445154771,-0.014131252960266112,-0.06983744713423468,0.49991204925241867,2842
ROL,1Month,1Min,0.001,1.0,30,0.08058357560820295,-0.09272972063278362,1.0607215327310768,1.3517084962411308,0.08067085547383951,-0.007043758063032329,-0.05157161283941899,0.49888517279821626,2691
ROL,1Month,1Min,0.001,1.5,10,0.07671557582228106,-0.09272972063278362,1.0048269453254433,1.2752384954010667,0.07678252605417936,-0.005403093053777339,-0.056725944018912226,0.4970616113744076,2637
ROL,1Month,1Min,0.001,1.5,20,0.05992008074168376,-0.09272972063278362,0.8250035191344858,0.9795759064082494,0.06001889289749212,-0.007974449938992571,-0.04029799934495351,0.49488708990200253,2347
ROL,1Month,1Min,0.001,1.5,30,0.04482881904510094,-0.09272972063278362,0.6373188165332023,0.7348699320994051,0.044823957783978616,0.0003923189727337172,-0.048311151109784525,0.49370565346761275,2184
ROL,1Month,1Min,0.001,2.0,10,0.02635062257196852,-0.09272972063278362,0.41128278452892697,0.4660994265379074,0.026464148947555177,-0.00916193348343551,-0.05032394465839187,0.4940085914537644,2211
ROL,1Month,1Min,0.001,2.0,20,0.0760664828932529,-0.09272972063278362,1.1319569869570796,1.1924870097153792,0.07613761472391206,-0.00574056114877689,-0.03580268061716393,0.49931488078925734,1824
ROL,1Month,1Min,0.001,2.0,30,0.04446387624840309,-0.09272972063278362,0.702860446081032,0.6812955991469757,0.044373202605855235,0.007317646471414901,-0.04054535939464034,0.49644293226105785,1616
ROL,1Month,1Min,0.01,1.0,10,0.10570379633072169,-0.09272972063278362,1.2849109146227655,1.8197434229114833,0.1058655639350007,-0.013055151479293306,-0.05639437123926106,0.5005195190737717,3368
ROL,1Month,1Min,0.01,1.0,20,0.09435552024523974,-0.09272972063278362,1.161463896696473,1.6200295991425466,0.09434167656878699,0.0011172279760620569,-0.05615319081255591,0.5000772678102302,3235
ROL,1Month,1Min,0.01,1.0,30,0.06624259749697359,-0.09272972063278362,0.8426272533654486,1.147867199035307,0.06619139376276795,0.004132301453925341,-0.06537294535452709,0.4991997439180538,3124
ROL,1Month,1Min,0.01,1.5,10,0.06306995070879573,-0.09272972063278362,0.8275196763469155,1.0907699565883193,0.06325945747171699,-0.015293788316358678,-0.060668870154115706,0.4972093764949769,3135
ROL,1Month,1Min,0.01,1.5,20,0.07237934398210277,-0.09272972063278362,0.9533167468517669,1.220828264040659,0.07259545659869997,-0.017440963899030153,-0.0584651220347547,0.49888831879596374,2923
ROL,1Month,1Min,0.01,1.5,30,0.06810401515094111,-0.09272972063278362,0.9075861491146523,1.1352601463980032,0.06819079577627944,-0.007003467809943313,-0.06201148027543146,0.4983842010771993,2785
ROL,1Month,1Min,0.01,2.0,10,0.0597420019790047,-0.09272972063278362,0.8127523303446043,1.0450723865645077,0.05998413044941347,-0.01954052464784092,-0.05552511671092006,0.4988860325621251,2917
ROL,1Month,1Min,0.01,2.0,20,0.046199338350125796,-0.09272972063278362,0.6475328490735933,0.769800065892556,0.046494714716881345,-0.023837796378229897,-0.06736440996514624,0.4982234504540071,2533
ROL,1Month,1Min,0.01,2.0,30,0.042822954321441786,-0.09272972063278362,0.61762253691899,0.7021597174474083,0.04317372968754642,-0.02830866884696034,-0.06607143819553722,0.49870354364736386,2314
ROL,1Month,1Min,0.1,1.0,10,0.10720587400393344,-0.09272972063278362,1.2868809406434996,1.8184615832843818,0.10723612632203879,-0.002441456663867892,-0.04750522719625448,0.5058222095995456,3521
ROL,1Month,1Min,0.1,1.0,20,0.1082205446371971,-0.09272972063278362,1.3050308135057613,1.826746887002115,0.10814188255524129,0.006348275973960921,-0.04552223934831656,0.5063643013899048,3417
ROL,1Month,1Min,0.1,1.0,30,0.10302017576870037,-0.09272972063278362,1.2504182680071156,1.7300518903152067,0.1029056696885817,0.009240998702503249,-0.04551408875476965,0.5065769805680119,3345
ROL,1Month,1Min,0.1,1.5,10,0.09527468896736901,-0.09272972063278362,1.2150664429256208,1.7186185350738858,0.09547681627107514,-0.01631230541952833,-0.04582802527847123,0.5031800029581422,3380
ROL,1Month,1Min,0.1,1.5,20,0.09916174738456673,-0.09272972063278362,1.2760003177399628,1.776581763614048,0.09927437129968296,-0.009089102101663356,-0.04574886541388423,0.5048663679901128,3236
ROL,1Month,1Min,0.1,1.5,30,0.0927019048185862,-0.09272972063278362,1.1966438489500397,1.604648990366832,0.09274205491652211,-0.0032402384445137447,-0.04519226530205219,0.5053971322700177,3103
ROL,1Month,1Min,0.1,2.0,10,0.08764796681852527,-0.09272972063278362,1.1631524735342436,1.591075172796792,0.08788871423765526,-0.019429069491380242,-0.0496842459129226,0.5038061208637564,3218
ROL,1Month,1Min,0.1,2.0,20,0.09301704580213621,-0.09272972063278362,1.219700145164105,1.6691644533316519,0.09305193043413891,-0.0028152988796764913,-0.04733523448085421,0.5022988505747127,3045
ROL,1Month,1Min,0.1,2.0,30,0.09102760885633177,-0.09272972063278362,1.2013765149161693,1.6031472876410406,0.09113273150381197,-0.008483726348518652,-0.0463827414017824,0.5029059829059829,2925
ROL,1Month,5Min,0.001,1.0,10,0.1157156758272837,-0.09272972063278362,1.5164806801592778,2.1253122854348847,0.11530778312921033,0.018626645463482326,-0.05705666829573054,0.5075987841945289,658
