symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ROP,1Month,1Min,0.001,1.0,10,0.30361852899334707,0.0801182375219387,3.18626644491121,3.7492558562978946,0.30300128414010846,0.023465819182631353,-0.03179611463355877,0.5228706624605678,3170
ROP,1Month,1Min,0.001,1.0,20,0.2893135087999401,0.0801182375219387,3.102415122591409,3.5552068322050836,0.28860520646670795,0.02692755458559812,-0.03022778564636408,0.522337924084649,2977
ROP,1Month,1Min,0.001,1.0,30,0.2516604734144894,0.0801182375219387,2.8228779683829104,3.083107330950182,0.2512267947304503,0.016487177705294474,-0.030520182010211082,0.5212368935489604,2813
ROP,1Month,1Min,0.001,1.5,10,0.23529744203624148,0.0801182375219387,2.682341677470076,2.867557522035919,0.23489614508936063,0.015256120070729304,-0.03324406508274855,0.5238452872699962,2663
ROP,1Month,1Min,0.001,1.5,20,0.2583848209907724,0.0801182375219387,2.9671648239549144,3.065624819650767,0.2577662230845213,0.023517258246352063,-0.02964091101535993,0.5262832405689548,2425
ROP,1Month,1Min,0.001,1.5,30,0.2587970501642942,0.0801182375219387,3.0310808969958587,3.031356835886515,0.25851330202299005,0.010787263016152543,-0.02794647947993876,0.5225164064267934,2209
ROP,1Month,1Min,0.001,2.0,10,0.14097878045911427,0.0801182375219387,1.8203125863343805,1.7903131667473287,0.14045252901716831,0.02000651948170971,-0.040879042958210064,0.5193006357856494,2202
ROP,1Month,1Min,0.001,2.0,20,0.18210444475010057,0.0801182375219387,2.372339134768118,2.0601750992086805,0.18178842500877385,0.012014133563375459,-0.036773417290603995,0.5256373531939272,1745
ROP,1Month,1Min,0.001,2.0,30,0.17391833820940739,0.0801182375219387,2.2754691560388256,1.9123090522038453,0.1735534293124463,0.013872754303731884,-0.03812969608438703,0.5202572347266881,1555
ROP,1Month,1Min,0.01,1.0,10,0.18525897850510997,0.0801182375219387,1.9612555753481407,2.4037747695098353,0.1854877293840781,-0.008696430169599348,-0.04185537009131732,0.5142696471249825,3556
ROP,1Month,1Min,0.01,1.0,20,0.19973089786753961,0.0801182375219387,2.1288809661648744,2.5932574247445026,0.19990875941200884,-0.006761768559364286,-0.04275255620380401,0.5146647015475313,3392
ROP,1Month,1Min,0.01,1.0,30,0.18004165789823778,0.0801182375219387,1.9397828887602802,2.300413143775984,0.18020392332974233,-0.006168850587087336,-0.041469348991017146,0.5138677232551051,3281
ROP,1Month,1Min,0.01,1.5,10,0.1356247587359758,0.0801182375219387,1.5311747767401795,1.7978220537576235,0.1358716593989185,-0.00938643114201191,-0.040636474231476996,0.5125267338832875,3273
ROP,1Month,1Min,0.01,1.5,20,0.1596491936927653,0.0801182375219387,1.7977753334980233,2.0577580436179814,0.16004720976441145,-0.015131390922136112,-0.037184695012120975,0.5150766188828473,3034
ROP,1Month,1Min,0.01,1.5,30,0.1424902312539369,0.0801182375219387,1.6316117936914072,1.815674953634919,0.14300619900982794,-0.01961556422913941,-0.037280171766770516,0.5119549929676512,2844
ROP,1Month,1Min,0.01,2.0,10,0.12180717211503866,0.0801182375219387,1.4301240561811106,1.6362698660816022,0.12234694571011769,-0.02052059165050199,-0.04895092255366043,0.5117783676177837,3014
ROP,1Month,1Min,0.01,2.0,20,0.1494578274884626,0.0801182375219387,1.7617868751314563,1.9404680537620382,0.1500042902283443,-0.020774893102514812,-0.04026438195992213,0.5117063120434538,2669
ROP,1Month,1Min,0.01,2.0,30,0.12954537386022702,0.0801182375219387,1.5375170731332821,1.6099132369662552,0.12983151000703338,-0.010878047904884596,-0.03958236001919825,0.5108314421291521,2423
ROP,1Month,1Min,0.1,1.0,10,0.19192091564987734,0.0801182375219387,2.0010303521048227,2.5471900648249384,0.1923493794769024,-0.016288924303726363,-0.060852448810264866,0.5140541247221859,3824
ROP,1Month,1Min,0.1,1.0,20,0.17612410968156422,0.0801182375219387,1.8792071611347163,2.357391208277899,0.17680946310804696,-0.02605510519473564,-0.05957221761642841,0.5121951219512195,3710
ROP,1Month,1Min,0.1,1.0,30,0.17426781559803906,0.0801182375219387,1.8656482083726655,2.3244438094376623,0.17475861159983383,-0.018658608772915603,-0.06025481404828133,0.5117241379310344,3625
ROP,1Month,1Min,0.1,1.5,10,0.16109889007192968,0.0801182375219387,1.750799511526576,2.186400338742519,0.16131813445365348,-0.008335021331234984,-0.06033992248467127,0.5125773195876289,3637
ROP,1Month,1Min,0.1,1.5,20,0.17536519367447911,0.0801182375219387,1.8892547785894396,2.360394941027278,0.17573007019104475,-0.013871523297105904,-0.05858825332437553,0.5108150694742873,3490
ROP,1Month,1Min,0.1,1.5,30,0.18191631570450473,0.0801182375219387,1.9641236198404348,2.409918088581279,0.18251507685968507,-0.02276312378681658,-0.05731130112313623,0.5107935090069972,3358
ROP,1Month,1Min,0.1,2.0,10,0.15169865265511473,0.0801182375219387,1.71909145987913,2.1440982208954593,0.1520515916345021,-0.013417693528512003,-0.053473969973655375,0.512093291102793,3473
ROP,1Month,1Min,0.1,2.0,20,0.15380109220489757,0.0801182375219387,1.7477454907902217,2.1247049349907257,0.15416039460412012,-0.013659611883037989,-0.05203796299564514,0.509986278396097,3279
ROP,1Month,1Min,0.1,2.0,30,0.17949965003836743,0.0801182375219387,1.9940085893972872,2.4018528583679664,0.1799801106806783,-0.01826568904978709,-0.05527856103983905,0.5084260731319555,3145
ROP,1Month,5Min,0.001,1.0,10,0.1449273839630527,0.0801182375219387,1.7441979433938466,1.9670402462641772,0.1452369129077964,-0.06927704913822924,-0.04614394732898106,0.5295019157088122,652
ROP,1Month,5Min,0.001,1.0,20,0.10875275480182545,0.0801182375219387,1.3440206240601584,1.446333239706091,0.1092251588499764,-0.10573085009530626,-0.05529615174787727,0.5170940170940171,585
ROP,1Month,5Min,0.001,1.0,30,0.1001876145043834,0.0801182375219387,1.2754025275050718,1.3160895510702504,0.10055352649465948,-0.08189638921043618,-0.05644682152715132,0.5123574144486692,526
ROP,1Month,5Min,0.001,1.5,10,0.13560398360386916,0.0801182375219387,1.7408422049455765,1.884453905101358,0.1358526892642512,-0.05566391947450955,-0.048260005656350025,0.5222419928825622,562
ROP,1Month,5Min,0.001,1.5,20,0.11753372524898897,0.0801182375219387,1.5321112540052535,1.5068195570717926,0.11790596478872142,-0.0833125861834726,-0.047532185476046075,0.5100529100529101,472
ROP,1Month,5Min,0.001,1.5,30,0.11570644927256746,0.0801182375219387,1.4918966697592844,1.3691717358152098,0.11599184264227035,-0.06387515879332191,-0.04904603014742111,0.5135135135135135,388
ROP,1Month,5Min,0.001,2.0,10,0.11017590240241049,0.0801182375219387,1.5348258447683256,1.4720776132832507,0.11047581767645377,-0.06712537076107047,-0.05046097109178787,0.5211581291759465,449
ROP,1Month,5Min,0.001,2.0,20,0.17336635380565868,0.0801182375219387,2.3260968421558244,2.279873184290536,0.17378065257553926,-0.09272604945780744,-0.04614394732898095,0.5218002812939522,355
ROP,1Month,5Min,0.001,2.0,30,0.16918352848580187,0.0801182375219387,2.271775065889521,2.0865443649520086,0.1695858098949887,-0.09003639053759431,-0.04629000955578274,0.526813880126183,317
ROP,1Month,5Min,0.01,1.0,10,0.17486080476336063,0.0801182375219387,2.002500434650858,2.850020156524573,0.17507221500877865,-0.04731666685413477,-0.05268037561214303,0.5085714285714286,787
ROP,1Month,5Min,0.01,1.0,20,0.1784967231086645,0.0801182375219387,2.0613995502989666,2.8283330175458943,0.17883267362056843,-0.07519057754180455,-0.05502428731068885,0.5074324324324324,740
ROP,1Month,5Min,0.01,1.0,30,0.17250044689491095,0.0801182375219387,2.0032195264130825,2.7218407050010764,0.1728466622785718,-0.07748800412234272,-0.05131484394812979,0.5061813186813187,728
