symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
SBUX,1Month,1Min,0.001,1.0,10,0.3699611352012875,-0.01025641025641022,3.3022718399587663,4.20371408663448,0.37100044453112857,-0.035918184210550416,-0.042170658297690275,0.5027608253414705,3441
SBUX,1Month,1Min,0.001,1.0,20,0.3259964256046668,-0.01025641025641022,3.0661517123252193,3.746504023260459,0.3272407281456094,-0.04300268129611104,-0.04296334928137219,0.5024117006379337,3213
SBUX,1Month,1Min,0.001,1.0,30,0.29859419624632744,-0.01025641025641022,2.8520285383277537,3.3152709458261556,0.3002213704520297,-0.05623459848282577,-0.03935164849885759,0.5003258390355164,3069
SBUX,1Month,1Min,0.001,1.5,10,0.30606383636395296,-0.01025641025641022,3.010622261436732,3.5979006581434465,0.3069934058718877,-0.03212561252347885,-0.04415877922896894,0.5023592854735422,2967
SBUX,1Month,1Min,0.001,1.5,20,0.23997562811790019,-0.01025641025641022,2.512177926831832,2.8034289015887763,0.24091412154585232,-0.032434020226422285,-0.04107919751434057,0.49649289099526067,2637
SBUX,1Month,1Min,0.001,1.5,30,0.25464078938498025,-0.01025641025641022,2.7073963178276332,2.9096244288458113,0.25607732261435057,-0.04964610984969033,-0.03522124806739799,0.49647302904564317,2410
SBUX,1Month,1Min,0.001,2.0,10,0.21296775133135148,-0.01025641025641022,2.388991590829643,2.5954938946834596,0.2141102260776225,-0.039483546634511445,-0.04376611091779866,0.49625126646403245,2467
SBUX,1Month,1Min,0.001,2.0,20,0.22496334431272813,-0.01025641025641022,2.6000802567701613,2.609869061603247,0.22646552964232,-0.05191502456243317,-0.0347132291446189,0.49335909200676165,2070
SBUX,1Month,1Min,0.001,2.0,30,0.25362791471508705,-0.01025641025641022,2.9459815460320673,2.8346871572606074,0.254201924115704,-0.019837573663559063,-0.032508784233906664,0.49866167023554603,1868
SBUX,1Month,1Min,0.01,1.0,10,0.40332656746127826,-0.01025641025641022,3.443209051081214,4.51609342786987,0.40442734979065015,-0.03804267059561883,-0.04044740794097888,0.5042194092827004,3792
SBUX,1Month,1Min,0.01,1.0,20,0.3795698210753897,-0.01025641025641022,3.342884210346599,4.292185256471167,0.381440074376146,-0.06463533103010304,-0.040387182902058165,0.5044370493621742,3606
SBUX,1Month,1Min,0.01,1.0,30,0.37313914127211434,-0.01025641025641022,3.34035081034667,4.239563653541784,0.3750664499042938,-0.06660714427704417,-0.04076907786996704,0.5038211968276857,3467
SBUX,1Month,1Min,0.01,1.5,10,0.33470533525534396,-0.01025641025641022,3.0494327308056657,3.8585169624988827,0.3362229272532953,-0.05244747388845852,-0.03391073796680267,0.5036942313157147,3519
SBUX,1Month,1Min,0.01,1.5,20,0.3782617760852902,-0.01025641025641022,3.471744045666077,4.314686058273103,0.37979639417047695,-0.05303588979135447,-0.037983153226950644,0.5041589648798521,3246
SBUX,1Month,1Min,0.01,1.5,30,0.37961806549041666,-0.01025641025641022,3.5212223416213804,4.225046581643624,0.38091118112990147,-0.044689645720450685,-0.03264965105993567,0.505433901054339,3082
SBUX,1Month,1Min,0.01,2.0,10,0.3319036019072634,-0.01025641025641022,3.1712506834091667,3.8414366943299445,0.33374198534657007,-0.06353391923532135,-0.032801024950232543,0.5044052863436124,3178
SBUX,1Month,1Min,0.01,2.0,20,0.31302239097928797,-0.01025641025641022,3.175469643327014,3.859446905157664,0.3141923974108781,-0.04043503250741458,-0.033130970518105124,0.5025550660792951,2837
SBUX,1Month,1Min,0.01,2.0,30,0.34309148879145135,-0.01025641025641022,3.421674637903341,3.7770643657588043,0.34364010192483624,-0.018959887128366503,-0.03175282890269475,0.5087276958882855,2578
