symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
SMCI,1Month,1Min,0.001,1.0,10,1.8908838483902293,0.0056124133377353225,5.749563627913495,6.146225939701646,1.893140843489779,0.3998562083662181,-0.06053172010910681,0.5290822043394112,4908
SMCI,1Month,1Min,0.001,1.0,20,1.851075130957954,0.0056124133377353225,5.941698200093751,6.576598389691858,1.8529422309709613,0.33078119309633225,-0.05865924396533593,0.5290076335877862,4585
SMCI,1Month,1Min,0.001,1.0,30,1.6315100291336617,0.0056124133377353225,5.575708218183972,6.002126556283072,1.6333875630738657,0.3326296997980429,-0.05938129505033414,0.5262122439532462,4320
SMCI,1Month,1Min,0.001,1.5,10,1.5774052142622295,0.0056124133377353225,5.588934840708224,5.893917030931957,1.579252744527748,0.3273141563131836,-0.06699501219896872,0.5275477133597407,4165
SMCI,1Month,1Min,0.001,1.5,20,1.1345491485077908,0.0056124133377353225,4.744666814644358,4.659792859325628,1.1361269461641246,0.27952749589780185,-0.06639864654176039,0.523115024766098,3634
SMCI,1Month,1Min,0.001,1.5,30,1.1844752279729982,0.0056124133377353225,4.974633204930529,4.690088439175306,1.1865704179573144,0.37119031543429837,-0.06079653783300467,0.5251851851851852,3375
SMCI,1Month,1Min,0.001,2.0,10,1.0157806523528357,0.0056124133377353225,4.6140840380656645,4.485961042063483,1.0168683282857942,0.19269602072717465,-0.059107237917546684,0.5233191113726644,3398
SMCI,1Month,1Min,0.001,2.0,20,0.7753960923820391,0.0056124133377353225,4.012775201316528,3.483880185544471,0.776482861379678,0.19253534527060412,-0.05924175690230994,0.5195601225887867,2773
SMCI,1Month,1Min,0.001,2.0,30,0.8859160353924507,0.0056124133377353225,4.506127146034889,3.7269421753469008,0.8870554990826028,0.20187089941228054,-0.060070123604565664,0.5228273928714458,2497
SMCI,1Month,1Min,0.01,1.0,10,1.2890522107944569,0.0056124133377353225,4.384100789805829,5.043265943392078,1.2919212144342664,0.5082815276967255,-0.08185944167531618,0.5157494248805521,5651
SMCI,1Month,1Min,0.01,1.0,20,1.262326629337121,0.0056124133377353225,4.354754335549618,4.94755228588281,1.265381672945195,0.5412409418884628,-0.0840922959291768,0.5145783354862521,5419
SMCI,1Month,1Min,0.01,1.0,30,1.3123813622121978,0.0056124133377353225,4.500422309389885,5.036845111678073,1.3154186979796576,0.5381037662659871,-0.08681310059427821,0.514206447909691,5226
SMCI,1Month,1Min,0.01,1.5,10,0.9915385008075224,0.0056124133377353225,3.7643356641886845,4.180654606390787,0.9948884333287549,0.5934843706527971,-0.08371327528727349,0.512150609931803,5205
SMCI,1Month,1Min,0.01,1.5,20,0.9239501345626702,0.0056124133377353225,3.683336672924748,3.9057039762841192,0.9269562394811887,0.5325708128075517,-0.08566180896903058,0.5102996254681648,4806
SMCI,1Month,1Min,0.01,1.5,30,0.9034862929327441,0.0056124133377353225,3.689503904884845,3.776977239670953,0.9065228471274784,0.5379653004329656,-0.08826495594730667,0.5084896237931417,4505
SMCI,1Month,1Min,0.01,2.0,10,0.5784517629315751,0.0056124133377353225,2.6899037031330977,2.7511417057184966,0.5814225399897427,0.526312020179944,-0.08921084916825853,0.5076563164610803,4702
