symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
SWKS,1Month,1Min,0.001,1.0,10,0.10286688158836133,-0.14030427432987203,0.8344453995183122,0.9851294922313751,0.10247252090370672,0.02697468221082449,-0.08893679645353811,0.4976555173491716,3199
SWKS,1Month,1Min,0.001,1.0,20,0.09962002949437432,-0.14030427432987203,0.8189505607349243,0.9465040478995318,0.0998635857498496,-0.016659501942132705,-0.11169052051975012,0.4939899833055092,2995
SWKS,1Month,1Min,0.001,1.0,30,0.15823564875453355,-0.14030427432987203,1.2522214225742696,1.4495102335673045,0.15806747214436337,0.011503455570394814,-0.08876137312893553,0.4953303355240401,2891
SWKS,1Month,1Min,0.001,1.5,10,0.09498768320590778,-0.14030427432987203,0.8061595279632935,0.8863397958685163,0.09440640768010339,0.039759852327157175,-0.09220786946805666,0.4965443912812334,2821
SWKS,1Month,1Min,0.001,1.5,20,0.14904791814303264,-0.14030427432987203,1.2428364296829526,1.3205382144357993,0.14834515439114482,0.048069773722661156,-0.0736240731575323,0.49822204662188857,2531
SWKS,1Month,1Min,0.001,1.5,30,0.12777653741907646,-0.14030427432987203,1.103085043491509,1.1148897845404264,0.1267231340457827,0.07205388959930668,-0.07418059831159764,0.4992448759439051,2317
SWKS,1Month,1Min,0.001,2.0,10,0.11916997761808834,-0.14030427432987203,1.0742877195827705,1.1123367181271393,0.11871100095142369,0.03139448278498173,-0.09035294593692021,0.49840798132031416,2355
SWKS,1Month,1Min,0.001,2.0,20,0.17147372720435516,-0.14030427432987203,1.4874046949048747,1.418125842875804,0.17067193556600152,0.05484338445864348,-0.07124258337509158,0.5013684996267729,2009
SWKS,1Month,1Min,0.001,2.0,30,0.21599921762839536,-0.14030427432987203,1.8566781376069843,1.643365976353148,0.21510190888910927,0.06137685380183697,-0.06287834416188007,0.5052482269503547,1762
SWKS,1Month,1Min,0.01,1.0,10,0.29489964679755665,-0.14030427432987203,2.018612945312305,2.5160524867958847,0.2936292306682326,0.08689778849034165,-0.08460343110133921,0.5011441647597255,3496
SWKS,1Month,1Min,0.01,1.0,20,0.29161210143325844,-0.14030427432987203,2.0199670747599914,2.4677543052162476,0.2903665968856774,0.08519381031240808,-0.07771302110088721,0.499776885319054,3361
SWKS,1Month,1Min,0.01,1.0,30,0.2978819570319198,-0.14030427432987203,2.080268090843547,2.502542774926817,0.296629722818429,0.0856541264807382,-0.07638506387518577,0.49798948345190225,3233
SWKS,1Month,1Min,0.01,1.5,10,0.3357462130047846,-0.14030427432987203,2.3560100122825847,2.921793944976097,0.33399247093385703,0.11995778708127644,-0.06412980482530413,0.5038520801232665,3245
SWKS,1Month,1Min,0.01,1.5,20,0.37750713299452743,-0.14030427432987203,2.6197773559885422,3.1502243714747307,0.3766786326939077,0.056670284818993236,-0.06053276650377045,0.5033233632436025,3009
SWKS,1Month,1Min,0.01,1.5,30,0.3797778704177206,-0.14030427432987203,2.6670832617706792,3.1429315306827323,0.3785086666062353,0.08681486468553244,-0.054026318987969744,0.5025443060185998,2849
SWKS,1Month,1Min,0.01,2.0,10,0.29787983161875786,-0.14030427432987203,2.2317662679754635,2.6385576429729536,0.29598300465002725,0.12974494335114295,-0.06138556136221828,0.5037669512807634,2986
SWKS,1Month,1Min,0.01,2.0,20,0.35223882515903293,-0.14030427432987203,2.5729033154469185,2.9253262999671357,0.35060511947812206,0.11174717278723487,-0.06232957772152347,0.501666049611255,2701
SWKS,1Month,1Min,0.01,2.0,30,0.41769756836328864,-0.14030427432987203,3.0983872413802294,3.6286318361627967,0.4160560897280733,0.1122788509700781,-0.056158563664578644,0.5010170870626526,2458
SWKS,1Month,1Min,0.1,1.0,10,0.38706249075527444,-0.14030427432987203,2.454294424381568,3.1267779694504987,0.38548347725872817,0.10800617032411035,-0.05834610875642491,0.5072933549432739,3702
SWKS,1Month,1Min,0.1,1.0,20,0.4704672801008869,-0.14030427432987203,2.9138199296268237,3.681557029701939,0.4685360831399598,0.13209588667071132,-0.05834610875642522,0.5089211039866184,3587
SWKS,1Month,1Min,0.1,1.0,30,0.5104213644818634,-0.14030427432987203,3.1877472245060736,4.154397378048645,0.50850376660097,0.13116569541041753,-0.058346108756425444,0.5090361445783133,3486
SWKS,1Month,1Min,0.1,1.5,10,0.4113937850480802,-0.14030427432987203,2.654344847123225,3.3023895981899343,0.4094270059645701,0.13452974097316125,-0.05835369882172728,0.5088832487309645,3546
SWKS,1Month,1Min,0.1,1.5,20,0.5094350615213896,-0.14030427432987203,3.2111167953221864,4.120486688680664,0.507703855593136,0.11841629141362697,-0.05587703435804688,0.5097282043665528,3366
SWKS,1Month,1Min,0.1,1.5,30,0.500242463973019,-0.14030427432987203,3.185228551300467,3.9943918899579427,0.4985561829022178,0.11534338430016122,-0.05587703435804622,0.5081332300542215,3227
SWKS,1Month,1Min,0.1,2.0,10,0.4768728260503987,-0.14030427432987203,3.1123660090408567,4.003076462867293,0.47496276440758833,0.1306502088640544,-0.058091286307053916,0.5091445427728614,3390
SWKS,1Month,1Min,0.1,2.0,20,0.5586246119692257,-0.14030427432987203,3.6217727682609366,4.642852964362056,0.5568895544124668,0.11867974682125144,-0.05553545586107031,0.511118170266836,3148
SWKS,1Month,1Min,0.1,2.0,30,0.4767234292539255,-0.14030427432987203,3.2068955818492033,3.845723789043337,0.4749091569631388,0.12409811726222018,-0.05553545586107068,0.5079365079365079,2929
SWKS,1Month,5Min,0.001,1.0,10,0.3565069210570184,-0.14416219248337214,2.538700622925709,3.052296513738464,0.3566661109888915,0.24481456820767306,-0.05216502714111895,0.5327102803738317,695
SWKS,1Month,5Min,0.001,1.0,20,0.37341210708947226,-0.14416219248337214,2.6795874629502237,3.0212616622798754,0.3735612622208147,0.22938227716980922,-0.04762356374247687,0.5384006334125099,631
SWKS,1Month,5Min,0.001,1.0,30,0.37198412239947776,-0.14416219248337214,2.6749560847178118,3.1178035594068594,0.3718766573612124,-0.165268033165126,-0.05141867158351535,0.5352112676056338,568
SWKS,1Month,5Min,0.001,1.5,10,0.5337852564586008,-0.14416219248337214,3.857949494997313,4.920823027850112,0.5338427572954901,0.08842922657864348,-0.04188269604666153,0.5476588628762542,598
SWKS,1Month,5Min,0.001,1.5,20,0.4620115030459724,-0.14416219248337214,3.4784210343716664,4.034633845737274,0.46204541533426097,0.052152935280649265,-0.04188269604666276,0.5486815415821501,493
SWKS,1Month,5Min,0.001,1.5,30,0.3910396300782357,-0.14416219248337214,3.1032368571851356,3.247872751419044,0.39107471880562633,0.05396215416398358,-0.04188269604666237,0.5437731196054254,405
SWKS,1Month,5Min,0.001,2.0,10,0.3684680721561464,-0.14416219248337214,3.1567338620388816,3.530683206595853,0.3685196390771813,0.07930359262307683,-0.03990089718570001,0.542766631467793,473
SWKS,1Month,5Min,0.001,2.0,20,0.41508481232476835,-0.14416219248337214,3.358122645198527,3.522287897331885,0.4151271343173949,0.06508602792049437,-0.03990089718569954,0.5496083550913838,383
SWKS,1Month,5Min,0.001,2.0,30,0.37320527369127743,-0.14416219248337214,3.2959106870008568,3.237057770972119,0.37325802204896047,0.08112049711870548,-0.03990089718570021,0.5507936507936508,315
SWKS,1Month,5Min,0.01,1.0,10,0.6813770455268446,-0.14416219248337214,4.175124392767106,5.954207647171251,0.6813134741552671,-0.097764963525041,-0.058442120447169565,0.5463215258855586,734
