symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
TGT,1Month,1Min,0.001,1.0,10,0.3672340685497968,-0.007698961937716242,2.4568032621197498,2.423856707958416,0.3684584539785866,-0.06510668984200886,-0.07475697275773803,0.5114682249817385,3422
TGT,1Month,1Min,0.001,1.0,20,0.3706153735598161,-0.007698961937716242,2.5412893400805894,2.4238039162348453,0.371874624349115,-0.06696065523519228,-0.0762496670436048,0.5099212598425197,3175
TGT,1Month,1Min,0.001,1.0,30,0.31699148740140193,-0.007698961937716242,2.267387365689212,2.0824325969353183,0.3184372353123254,-0.07687763886512353,-0.06690771555402188,0.5093418616394546,2970
TGT,1Month,1Min,0.001,1.5,10,0.286240228511609,-0.007698961937716242,2.078624919718185,1.8519362520975993,0.28824287843227614,-0.10649090080716613,-0.07908751689117384,0.5122837370242215,2890
TGT,1Month,1Min,0.001,1.5,20,0.2242414930640757,-0.007698961937716242,1.7436666191646124,1.45452862391257,0.2263982297737099,-0.11468446513923036,-0.0738721238980098,0.5099782651649871,2530
TGT,1Month,1Min,0.001,1.5,30,0.310311674391633,-0.007698961937716242,2.493896751731209,2.266376147562089,0.3098742221510343,0.023261520988126234,-0.06011856736462385,0.5103582218385844,2317
TGT,1Month,1Min,0.001,2.0,10,0.3222284862065219,-0.007698961937716242,2.5661456244466736,2.3469441234219333,0.3217428009147286,0.025826313275277117,-0.06424704084955826,0.5103476821192053,2416
TGT,1Month,1Min,0.001,2.0,20,0.24716563156032012,-0.007698961937716242,2.1599397727301555,1.8875596479335917,0.24931926671436794,-0.11451953993443637,-0.04361629219819774,0.5067884472969637,2025
TGT,1Month,1Min,0.001,2.0,30,0.3483909202218831,-0.007698961937716242,2.9775705900960174,2.416093548353502,0.3505587083170747,-0.1152721225180992,-0.0408291360773224,0.5142270460545615,1704
TGT,1Month,1Min,0.01,1.0,10,0.4883446670829521,-0.007698961937716242,3.1054415864530927,3.6360373331431877,0.48566629598016897,0.14242237172248612,-0.048759147240506964,0.5131821776957554,3793
TGT,1Month,1Min,0.01,1.0,20,0.46853631755711667,-0.007698961937716242,3.0588958419392447,3.5224905445565957,0.4660019205540576,0.13476654959686576,-0.04822900300988736,0.5135060257653414,3609
TGT,1Month,1Min,0.01,1.0,30,0.4102326531281302,-0.007698961937716242,2.7787557251911807,3.1323765386994173,0.4075625659333627,0.14198187494984227,-0.0511760369207231,0.5125772603133535,3478
