symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
TJX,1Month,1Min,0.001,1.0,10,0.21243404823527845,-0.012977789256198302,2.310260328918388,2.887097189760072,0.21338725154466737,-0.05533127751169697,-0.04458250872245005,0.49451210344309127,3325
TJX,1Month,1Min,0.001,1.0,20,0.2353747286569352,-0.012977789256198302,2.564996194458293,3.152184420715697,0.2362662120873332,-0.05174857934143519,-0.04697103137903591,0.49351896303408543,3124
TJX,1Month,1Min,0.001,1.0,30,0.23512720826205435,-0.012977789256198302,2.5622254803709383,3.023673265374526,0.236019967121134,-0.051822615066694284,-0.04679191234089439,0.4919082939986514,2966
TJX,1Month,1Min,0.001,1.5,10,0.20071354699879596,-0.012977789256198302,2.310386062388389,2.6913431691778142,0.20147589904621854,-0.04425279715467233,-0.04115260434314698,0.494209161624892,2892
TJX,1Month,1Min,0.001,1.5,20,0.2747408735388619,-0.012977789256198302,3.1038488594903706,3.5127353766080756,0.2750251013289692,-0.016498774790284592,-0.03825530804543303,0.4940511020089721,2563
TJX,1Month,1Min,0.001,1.5,30,0.26229977670816584,-0.012977789256198302,3.0130685300344173,3.2667313085917895,0.26277245034840024,-0.027437626477650114,-0.043729259425977815,0.4941675503711559,2357
TJX,1Month,1Min,0.001,2.0,10,0.1752732484671804,-0.012977789256198302,2.205441670092253,2.311724286645206,0.1757827313585556,-0.029574319531281076,-0.037764085820385505,0.49509906152241917,2397
TJX,1Month,1Min,0.001,2.0,20,0.250547105440726,-0.012977789256198302,3.004564347084766,3.069174427919355,0.2503186793932985,0.013259610931494636,-0.04403273691798353,0.49174174174174173,1998
TJX,1Month,1Min,0.001,2.0,30,0.23311063562464462,-0.012977789256198302,2.861392418655668,2.661665016277915,0.23345275233975146,-0.019859094821127524,-0.04445265105102898,0.4916003536693192,1696
TJX,1Month,1Min,0.01,1.0,10,0.242747900512573,-0.012977789256198302,2.541268034407964,3.344410050475301,0.24391619359636213,-0.0678167482187761,-0.041376450705494505,0.49529316837009146,3718
TJX,1Month,1Min,0.01,1.0,20,0.2486561630675297,-0.012977789256198302,2.6125023453841156,3.3907367579550387,0.24970282218236234,-0.06075617381152423,-0.039462009164747666,0.49526330454165507,3589
TJX,1Month,1Min,0.01,1.0,30,0.2473408224869067,-0.012977789256198302,2.6192439237090333,3.3400195866573763,0.24830420757602578,-0.05592230659674529,-0.03982921450399401,0.4944943494639235,3451
TJX,1Month,1Min,0.01,1.5,10,0.1756639283166379,-0.012977789256198302,2.013998008538312,2.4613266668139815,0.17649183664098403,-0.048058189472723244,-0.039989623794353946,0.4951624548736462,3462
