symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
TPR,1Month,1Min,0.001,1.0,10,0.2708427040188204,-0.08718849632376868,2.0895026173806452,2.6856877210866013,0.271508486702605,-0.036491970360873156,-0.08717053321747904,0.5016458196181699,3038
TPR,1Month,1Min,0.001,1.0,20,0.23107428654289253,-0.08718849632376868,1.8406484098627331,2.305696931684655,0.23210344480550493,-0.056408815865279835,-0.08083946003399235,0.49807490374518726,2857
TPR,1Month,1Min,0.001,1.0,30,0.24871919824740085,-0.08718849632376868,2.003020883767902,2.51868488873887,0.24968140945598316,-0.05273940545417301,-0.06530808728292965,0.49963356540857456,2729
TPR,1Month,1Min,0.001,1.5,10,0.2091013105566506,-0.08718849632376868,1.7283390127725933,2.0822225168844133,0.21014370390683254,-0.05713423939321744,-0.08975451433604982,0.49809378574151736,2623
TPR,1Month,1Min,0.001,1.5,20,0.18499110982527966,-0.08718849632376868,1.5755113682860282,1.791376452090085,0.18618779355520054,-0.06559099277766327,-0.09517203057327032,0.4978858350951374,2365
TPR,1Month,1Min,0.001,1.5,30,0.22521437390038224,-0.08718849632376868,1.9335108391926283,2.2050210549867773,0.22609782984363846,-0.04842277950694047,-0.06750455767650616,0.501954472292481,2174
TPR,1Month,1Min,0.001,2.0,10,0.18946222937469925,-0.08718849632376868,1.6302684935445981,1.8186451634181329,0.19043669950204922,-0.05341132455213233,-0.09460812337329226,0.49754135002235134,2237
TPR,1Month,1Min,0.001,2.0,20,0.21184006084275575,-0.08718849632376868,1.8486310114941527,1.908166209357762,0.21312511724591174,-0.07043475494052755,-0.07942392615920446,0.4958433896486994,1864
TPR,1Month,1Min,0.001,2.0,30,0.2715922557201438,-0.08718849632376868,2.3864857187274087,2.6094054075638953,0.2714162170491555,0.00964879099521712,-0.0624389119485938,0.5020325203252033,1722
TPR,1Month,1Min,0.01,1.0,10,0.21405107749436603,-0.08718849632376868,1.589915745401393,2.0588888232733726,0.2119161500615009,0.11701672407558267,-0.14097261877976233,0.4957846472415323,3380
TPR,1Month,1Min,0.01,1.0,20,0.17231163735797783,-0.08718849632376868,1.3220351187023713,1.6688641578214065,0.1703968627258248,0.10495000970448944,-0.14292970202768232,0.49439065621638234,3253
TPR,1Month,1Min,0.01,1.0,30,0.19055177969387627,-0.08718849632376868,1.4495151312021402,1.800759179124015,0.18870413765325475,0.10127042986547888,-0.14082164831840308,0.4955342902711324,3135
TPR,1Month,1Min,0.01,1.5,10,0.17073023579571212,-0.08718849632376868,1.333609061471369,1.6566624686794296,0.16855978514658884,0.11896377404607225,-0.14270413064901383,0.494006309148265,3170
TPR,1Month,1Min,0.01,1.5,20,0.16627339577128208,-0.08718849632376868,1.3151770705462915,1.5855572449748216,0.1644275951681516,0.10116949951090387,-0.13096581648638375,0.49262981574539366,2985
TPR,1Month,1Min,0.01,1.5,30,0.1598355105194762,-0.08718849632376868,1.2683794388616325,1.500409223486954,0.15748974065882365,0.1285731310128982,-0.12243649656091181,0.49266136162687885,2827
TPR,1Month,1Min,0.01,2.0,10,0.19458657607359964,-0.08718849632376868,1.5408485577188693,1.919091191620149,0.195246580978893,-0.03617528666423952,-0.1178873887456021,0.49238665526090675,2922
TPR,1Month,1Min,0.01,2.0,20,0.14530485449664465,-0.08718849632376868,1.2351621985172399,1.4355482875887817,0.14645063906949682,-0.06280117775786359,-0.10899891005306303,0.4900338473110192,2659
TPR,1Month,1Min,0.01,2.0,30,0.16948841751594435,-0.08718849632376868,1.4057580280342648,1.6135159002503539,0.16981553165138868,-0.017929332837858324,-0.09031650345840292,0.489945155393053,2461
TPR,1Month,1Min,0.1,1.0,10,0.21932360762449554,-0.08718849632376868,1.6013391721629682,2.1166092954114655,0.21532742485596723,0.21903330725996464,-0.10041132875855881,0.5008298755186722,3615
TPR,1Month,1Min,0.1,1.0,20,0.2188742816282112,-0.08718849632376868,1.6047359519600122,2.1056568882205338,0.2150114916268384,0.21172196525010256,-0.1000627400108653,0.5,3551
TPR,1Month,1Min,0.1,1.0,30,0.20604036072593157,-0.08718849632376868,1.5269128609085991,1.9825938560448335,0.20219727781672894,0.21064180705300928,-0.10016660212584073,0.49834460918382034,3473
TPR,1Month,1Min,0.1,1.5,10,0.2157477743386913,-0.08718849632376868,1.5872800364158777,2.071522761926079,0.2117178367115013,0.22088343243116326,-0.09987188053904006,0.49964341748680646,3505
TPR,1Month,1Min,0.1,1.5,20,0.21262097439787309,-0.08718849632376868,1.5790452884646107,2.0294666415248517,0.2087709687535598,0.21102124654674678,-0.09152530310037918,0.49844651575676874,3379
TPR,1Month,1Min,0.1,1.5,30,0.2195966467768713,-0.08718849632376868,1.6325084984624356,2.073477624323529,0.21573395305892276,0.21171668789466766,-0.089636152796149,0.4989406779661017,3304
TPR,1Month,1Min,0.1,2.0,10,0.17856594171690188,-0.08718849632376868,1.37776058852159,1.7542812496566815,0.1746086825056237,0.21689988244717584,-0.09722314783105011,0.4967359050445104,3370
TPR,1Month,1Min,0.1,2.0,20,0.18996108876926376,-0.08718849632376868,1.4610518056911241,1.8226807038351234,0.18657646435407793,0.18551340677643596,-0.0841419624577687,0.49790600279199626,3223
TPR,1Month,1Min,0.1,2.0,30,0.2100447554413356,-0.08718849632376868,1.6125250938328084,1.9587924361522602,0.20620903056453563,0.2102385086391407,-0.0961933729329501,0.49975470155355683,3057
TPR,1Month,5Min,0.001,1.0,10,0.07559103234323228,-0.08718849632376868,0.6848697320371394,0.8040372348764354,0.07316651965909639,0.3064112210043735,-0.11628542972849233,0.5042918454935622,699
TPR,1Month,5Min,0.001,1.0,20,0.07356780162839072,-0.08718849632376868,0.6754816328733516,0.7505826310634173,0.07122996250604574,0.2954573695063287,-0.09786288470141753,0.5035913806863528,626
TPR,1Month,5Min,0.001,1.0,30,0.10512110668114283,-0.08718849632376868,0.93542803325533,1.017819971351914,0.10289606470526444,0.28120200528374173,-0.09876196595846119,0.5085763293310464,583
TPR,1Month,5Min,0.001,1.5,10,0.04590251473641738,-0.08718849632376868,0.45920525281166,0.5008618689463546,0.043785599285693325,0.26753691670231894,-0.10901772496648326,0.5040783034257749,613
TPR,1Month,5Min,0.001,1.5,20,0.09820350669564637,-0.08718849632376868,0.8973860136652305,0.9255389882787703,0.09581604061384814,0.30172925141492923,-0.10725341279274243,0.5043062200956938,522
TPR,1Month,5Min,0.001,1.5,30,0.13747281196616412,-0.08718849632376868,1.2334634692634123,1.1666327406230228,0.13508694781094457,0.301526799069703,-0.08122441355278212,0.5174746335963923,443
TPR,1Month,5Min,0.001,2.0,10,0.07667167675827913,-0.08718849632376868,0.7440930258611509,0.7787376713275186,0.07455862759209891,0.2670482935758743,-0.10845552690385361,0.5037950664136622,527
TPR,1Month,5Min,0.001,2.0,20,0.031811887863145705,-0.08718849632376868,0.35207657719895286,0.3339607758992847,0.031235372163304423,0.0728603651663374,-0.08067950927879797,0.5011286681715575,443
TPR,1Month,5Min,0.001,2.0,30,0.05089930506829776,-0.08718849632376868,0.5368778751171096,0.45799521766366574,0.05011471348561344,0.09915710749343462,-0.06239027439926239,0.5086455331412104,347
TPR,1Month,5Min,0.01,1.0,10,0.17800038484590974,-0.08718849632376868,1.456610519462907,1.9025843681154588,0.17500606743648275,0.3784234495866039,-0.09188412564344059,0.5199004975124378,804
TPR,1Month,5Min,0.01,1.0,20,0.1722287765743442,-0.08718849632376868,1.4110489547306257,1.814794579220431,0.1692405829203058,0.3776495260769316,-0.08559878059117022,0.5172413793103449,754
TPR,1Month,5Min,0.01,1.0,30,0.17882845793279634,-0.08718849632376868,1.4778533894548127,1.8650028126669076,0.17584782833764134,0.37669357623456606,-0.08849647694089753,0.5176803394625177,707
TPR,1Month,5Min,0.01,1.5,10,0.17711279268422286,-0.08718849632376868,1.4560887337532475,1.86391684520179,0.17439589955888082,0.3433624188982727,-0.08797082657717123,0.5187165775401069,748
