symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
TRGP,1Month,1Min,0.001,1.0,10,0.40048615309529945,0.03871082304892126,3.172938518401556,3.905789942123794,0.3996129990043992,0.024358913526627102,-0.040637164116596146,0.5124369455557488,2874
TRGP,1Month,1Min,0.001,1.0,20,0.413759566854613,0.03871082304892126,3.3691028473897164,4.173753321881439,0.41284056824491105,0.025637866097314013,-0.03606579610542045,0.5157816561455626,2693
TRGP,1Month,1Min,0.001,1.0,30,0.37158134666314635,0.03871082304892126,3.119408867868213,3.7961553273291577,0.37113733301260216,0.012386920282418997,-0.03460927381710426,0.5132398753894081,2568
TRGP,1Month,1Min,0.001,1.5,10,0.3406424909638883,0.03871082304892126,3.0946367614237054,3.5993669337565364,0.33949138184755084,0.03211319481498287,-0.03446788200205601,0.5142508143322475,2456
TRGP,1Month,1Min,0.001,1.5,20,0.36789947629711484,0.03871082304892126,3.3114935481144374,3.791293037538538,0.36638288549725445,0.042309260798389564,-0.034976196414790904,0.5146572104018913,2115
TRGP,1Month,1Min,0.001,1.5,30,0.416062625312704,0.03871082304892126,3.719864190902517,4.150276509871614,0.4152676223055511,0.02217868496118565,-0.03446788200205587,0.5170497600404143,1979
TRGP,1Month,1Min,0.001,2.0,10,0.3113756304677817,0.03871082304892126,3.1210644156087834,3.3881204564903564,0.3095502664717914,0.05092329543701207,-0.033728912290998274,0.513839959738299,1987
TRGP,1Month,1Min,0.001,2.0,20,0.28972035361884774,0.03871082304892126,3.0249247527860486,2.886102483132366,0.2885030171707688,0.03396077918044713,-0.03410648644249219,0.5102675793403858,1607
TRGP,1Month,1Min,0.001,2.0,30,0.2714540961587213,0.03871082304892126,2.934750395987103,2.677289520511166,0.2699199819663457,0.0427981215933162,-0.03124971701300143,0.5111111111111111,1417
TRGP,1Month,1Min,0.01,1.0,10,0.47744441685403616,0.03871082304892126,3.511707104018969,4.481186748087609,0.4771050873497151,0.00946648265058071,-0.0527183663137494,0.5223951715374842,3148
TRGP,1Month,1Min,0.01,1.0,20,0.4777700412748873,0.03871082304892126,3.558014627970513,4.456782116961364,0.4770692106815004,0.019551499556655683,-0.052134949467361594,0.5227765726681128,2996
TRGP,1Month,1Min,0.01,1.0,30,0.4641093741946447,0.03871082304892126,3.5561201511179883,4.301469999587727,0.46315096840759606,0.026737232217589314,-0.05185355030613559,0.5253464304507981,2850
TRGP,1Month,1Min,0.01,1.5,10,0.4395700834265759,0.03871082304892126,3.516806992347048,4.121031400580093,0.4395333015289834,0.0010261270858587608,-0.04928366302954061,0.5237264480111654,2866
TRGP,1Month,1Min,0.01,1.5,20,0.43563676214574465,0.03871082304892126,3.446501344406383,3.985003316191474,0.4358553865279047,-0.006099098057661902,-0.05266528150844304,0.5242181540808543,2622
TRGP,1Month,1Min,0.01,1.5,30,0.42909736452319525,0.03871082304892126,3.501180347507622,3.888891814351933,0.4287078551836852,0.010866380193164646,-0.04928316849552148,0.5255652882460786,2454
TRGP,1Month,1Min,0.01,2.0,10,0.3759540609793448,0.03871082304892126,3.2079166609104557,3.555553700849785,0.3751943529544246,0.0211940392622301,-0.05040993729602079,0.5240477106579453,2599
TRGP,1Month,1Min,0.01,2.0,20,0.2932387824085707,0.03871082304892126,2.7420395127388897,2.7675480957932526,0.29283807635721876,0.011178741709169812,-0.049281295124472546,0.5230153435623749,2248
TRGP,1Month,1Min,0.01,2.0,30,0.3339999876146682,0.03871082304892126,3.105870819692735,3.0777997136196475,0.33323794454680183,0.021259181382961637,-0.04694413545757834,0.5220322658319287,2076
