symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
TSLA,1Month,1Min,0.001,1.0,10,0.4463311364447311,-0.052096385542168666,3.766048923297544,4.407959897330493,0.4454010083203123,-0.031591778985388355,-0.035598155180233786,0.5267112428482802,7253
TSLA,1Month,1Min,0.001,1.0,20,0.38895194517603215,-0.052096385542168666,3.416937222900863,3.8564411975963027,0.38826639543705016,-0.023284680108930072,-0.03700067123204934,0.5266543438077634,6762
TSLA,1Month,1Min,0.001,1.0,30,0.41573793654141666,-0.052096385542168666,3.6607586703105555,4.031694331285586,0.4151867608536846,-0.01872066874639648,-0.03559815518023447,0.5281021329596761,6423
TSLA,1Month,1Min,0.001,1.5,10,0.2823541844310644,-0.052096385542168666,2.815588087831495,2.9021685605177656,0.28396442345909484,0.054691729184053156,-0.04029677016744345,0.5247217806041335,6290
TSLA,1Month,1Min,0.001,1.5,20,0.29418098221965283,-0.052096385542168666,2.8694102857778194,2.915775431802926,0.2935513580859154,-0.02138516829531153,-0.041988014004652546,0.5274765003615329,5532
TSLA,1Month,1Min,0.001,1.5,30,0.32629384035470577,-0.052096385542168666,3.2200839435603146,3.146016069363831,0.32513248979586734,-0.03944524331237369,-0.036332472948585604,0.5288753799392097,5099
TSLA,1Month,1Min,0.001,2.0,10,0.18517437573963313,-0.052096385542168666,2.104408105614636,1.9549602340906285,0.18591867881977467,0.025280235903702018,-0.03655124751349185,0.5220431151679937,5149
TSLA,1Month,1Min,0.001,2.0,20,0.16594417283639595,-0.052096385542168666,1.9842067104543792,1.6931010265360396,0.16711097417794385,0.03963037901371903,-0.040876570480842075,0.52378223495702,4362
TSLA,1Month,1Min,0.001,2.0,30,0.2391297937363417,-0.052096385542168666,2.8690476182295654,2.2812359103454525,0.24032075114739027,0.04045083932320322,-0.0345860363752873,0.5282348295379755,3798
TSLA,1Month,1Min,0.01,1.0,10,0.24495326971685394,-0.052096385542168666,2.104684341163207,2.710135343298087,0.24530435841917514,0.011924719183100868,-0.04494301043234214,0.5139529240475613,8242
TSLA,1Month,1Min,0.01,1.0,20,0.22737885441227346,-0.052096385542168666,1.9870119584285024,2.524209551388427,0.22784647413865136,0.015882692563639826,-0.04624229294372689,0.512894522181088,7968
