symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
TXT,1Month,1Min,0.001,1.0,10,0.15791542151696802,-0.09100204498977493,1.3747899943953596,1.3913206460558738,0.15825000948049597,-0.015164920327214955,-0.07358364637560529,0.5095044127630686,2946
TXT,1Month,1Min,0.001,1.0,20,0.13347145205816768,-0.09100204498977493,1.220367586368036,1.2386985561831538,0.13395955498980275,-0.02212285819154155,-0.08065467533831666,0.5043795620437956,2740
TXT,1Month,1Min,0.001,1.0,30,0.1545995232740296,-0.09100204498977493,1.4055808618070154,1.3946200108373663,0.15487035709244124,-0.01227531688474706,-0.08136957790462374,0.5061208875286917,2614
TXT,1Month,1Min,0.001,1.5,10,0.14292364522976775,-0.09100204498977493,1.3007694203375941,1.217668427402916,0.14325570381370434,-0.015050278307292525,-0.06683455481256262,0.5074832611264277,2539
TXT,1Month,1Min,0.001,1.5,20,0.08309777192995127,-0.09100204498977493,0.8521590149271668,0.7462127933872315,0.08297875771590525,0.005394219967697799,-0.0668374630084957,0.5038486914449087,2273
TXT,1Month,1Min,0.001,1.5,30,0.0947673850667039,-0.09100204498977493,0.979859172121861,0.8223943198290987,0.09480597033116911,-0.0017488449233185517,-0.06750593235666924,0.503011322572874,2075
TXT,1Month,1Min,0.001,2.0,10,0.09013294839719599,-0.09100204498977493,0.8951572787389018,0.7468909659797643,0.09021374842508696,-0.003662193859226773,-0.0641139033551685,0.5065975494816211,2122
TXT,1Month,1Min,0.001,2.0,20,0.1339761432426687,-0.09100204498977493,1.383318507144048,1.0730841141979253,0.13339073803055665,0.02653300288273442,-0.06730475374906426,0.5077052395629028,1784
TXT,1Month,1Min,0.001,2.0,30,0.09829177025128089,-0.09100204498977493,1.062713360327,0.7641229067130375,0.09753548114186106,0.03427817297358815,-0.06458893186760499,0.49619079165286517,1509
TXT,1Month,1Min,0.01,1.0,10,0.2801145662818374,-0.09100204498977493,2.181532887290798,2.441635352597149,0.2803977513328047,-0.01283512619669749,-0.0716173679140553,0.5048835462058603,3327
TXT,1Month,1Min,0.01,1.0,20,0.2885687901379306,-0.09100204498977493,2.268452530291098,2.4724534663809394,0.28866747026618106,-0.004472594492099898,-0.0636574036004034,0.5073667711598746,3190
TXT,1Month,1Min,0.01,1.0,30,0.2500757326997467,-0.09100204498977493,2.0190660830325573,2.149052641862437,0.25059389435100193,-0.023485244582766775,-0.06754687542452263,0.5066884176182708,3065
TXT,1Month,1Min,0.01,1.5,10,0.2549149842437388,-0.09100204498977493,2.0919982984577152,2.257325879263318,0.2532484341148255,0.07553499432494648,-0.06671160341690194,0.5062632178298357,3073
