symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
TYL,1Month,1Min,0.001,1.0,10,0.24498245088555493,0.12770491803278694,1.6122102879525444,1.6905642397949796,0.2468026549384937,-0.07261411364988435,-0.06903047308180722,0.5183395956342817,2794
TYL,1Month,1Min,0.001,1.0,20,0.23381298513503768,0.12770491803278694,1.5877926533441855,1.5888549081658656,0.236102066241303,-0.091319209698377,-0.07576001107336311,0.5186800682723307,2636
TYL,1Month,1Min,0.001,1.0,30,0.22100231662820846,0.12770491803278694,1.525026226670483,1.4907667280896322,0.2234981586865212,-0.09956760539120545,-0.07538239878309068,0.5171524885980567,2521
TYL,1Month,1Min,0.001,1.5,10,0.279725965377811,0.12770491803278694,1.8764120293315711,1.8302362264382304,0.2810416681379625,-0.05248784585489494,-0.06950241571787061,0.519768163941213,2415
TYL,1Month,1Min,0.001,1.5,20,0.24038474379232966,0.12770491803278694,1.7035906744198528,1.536961582020949,0.24166605718552323,-0.05111593736112051,-0.06776950400508985,0.518646408839779,2172
TYL,1Month,1Min,0.001,1.5,30,0.25575041608316784,0.12770491803278694,1.8220423382729187,1.5621281561100975,0.2570363957824016,-0.05130209213677982,-0.0743364023258038,0.5174418604651163,1978
TYL,1Month,1Min,0.001,2.0,10,0.24789482947765418,0.12770491803278694,1.8096312781757882,1.5436091430586174,0.24882531803465588,-0.03712034467726309,-0.0671807189675523,0.5167055167055167,1930
TYL,1Month,1Min,0.001,2.0,20,0.23972263886415246,0.12770491803278694,1.8363301956727713,1.403884037512534,0.24104465909832307,-0.0527398713218555,-0.07285718631910987,0.5194039118286247,1610
TYL,1Month,1Min,0.001,2.0,30,0.24641777114026975,0.12770491803278694,1.9684897666994372,1.4053065917763155,0.24779384128294454,-0.054896105504803956,-0.07104944810731498,0.5239880059970015,1334
TYL,1Month,1Min,0.01,1.0,10,0.2402759443216016,0.12770491803278694,1.5469817405881177,1.7266061583502876,0.24254564592791286,-0.09054609571158553,-0.0740103718485357,0.5171369360752431,3136
TYL,1Month,1Min,0.01,1.0,20,0.2337634010508789,0.12770491803278694,1.5290836049428282,1.6617903782257726,0.23643045898974355,-0.10639798761620342,-0.07110005903918952,0.515838612870957,2999
TYL,1Month,1Min,0.01,1.0,30,0.2700843779295472,0.12770491803278694,1.7447742367824153,1.854961737076978,0.2728155527027193,-0.10895582561560331,-0.06808392043012415,0.5160841592766475,2875
TYL,1Month,1Min,0.01,1.5,10,0.22591100086379368,0.12770491803278694,1.5052993813509299,1.6070515679343507,0.22823238188379713,-0.09260776281596615,-0.06603055065332078,0.5150513311292848,2873
TYL,1Month,1Min,0.01,1.5,20,0.2769872239437654,0.12770491803278694,1.8252527678507038,1.8717054104419517,0.27957844931331255,-0.10337276920846801,-0.064649292218281,0.517655897821187,2662
TYL,1Month,1Min,0.01,1.5,30,0.25665709623617405,0.12770491803278694,1.7371446954194114,1.715602006299717,0.2593819357684689,-0.10870309136841086,-0.06460387012492165,0.5162781350482315,2488
TYL,1Month,1Min,0.01,2.0,10,0.2353329452151809,0.12770491803278694,1.6027002834939406,1.638245328056413,0.2380834391125622,-0.1097265310091445,-0.06556693200120856,0.5164274924471299,2648
