symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
T,1Month,1Min,0.001,1.0,10,0.6067812801790542,-0.04700208913649018,6.390867978734801,8.027239662868112,0.6070412125894697,-0.01996347299145873,-0.02910396952602058,0.5275652038107137,3201
T,1Month,1Min,0.001,1.0,20,0.5757834262627255,-0.04700208913649018,6.2594766504407655,7.580199401545681,0.5760433301944398,-0.019961285754463903,-0.029451090023151282,0.5274597643935623,3013
T,1Month,1Min,0.001,1.0,30,0.5718529055466428,-0.04700208913649018,6.3417711679620865,7.411752132170075,0.5721308884133941,-0.0213497941391919,-0.029451090023152,0.5287820287820287,2849
T,1Month,1Min,0.001,1.5,10,0.5467303912963688,-0.04700208913649018,6.24368466671543,7.2221751835286785,0.5469495348879982,-0.01683078753338519,-0.029103969526020464,0.5294332723948811,2735
T,1Month,1Min,0.001,1.5,20,0.4695189769061161,-0.04700208913649018,5.720895492977622,6.177155991230954,0.46957321193545115,-0.004165388770064797,-0.028756849028890787,0.5261424454508028,2429
T,1Month,1Min,0.001,1.5,30,0.4691353583402669,-0.04700208913649018,5.899323721224568,6.191175868047074,0.469332824933623,-0.015165938702595404,-0.036104514054129906,0.5275800711743772,2248
T,1Month,1Min,0.001,2.0,10,0.4527612207967524,-0.04700208913649018,5.885642611555918,6.337839790355164,0.4528903622878323,-0.009918396344373318,-0.027367622412917476,0.5294117647058824,2252
T,1Month,1Min,0.001,2.0,20,0.36999185627188114,-0.04700208913649018,5.222641999935231,4.981067147921306,0.370092075881188,-0.0076971219572530255,-0.02893932854748079,0.5288099084544965,1857
T,1Month,1Min,0.001,2.0,30,0.31986894224956286,-0.04700208913649018,4.791405559515143,4.238875367635534,0.319924793614607,-0.004289527480674426,-0.0349864419201743,0.5276397515527951,1610
T,1Month,1Min,0.01,1.0,10,0.45119856401341085,-0.04700208913649018,4.760068928716625,6.330745714017453,0.451428083551972,-0.017627686758077635,-0.028756849028890065,0.5161948829613501,3674
T,1Month,1Min,0.01,1.0,20,0.4409499911805326,-0.04700208913649018,4.724429013728194,6.176982304900515,0.44115523853233607,-0.015763520823534192,-0.02840972853176021,0.5152671755725191,3537
T,1Month,1Min,0.01,1.0,30,0.3947674155133243,-0.04700208913649018,4.350229573533107,5.594470070585649,0.3949969510190613,-0.017628913077963514,-0.02840972853176029,0.5123942840478274,3429
T,1Month,1Min,0.01,1.5,10,0.39166342648659236,-0.04700208913649018,4.405038923781983,5.630522251056356,0.3917786812175117,-0.008851857697034149,-0.027019756755697275,0.5152144871604571,3368
T,1Month,1Min,0.01,1.5,20,0.35894627682540636,-0.04700208913649018,4.175074749837225,5.170448369354719,0.35910595810090096,-0.012263929786520356,-0.027019756755696987,0.5125198098256736,3155
T,1Month,1Min,0.01,1.5,30,0.33020013476716636,-0.04700208913649018,3.9370071730805174,4.727537006846234,0.33044469070341914,-0.018782520503992043,-0.028589123735212694,0.5132056784417299,3029
T,1Month,1Min,0.01,2.0,10,0.28649762698594605,-0.04700208913649018,3.587292980899522,4.365585773345326,0.2866134478025968,-0.008895334526998465,-0.027019756755698454,0.5122309197651663,3066
T,1Month,1Min,0.01,2.0,20,0.20182120914646018,-0.04700208913649018,2.6786599758937846,3.0483359347451264,0.20183359883239013,-0.0009515595228759473,-0.0292535824320459,0.5072541644277271,2791
T,1Month,1Min,0.01,2.0,30,0.21504114068321512,-0.04700208913649018,2.9003911247765486,3.1861932437391354,0.2153533260985748,-0.023976637226177707,-0.02875993926840127,0.5083285468121769,2611
T,1Month,1Min,0.1,1.0,10,0.2709175957312997,-0.04700208913649018,2.9634288510559736,3.871314656472545,0.27089417692405005,0.0017986242087842245,-0.04011913104414789,0.5114022930578304,3968
T,1Month,1Min,0.1,1.0,20,0.2916654286157385,-0.04700208913649018,3.2066221253462173,4.230056702169157,0.2915356228555711,0.009969413906849661,-0.04011913104414794,0.5111368610789236,3883
T,1Month,1Min,0.1,1.0,30,0.2635101895844334,-0.04700208913649018,2.953865235687464,3.8488892039992932,0.26345249873928794,0.0044308042505125855,-0.04011913104414812,0.5100864553314121,3817
T,1Month,1Min,0.1,1.5,10,0.27957505766838175,-0.04700208913649018,3.1447882151133695,4.095885543211457,0.2794325626337134,0.010943982597129281,-0.04011913104414919,0.5121470781352594,3807
T,1Month,1Min,0.1,1.5,20,0.27340389887867533,-0.04700208913649018,3.1113464044206296,3.9908602934132835,0.273312394813189,0.0070277459321996865,-0.04011913104414803,0.5117582718074924,3657
T,1Month,1Min,0.1,1.5,30,0.2604546147408835,-0.04700208913649018,3.0084652972394843,3.819533775154734,0.26046137013009646,-0.0005188311449287199,-0.040119131044148465,0.510927430652844,3569
T,1Month,1Min,0.1,2.0,10,0.24113985265515114,-0.04700208913649018,2.8626738143812718,3.645054166063473,0.24090679222863232,0.017899635996708577,-0.04156915211387028,0.5120978828704976,3637
T,1Month,1Min,0.1,2.0,20,0.21288256786187376,-0.04700208913649018,2.591429930783588,3.2000467858452666,0.21280162455130583,0.006216652982130317,-0.040119131044148056,0.5106537179301348,3449
T,1Month,1Min,0.1,2.0,30,0.19484426301283064,-0.04700208913649018,2.429143798100112,2.9205317346496273,0.19482046047844254,0.0018280954330598459,-0.0401191310441491,0.5095890410958904,3285
T,1Month,5Min,0.001,1.0,10,0.23931947044923052,-0.04700208913649018,3.098439861801024,3.811597412787237,0.23964992255194337,0.009622474471318978,-0.03821485260688547,0.5228398458998349,908
T,1Month,5Min,0.001,1.0,20,0.19322373990484643,-0.04700208913649018,2.60130882661339,3.024225298486947,0.1935804819287752,0.010388013845032731,-0.03754382544912075,0.5209439528023598,847
T,1Month,5Min,0.001,1.0,30,0.1870266440185122,-0.04700208913649018,2.544160051176431,2.938697388706854,0.1865847732596146,-0.01286688770387319,-0.03642246752649581,0.5144654088050314,795
T,1Month,5Min,0.001,1.5,10,0.19035418492772704,-0.04700208913649018,2.6794100157826732,3.2148440431671914,0.18944861822797765,-0.026369305502611223,-0.036306358294978094,0.5183752417794971,775
T,1Month,5Min,0.001,1.5,20,0.17035528176204018,-0.04700208913649018,2.452387783306293,2.84069581180592,0.1695837368327624,-0.02246670947015498,-0.03695463935092829,0.514878892733564,722
T,1Month,5Min,0.001,1.5,30,0.15229081484437068,-0.04700208913649018,2.3065804862210517,2.537306577376216,0.15233556823434308,0.001303179338182986,-0.03605062236833851,0.5181543116490166,661
T,1Month,5Min,0.001,2.0,10,0.12905896681693108,-0.04700208913649018,2.0563271193536523,2.2106125458707275,0.12959973747151396,0.015746765645744003,-0.028505462253032767,0.5137039937353172,638
T,1Month,5Min,0.001,2.0,20,0.17098456183800348,-0.04700208913649018,2.72825407277852,2.9666016999147837,0.1713052153368208,0.009337147747521314,-0.03420699287107798,0.5152571926765476,573
T,1Month,5Min,0.001,2.0,30,0.1332598050766014,-0.04700208913649018,2.2375502938644907,2.250020880813277,0.13419443106001117,0.02721548627398861,-0.030741694780207055,0.5172727272727272,550
T,1Month,5Min,0.01,1.0,10,0.14622874226205518,-0.04700208913649018,1.8490304686650256,2.413092753397797,0.1457691098450035,-0.013384091561111951,-0.039238971161867954,0.5137832699619772,1052
T,1Month,5Min,0.01,1.0,20,0.10827923414793261,-0.04700208913649018,1.4094848321846776,1.795103089536998,0.10775868154230224,-0.015158033849794226,-0.04061591280119174,0.5105859182668636,1015
T,1Month,5Min,0.01,1.0,30,0.09695261025434299,-0.04700208913649018,1.2832157749213595,1.6034944046256858,0.09594155814415961,-0.029440947839472847,-0.04061591280119127,0.5094051855617692,983
T,1Month,5Min,0.01,1.5,10,0.12199209310940229,-0.04700208913649018,1.60076978523079,2.003102144420641,0.12126404582620359,-0.021200096289235786,-0.04061591280119104,0.5121827411167512,985
T,1Month,5Min,0.01,1.5,20,0.10983085206522758,-0.04700208913649018,1.449758391993009,1.7972813575151496,0.10954908740178614,-0.008204739079058658,-0.03924094456443215,0.5065616797900262,952
T,1Month,5Min,0.01,1.5,30,0.10305730470610386,-0.04700208913649018,1.383926477595655,1.668279965576889,0.1018167946946356,-0.03612256002844077,-0.0392409445644319,0.508991825613079,917
T,1Month,5Min,0.01,2.0,10,0.08391937442039832,-0.04700208913649018,1.1638232650225864,1.3802891198697889,0.08318715173647769,-0.02132168028438841,-0.03924094456443136,0.5106267029972752,917
T,1Month,5Min,0.01,2.0,20,0.0858087120673634,-0.04700208913649018,1.2165100736279946,1.3936201919466795,0.08493247992095718,-0.025515109120276595,-0.03924094456443231,0.5093240093240093,858
T,1Month,5Min,0.01,2.0,30,0.040423167590488696,-0.04700208913649018,0.6113558178918697,0.6824301184278142,0.03992755429792287,-0.014431822997069235,-0.04137404426630477,0.5068411659726353,840
T,1Month,5Min,0.1,1.0,10,0.028751871665363193,-0.04700208913649018,0.4013454174129862,0.4868033883909772,0.028139504247115144,-0.017831600406791662,-0.05433807950906939,0.510752688172043,1116
T,1Month,5Min,0.1,1.0,20,0.035860892033841685,-0.04700208913649018,0.4912756154125365,0.589658819550483,0.03540610585822994,-0.013242973274513365,-0.04865359220027463,0.511617312072893,1097
T,1Month,5Min,0.1,1.0,30,0.008371576636700961,-0.04700208913649018,0.14675446486318727,0.17379246358806572,0.008105747403090356,-0.0077407133837220105,-0.04642233856893664,0.5090236001850995,1080
T,1Month,5Min,0.1,1.5,10,0.01749037716986135,-0.04700208913649018,0.2643773423079602,0.3129381057690133,0.01711103105674449,-0.01104622503320288,-0.051505204894290536,0.5104505341384116,1076
T,1Month,5Min,0.1,1.5,20,-0.005534480740520542,-0.04700208913649018,-0.03519335538668716,-0.04085092011230813,-0.005638516079987173,-0.0030294175461869936,-0.050180737753539185,0.5065060240963856,1037
T,1Month,5Min,0.1,1.5,30,-0.0109189934512115,-0.04700208913649018,-0.10788118350965067,-0.12217708569436746,-0.011322521148654032,-0.011750371491765506,-0.054250003943854104,0.5082048731974143,1005
T,1Month,5Min,0.1,2.0,10,-0.017211301915698307,-0.04700208913649018,-0.1927600414428602,-0.22143485016683573,-0.017246889398757282,-0.0010362761938030305,-0.060513471886387615,0.5063168124392614,1029
T,1Month,5Min,0.1,2.0,20,-0.011730709538341766,-0.04700208913649018,-0.12268024835665928,-0.1395971275183867,-0.01205961802076907,-0.009577525606811774,-0.05916866681731186,0.5053272450532724,985
T,1Month,5Min,0.1,2.0,30,-0.023657459588273144,-0.04700208913649018,-0.29206956146971047,-0.3241877551530559,-0.02399934084251774,-0.009955281307590654,-0.058056340459085344,0.5032258064516129,930
T,1Month,15Min,0.001,1.0,10,0.013996130123340222,-0.04700208913649018,0.23103999003191183,0.24085707214216878,0.015751807892276377,0.0534738335633683,-0.04179390941230519,0.5199501246882793,401
T,1Month,15Min,0.001,1.0,20,0.004130805504190649,-0.04700208913649018,0.09389804882327853,0.09345181416989101,0.005867220494467846,0.052887134433150754,-0.038372196134960075,0.5163043478260869,368
T,1Month,15Min,0.001,1.0,30,-0.018866650972474308,-0.04700208913649018,-0.2406803599409243,-0.23378622884317607,-0.017042319067459583,0.05556487778062626,-0.04853789018358832,0.5106990014265336,350
T,1Month,15Min,0.001,1.5,10,0.020613480220858627,-0.04700208913649018,0.33018005323439853,0.32999175442476847,0.022692998962773863,0.06333727126046679,-0.03620747896835864,0.518918918918919,370
T,1Month,15Min,0.001,1.5,20,0.0045578450530145975,-0.04700208913649018,0.10078309192439087,0.09559281932241329,0.0067384475484696775,0.06641604568501591,-0.03881607076688403,0.5177514792899408,338
T,1Month,15Min,0.001,1.5,30,-0.046025270014260156,-0.04700208913649018,-0.6730755443106623,-0.6027782442576037,-0.04377324573790239,0.06859138588261036,-0.05978009396978138,0.5016556291390728,302
T,1Month,15Min,0.001,2.0,10,-0.01765427445475054,-0.04700208913649018,-0.23207556071315164,-0.21872032960272964,-0.015368174956098081,0.0696292373596073,-0.04804553320126653,0.5142002989536621,334
T,1Month,15Min,0.001,2.0,20,0.0030270029938530563,-0.04700208913649018,0.07900204237181196,0.07052075318415564,0.004678798801623648,0.050309832287114956,-0.03636917192686745,0.5076660988074957,293
T,1Month,15Min,0.001,2.0,30,-0.04355469181238136,-0.04700208913649018,-0.6996652003164597,-0.6073787506563866,-0.04188672833971506,0.0508022614999456,-0.05381709668851033,0.49475524475524474,286
T,1Month,15Min,0.01,1.0,10,-0.02649292119121427,-0.04700208913649018,-0.3295802292887407,-0.3642681590935628,-0.023902422589422274,0.07890052122850613,-0.07010925958303715,0.5033185840707964,452
T,1Month,15Min,0.01,1.0,20,-0.0059460463094309635,-0.04700208913649018,-0.04591121732801691,-0.04938647192115032,-0.0032941107833812746,0.08077174607427717,-0.05162537872374388,0.509895227008149,429
T,1Month,15Min,0.01,1.0,30,-0.027225610171680792,-0.04700208913649018,-0.35252933943568665,-0.3732446698028428,-0.026493222812468853,0.02230680392686467,-0.06536183427669888,0.5030229746070133,413
T,1Month,15Min,0.01,1.5,10,-0.036611047731756385,-0.04700208913649018,-0.47732427186305665,-0.5164002743704216,-0.03453319715321012,0.06328646291059353,-0.06533375946937603,0.5039908779931584,438
T,1Month,15Min,0.01,1.5,20,-0.03899729787646311,-0.04700208913649018,-0.5297263457285841,-0.5490128772856244,-0.03888111200295533,0.003538749634070952,-0.07221001460568052,0.503731343283582,402
T,1Month,15Min,0.01,1.5,30,-0.0446955696138327,-0.04700208913649018,-0.6286643253567438,-0.6318856965857278,-0.04464828480608161,0.0014401845170539894,-0.06934577903185969,0.5051948051948052,385
T,1Month,15Min,0.01,2.0,10,-0.03444075731352747,-0.04700208913649018,-0.46914968818269875,-0.48472933313641353,-0.033260036272966934,0.035961997995770656,-0.06343041406106092,0.5079559363525091,408
T,1Month,15Min,0.01,2.0,20,-0.03452625367058815,-0.04700208913649018,-0.47599877177555133,-0.47834372219310606,-0.034799967734763355,-0.008336689437337457,-0.06701182597930262,0.503968253968254,378
T,1Month,15Min,0.01,2.0,30,-0.025468671170272628,-0.04700208913649018,-0.3615600229203524,-0.3535066758661972,-0.02568787856006517,-0.006676543774162781,-0.05145609889111131,0.5036710719530103,340
T,1Month,15Min,0.1,1.0,10,0.06366647497179345,-0.04700208913649018,0.8541351450746908,1.0000483636323942,0.06278422562627174,-0.02687124909738174,-0.06000000000000074,0.5209643605870021,477
T,1Month,15Min,0.1,1.0,20,0.05631546578684543,-0.04700208913649018,0.7679858070575906,0.8855950887398059,0.05486359408953138,-0.04422061204578595,-0.06000000000000025,0.5168661588683352,459
T,1Month,15Min,0.1,1.0,30,0.02894810607935927,-0.04700208913649018,0.42235333197224223,0.47785389287766605,0.02948816342050352,0.01644888195658015,-0.06578485736156524,0.5170893054024256,453
T,1Month,15Min,0.1,1.5,10,0.06150479329057035,-0.04700208913649018,0.8367337033191748,0.964425749901115,0.060757288141182024,-0.022767256414240954,-0.05999999999999976,0.5220193340494093,465
T,1Month,15Min,0.1,1.5,20,0.033915798182241774,-0.04700208913649018,0.4909295238294731,0.5511410993008561,0.03487894488609258,0.02933519319438274,-0.06413633937561557,0.5172413793103449,449
T,1Month,15Min,0.1,1.5,30,0.019780105295446493,-0.04700208913649018,0.3067425235451462,0.33601205427167335,0.02097580849451608,0.03641831946016925,-0.07296987156819053,0.5156431054461182,431
T,1Month,15Min,0.1,2.0,10,0.05555973488052568,-0.04700208913649018,0.7775625171471775,0.8757143940304429,0.05400552816620371,-0.04733749702548349,-0.05999999999999901,0.5175537938844847,441
T,1Month,15Min,0.1,2.0,20,0.02071193671286875,-0.04700208913649018,0.32354677126828957,0.35003361595354426,0.021445157215663105,0.022332179529409024,-0.0689348820399945,0.5154761904761904,420
T,1Month,15Min,0.1,2.0,30,0.024237451464407256,-0.04700208913649018,0.3766115346319399,0.3957132901898098,0.02505496018320505,0.024899401210784086,-0.06893488203999418,0.5174563591022444,401
T,1Month,30Min,0.001,1.0,10,-0.025605259951601234,-0.04733379742429511,-0.36847773176438275,-0.3557571031186399,-0.025304602698973524,0.007336799516975946,-0.07105613176077302,0.5192743764172335,220
T,1Month,30Min,0.001,1.0,20,-0.028700916237514584,-0.04733379742429511,-0.42863916495081933,-0.4079285664341981,-0.02811464605037841,0.014306479515144901,-0.06546393601073618,0.5177304964539007,211
T,1Month,30Min,0.001,1.0,30,-0.055019266718175364,-0.04733379742429511,-0.8967434676954616,-0.8081574552020977,-0.05559851322649982,-0.01413508393807901,-0.08410249752115675,0.5175879396984925,199
T,1Month,30Min,0.001,1.5,10,-0.031246074168271076,-0.04733379742429511,-0.46746005344512226,-0.4356792067584658,-0.03046992718606734,0.018939954896700535,-0.07257910258727752,0.5247058823529411,212
T,1Month,30Min,0.001,1.5,20,-0.05625484688225857,-0.04733379742429511,-0.9408012037813995,-0.8281233084355042,-0.05646361062096692,-0.005094364709086545,-0.07326923931641947,0.5103626943005182,193
T,1Month,30Min,0.001,1.5,30,-0.04206551148693305,-0.04733379742429511,-0.7572936402989492,-0.6172921095687723,-0.04220828278347759,-0.0034839817445649125,-0.058516323627085205,0.5251572327044025,159
T,1Month,30Min,0.001,2.0,10,-0.048987802411884496,-0.04733379742429511,-0.8141606120670604,-0.6822486384242666,-0.04852960820050183,0.011181100869421296,-0.06959621336232331,0.5198863636363636,176
T,1Month,30Min,0.001,2.0,20,-0.04326670508322661,-0.04733379742429511,-0.7935393156046759,-0.6266505584487289,-0.042694100720971656,0.01397299872759926,-0.06032794618491986,0.5182724252491694,150
T,1Month,30Min,0.001,2.0,30,-0.05949004737797248,-0.04733379742429511,-1.1838970252263377,-0.8267974100416641,-0.05737112279251827,0.05170713408440193,-0.06874838805432582,0.5210727969348659,130
T,1Month,30Min,0.01,1.0,10,-0.05505558286473666,-0.04733379742429511,-0.8163480384585403,-0.8634290370220777,-0.05529816150656803,-0.0059195341095624465,-0.07768231420514345,0.5251937984496124,258
T,1Month,30Min,0.01,1.0,20,-0.06609303139871081,-0.04733379742429511,-1.0033661213973124,-1.0354407013047737,-0.06588861301015514,0.0049883271443091496,-0.08115545729906497,0.5192697768762677,246
T,1Month,30Min,0.01,1.0,30,-0.05600569308036363,-0.04733379742429511,-0.8546202945190591,-0.8612337438846706,-0.05538166651849041,0.015227830819703329,-0.07768231420514415,0.5213675213675214,234
T,1Month,30Min,0.01,1.5,10,-0.05944745409098329,-0.04733379742429511,-0.8982738757968397,-0.9165305557040703,-0.05847686311622672,0.023684881480616864,-0.07943403281638349,0.5257731958762887,242
T,1Month,30Min,0.01,1.5,20,-0.08442837606661047,-0.04733379742429511,-1.284367852069578,-1.2393453203934406,-0.08313084407357822,0.03166307154255717,-0.09737896431853246,0.5162689804772235,230
T,1Month,30Min,0.01,1.5,30,-0.06159088022422843,-0.04733379742429511,-0.989859143640887,-0.9176732486860716,-0.05903335863439976,0.06241001339869596,-0.08749697390410378,0.5294117647058824,212
T,1Month,30Min,0.01,2.0,10,-0.05371063750483707,-0.04733379742429511,-0.8293831022156573,-0.8075864510018824,-0.052199033478354355,0.03688697210670622,-0.07480190826860342,0.5238095238095238,220
T,1Month,30Min,0.01,2.0,20,-0.05605094285680001,-0.04733379742429511,-0.8982945870510229,-0.828749541253467,-0.053764989036437706,0.0557830710501136,-0.07997827971892825,0.5317647058823529,212
T,1Month,30Min,0.01,2.0,30,-0.033630407060654344,-0.04733379742429511,-0.5461079397818345,-0.48459043973406396,-0.030975318584021586,0.06479089289427065,-0.07275837819762059,0.5319693094629157,195
T,1Month,30Min,0.1,1.0,10,0.09891487791902231,-0.04733379742429511,1.4668270522736668,1.6581589087914634,0.10015664027694797,0.030302150998196827,-0.04510088495575158,0.558648111332008,251
T,1Month,30Min,0.1,1.0,20,0.09658722815720844,-0.04733379742429511,1.4471825357210197,1.6089905400990807,0.09720757452293285,0.01513802469964181,-0.045100884955752304,0.5578093306288032,246
T,1Month,30Min,0.1,1.0,30,0.08794965876488026,-0.04733379742429511,1.3336980174675173,1.4553945341752375,0.08859896957681736,0.015844830649358266,-0.04510088495575276,0.5569620253164557,237
