symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
UBER,1Month,1Min,0.001,1.0,10,1.2335628527192983,0.09552409552409546,6.098366438687608,7.882105585293644,1.2345770901188884,0.06120147617878462,-0.04133748766688203,0.5236508139982053,3900
UBER,1Month,1Min,0.001,1.0,20,1.1918992514329125,0.09552409552409546,5.972617508556321,7.622249920382389,1.1926340636418125,0.04434030131115782,-0.040922224537338854,0.5225496915695682,3647
UBER,1Month,1Min,0.001,1.0,30,1.0954664404851702,0.09552409552409546,5.701620427438399,7.12122060479204,1.0959214491707758,0.027456296962115594,-0.03892178715645689,0.5206956021845358,3479
UBER,1Month,1Min,0.001,1.5,10,1.0887827506187424,0.09552409552409546,5.9076084330132606,7.352718001491622,1.0879853364763539,-0.04811784958801252,-0.03654249540340424,0.5223065250379363,3295
UBER,1Month,1Min,0.001,1.5,20,0.8370963777576896,0.09552409552409546,5.187341210915696,5.908674151690115,0.8383206402928878,0.07387488808318857,-0.03094185908544898,0.5179584120982986,2909
UBER,1Month,1Min,0.001,1.5,30,0.8138226184913477,0.09552409552409546,5.240643429730603,5.856746460090593,0.8150182505709749,0.0721472588857999,-0.0396337818466538,0.5211738484398217,2692
UBER,1Month,1Min,0.001,2.0,10,0.744683157866608,0.09552409552409546,4.994212366202128,5.520202501382427,0.7452648228297319,0.035099035392551055,-0.036334853833251766,0.5173507462686567,2680
UBER,1Month,1Min,0.001,2.0,20,0.601518639368527,0.09552409552409546,4.554975138042838,4.4705444965180705,0.6020333400681255,0.031058253835255012,-0.03334680422919144,0.5250514756348662,2185
UBER,1Month,1Min,0.001,2.0,30,0.5079411931042404,0.09552409552409546,4.160815252851307,3.8154449070874157,0.5083510556508968,0.02473207248707984,-0.03332790951062663,0.5231398619278956,1955
UBER,1Month,1Min,0.01,1.0,10,0.9592827531105614,0.09552409552409546,4.752135282978535,6.481829763731674,0.9597277771455661,0.02685379960188134,-0.053831562016881065,0.5136482047797033,4414
UBER,1Month,1Min,0.01,1.0,20,0.8672392077037931,0.09552409552409546,4.448533200691301,5.949569417011965,0.8675820540731253,0.020688158328756097,-0.05196629731093065,0.5148596264536591,4256
UBER,1Month,1Min,0.01,1.0,30,0.8384828769646637,0.09552409552409546,4.390892275669788,5.754515336574057,0.8389086241944461,0.025690591721663412,-0.05073845814269271,0.5150772248100024,4079
UBER,1Month,1Min,0.01,1.5,10,0.8959885274789454,0.09552409552409546,4.639434497034113,6.130348119019831,0.8963007063013876,0.018837606237881957,-0.05272646469801455,0.5143797221545211,4103
UBER,1Month,1Min,0.01,1.5,20,0.7744850279511049,0.09552409552409546,4.266344468775191,5.488626669131291,0.7746589977174907,0.010497745909975435,-0.050983143457064506,0.5147039430304629,3791
UBER,1Month,1Min,0.01,1.5,30,0.6736849413342683,0.09552409552409546,3.8728297231074156,4.849151490970495,0.6738811227285998,0.011838047913389448,-0.04939183643130628,0.5117507996106244,3595
UBER,1Month,1Min,0.01,2.0,10,0.721544752124694,0.09552409552409546,4.122524835874305,5.16488267609551,0.7215258538653129,-0.0011403655315880157,-0.052536101354287934,0.5137143629239292,3700
UBER,1Month,1Min,0.01,2.0,20,0.5642137218450722,0.09552409552409546,3.6592783834076164,4.154114187812737,0.5660976602010444,0.11368128256946793,-0.05081967675323705,0.5137058912615478,3301
UBER,1Month,1Min,0.01,2.0,30,0.46536568103366394,0.09552409552409546,3.1818251722093858,3.453610634056913,0.4672336167192616,0.11271564370610736,-0.05035098570242978,0.5121630506245891,3042
UBER,1Month,1Min,0.1,1.0,10,0.6533441889027582,0.09552409552409546,3.4459632033980374,4.761693629971033,0.6529648518932814,-0.022890089596986487,-0.057226521042326874,0.5089590885551528,4827
UBER,1Month,1Min,0.1,1.0,20,0.7021327892656126,0.09552409552409546,3.679471177836455,5.118882751333694,0.7017996710623545,-0.020101137849638417,-0.05393925968098888,0.5108454131837901,4725
UBER,1Month,1Min,0.1,1.0,30,0.6264421688328203,0.09552409552409546,3.3772505638996773,4.611473145855961,0.6261167069958617,-0.0196391346540478,-0.0559733328475166,0.5097071758017805,4661
UBER,1Month,1Min,0.1,1.5,10,0.6263683455714846,0.09552409552409546,3.4035053750819513,4.674619775760522,0.6259843275083398,-0.023172555412843226,-0.056678666418237086,0.5094278633767912,4640
UBER,1Month,1Min,0.1,1.5,20,0.6246749253309505,0.09552409552409546,3.4293725543575255,4.652294449133855,0.6241756140918072,-0.03012961750431841,-0.05764667000573343,0.5112183082791115,4457
UBER,1Month,1Min,0.1,1.5,30,0.5605848280924555,0.09552409552409546,3.2422069609596353,4.2166967601239165,0.5621051311932207,0.09173867384856393,-0.05734571727923885,0.5112808052759459,4321
UBER,1Month,1Min,0.1,2.0,10,0.5395442534244828,0.09552409552409546,3.15743069584248,4.350750487134634,0.5378157903601423,-0.10429953687459545,-0.05333583308194641,0.5094552003601981,4442
UBER,1Month,1Min,0.1,2.0,20,0.4971460188412784,0.09552409552409546,3.019984583615941,3.847609610714434,0.4985497478502644,0.08470431827858352,-0.05530891509008015,0.5116529221943349,4183
UBER,1Month,1Min,0.1,2.0,30,0.48447666193311156,0.09552409552409546,2.9851645226521684,3.805353178816331,0.4846541795508145,0.010711831623989618,-0.05644710732880356,0.511437908496732,3978
UBER,1Month,5Min,0.001,1.0,10,0.7208886866875699,0.09583750536403945,4.451249375558708,6.024247683490004,0.7231568753497246,0.06843268038210241,-0.03890793263766292,0.5372567631703844,1053
UBER,1Month,5Min,0.001,1.0,20,0.6379929799922466,0.09583750536403945,4.119671481562475,5.347581248196175,0.6403664064257008,0.07160777021815858,-0.04127721950907653,0.5341081354219303,989
UBER,1Month,5Min,0.001,1.0,30,0.5271870752478391,0.09583750536403945,3.6274269118504003,4.477596721713652,0.5295467673754745,0.07119339756210256,-0.04466686299545981,0.5295429208472687,897
UBER,1Month,5Min,0.001,1.5,10,0.593621470590578,0.09583750536403945,4.052082846467074,5.101184157199332,0.5959011361181317,0.06877894463901321,-0.04127721950907674,0.5369163952225842,921
UBER,1Month,5Min,0.001,1.5,20,0.4885204342350422,0.09583750536403945,3.6369359396556997,4.36230627606218,0.49113485839002613,0.07887882325066596,-0.041045905958321485,0.529746835443038,790
UBER,1Month,5Min,0.001,1.5,30,0.40385587750915497,0.09583750536403945,3.194360503442137,3.6370959686668387,0.4058409182742349,0.059889930008342696,-0.04373536543600523,0.5272084805653711,707
UBER,1Month,5Min,0.001,2.0,10,0.4390112560618482,0.09583750536403945,3.501781650069164,4.022425528128178,0.4425477098359359,0.10669703752875777,-0.03641839506807226,0.5337748344370861,755
UBER,1Month,5Min,0.001,2.0,20,0.2758548477092242,0.09583750536403945,2.6623471230555658,2.5452891502802113,0.2781507096554454,0.06926760079028853,-0.03462151498506918,0.5343383584589615,597
UBER,1Month,5Min,0.001,2.0,30,0.2773141333582583,0.09583750536403945,2.6789700067317432,2.482912978762399,0.2781207812848669,0.024337075951193207,-0.03503044278822125,0.5286129970902037,515
UBER,1Month,5Min,0.01,1.0,10,0.5204193750862744,0.09583750536403945,3.35186036946559,5.018071532618186,0.5170050863802477,-0.10301124048905165,-0.06301897714606089,0.5223107569721116,1255
UBER,1Month,5Min,0.01,1.0,20,0.5041813844371157,0.09583750536403945,3.2818515542992097,4.832625071570239,0.5003918274594138,-0.11433332057946588,-0.06349989793205907,0.5208507089241035,1199
UBER,1Month,5Min,0.01,1.0,30,0.48889642765549435,0.09583750536403945,3.2312358331350577,4.680263561503675,0.4854540724930537,-0.1038580231545641,-0.059800128434274694,0.5188067444876784,1156
UBER,1Month,5Min,0.01,1.5,10,0.439418555819157,0.09583750536403945,2.9876622247169853,4.306703007876671,0.43618568697182536,-0.09753768909881678,-0.06530106576322003,0.5172413793103449,1160
UBER,1Month,5Min,0.01,1.5,20,0.3702335496962019,0.09583750536403945,2.6832440350709477,3.679890456765877,0.3703812746061072,0.004456953565061137,-0.0589764526290584,0.5155963302752293,1090
UBER,1Month,5Min,0.01,1.5,30,0.3917052866614896,0.09583750536403945,2.9032540610472424,3.828788134355062,0.3912241467523652,-0.014516294067401785,-0.0557217371348761,0.5192965315095261,1023
UBER,1Month,5Min,0.01,2.0,10,0.3497690742573998,0.09583750536403945,2.5444454451508802,3.482925859615613,0.346678891343604,-0.0932327646242325,-0.0595460788828008,0.5169216504404265,1078
UBER,1Month,5Min,0.01,2.0,20,0.3238752724727454,0.09583750536403945,2.4722545987067974,3.187222550148142,0.32419819316857984,0.009742720760191843,-0.05568899507657233,0.5182519280205655,972
UBER,1Month,5Min,0.01,2.0,30,0.3571182675495803,0.09583750536403945,2.854903217885186,3.4417124895643445,0.35529341763030325,-0.05505687130653477,-0.05568899507657171,0.525963149078727,895
UBER,1Month,5Min,0.1,1.0,10,0.20443939855177717,0.09583750536403945,1.48087974863772,2.106307224139597,0.19703772452509422,-0.22331316676247573,-0.0740542950858055,0.5071141919007661,1370
UBER,1Month,5Min,0.1,1.0,20,0.22899300011071855,0.09583750536403945,1.6405287583471422,2.3109564438186365,0.22143641932941294,-0.22798680110559572,-0.07090143544803308,0.5100521221146687,1343
UBER,1Month,5Min,0.1,1.0,30,0.23799809174630826,0.09583750536403945,1.70674180439383,2.3879888006153074,0.22993664716830395,-0.24321885980178717,-0.0706688810348968,0.509811320754717,1325
UBER,1Month,5Min,0.1,1.5,10,0.1945271372426205,0.09583750536403945,1.439471780995072,1.9956858628056797,0.1875627724955279,-0.21011927039148057,-0.0706688810348955,0.5104947526236882,1334
UBER,1Month,5Min,0.1,1.5,20,0.22232536665826363,0.09583750536403945,1.6297497610293514,2.2451869312415678,0.21459677487173331,-0.23317648146118114,-0.0706688810348953,0.510061919504644,1292
UBER,1Month,5Min,0.1,1.5,30,0.23993071361808327,0.09583750536403945,1.7614279025156676,2.3802298454413466,0.2321251758284914,-0.2354979908320943,-0.07066888103489635,0.5103030303030303,1237
UBER,1Month,5Min,0.1,2.0,10,0.236883448272305,0.09583750536403945,1.730904025092213,2.3780307928027327,0.23009922033145236,-0.20468442950185142,-0.07066888103489483,0.5128697656550134,1301
UBER,1Month,5Min,0.1,2.0,20,0.1465658361065687,0.09583750536403945,1.1587327629145119,1.5343932137559924,0.13882679838285275,-0.23349164196464545,-0.07066888103489664,0.5078060805258833,1217
UBER,1Month,5Min,0.1,2.0,30,0.1960628077635389,0.09583750536403945,1.5121633211169805,1.971442647234571,0.187379280900808,-0.26198747410286743,-0.0659791977929375,0.5098290598290598,1170
