symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
VLTO,1Month,1Min,0.001,1.0,10,0.15475889129980858,-0.04072060547916012,1.675248266127547,1.8227293045845248,0.1534617553192416,0.03795334690329772,-0.03677016742832107,0.5122253720765415,2822
VLTO,1Month,1Min,0.001,1.0,20,0.129318867625289,-0.04072060547916012,1.4373766377689279,1.5065461094369204,0.12797237891715982,0.0393973752995915,-0.046038634097873475,0.5083175803402646,2645
VLTO,1Month,1Min,0.001,1.0,30,0.1324502686565716,-0.04072060547916012,1.483139022121953,1.528698312407175,0.13141784572819554,0.030208016845272474,-0.04819957743599453,0.506695549428909,2539
VLTO,1Month,1Min,0.001,1.5,10,0.11413542985451519,-0.04072060547916012,1.3234346603592142,1.3683417404530167,0.11291629756384804,0.03567101016539415,-0.043028884635989334,0.5018703241895262,2406
VLTO,1Month,1Min,0.001,1.5,20,0.09542059275814885,-0.04072060547916012,1.1339348189962937,1.077051903806831,0.09406299804891002,0.03972232959824414,-0.04116561709842428,0.5015021955165242,2163
VLTO,1Month,1Min,0.001,1.5,30,0.11583147798382232,-0.04072060547916012,1.3642274456910437,1.2371599384288676,0.11463023068915781,0.03514770692824531,-0.03851469115097813,0.5075414781297134,1989
VLTO,1Month,1Min,0.001,2.0,10,0.12359628708670911,-0.04072060547916012,1.5104819924797843,1.4417876741761004,0.12242531992743697,0.03426173005300477,-0.045245262046703365,0.501980198019802,2020
VLTO,1Month,1Min,0.001,2.0,20,0.10011105783914864,-0.04072060547916012,1.2454048398804451,1.083099875922487,0.09868444845842034,0.04174165356095836,-0.044486240699866494,0.5028935185185185,1728
VLTO,1Month,1Min,0.001,2.0,30,0.06383605255504121,-0.04072060547916012,0.8175339767220631,0.6230047563900651,0.06263968588668069,0.035004903007919946,-0.0626598226227303,0.5032345931222336,1468
VLTO,1Month,1Min,0.01,1.0,10,0.11882638882855168,-0.04072060547916012,1.2314595235663532,1.3327065417183683,0.11715886717471764,0.04879058845400412,-0.04604388335297873,0.5062260536398467,3132
VLTO,1Month,1Min,0.01,1.0,20,0.10728791823159556,-0.04072060547916012,1.1297769950396328,1.1909232839627084,0.10541505814360572,0.05479865618233038,-0.0439584176618078,0.5065669160432252,3007
VLTO,1Month,1Min,0.01,1.0,30,0.10316628734045685,-0.04072060547916012,1.094105583350737,1.1391692536583296,0.10154543849931096,0.047424972606904564,-0.04490705655707446,0.5057901907356949,2936
VLTO,1Month,1Min,0.01,1.5,10,0.12521826087970145,-0.04072060547916012,1.3346762087548094,1.4175240441515955,0.12314238684120271,0.060738711045742425,-0.048926150898015275,0.5059085459839013,2919
VLTO,1Month,1Min,0.01,1.5,20,0.10891376454762058,-0.04072060547916012,1.1691078752898993,1.1633734434320249,0.106980755421728,0.05655857752876061,-0.045698640866109294,0.5080095746639661,2715
VLTO,1Month,1Min,0.01,1.5,30,0.044783411528779515,-0.04072060547916012,0.5239558891176834,0.49873111878498166,0.04343846859584714,0.03935214693251355,-0.06813155469027184,0.5012687878196369,2561
VLTO,1Month,1Min,0.01,2.0,10,0.10418536234832376,-0.04072060547916012,1.1612344888981803,1.174360723953488,0.10231576553586902,0.054703174883314595,-0.04675980349361092,0.5041198501872659,2670
VLTO,1Month,1Min,0.01,2.0,20,0.06438381241119795,-0.04072060547916012,0.7422786346301035,0.7021814939350214,0.06265528259325902,0.05057564726888221,-0.06655559768223838,0.5019656528036416,2416
VLTO,1Month,1Min,0.01,2.0,30,0.08085139557854948,-0.04072060547916012,0.9254811941535035,0.8412417911670349,0.07907199610700973,0.05206405992483116,-0.055430003353806545,0.5012434998869546,2211
VLTO,1Month,1Min,0.1,1.0,10,0.07691113951605555,-0.04072060547916012,0.8235732867243649,0.9396023245700369,0.07253200505413729,0.12813059837930396,-0.04482873208549453,0.49926079243051447,3382
VLTO,1Month,1Min,0.1,1.0,20,0.0672433140355595,-0.04072060547916012,0.7340107094993086,0.8219422369700427,0.06296797000784271,0.12509375843845902,-0.04166867928157229,0.4987127063456005,3301
VLTO,1Month,1Min,0.1,1.0,30,0.052863774399593666,-0.04072060547916012,0.591576404757796,0.6553157167757862,0.0487397553354938,0.12066608938500213,-0.049104957835620286,0.4976873265494912,3243
VLTO,1Month,1Min,0.1,1.5,10,0.06199490894274118,-0.04072060547916012,0.7000057723289139,0.7935980800743397,0.05788328369519722,0.12030345445215831,-0.05516666385811089,0.4981640146878825,3268
VLTO,1Month,1Min,0.1,1.5,20,0.06103290900319913,-0.04072060547916012,0.6900874218987527,0.7588514170690902,0.05667290060163464,0.12757098241430453,-0.04770700919585238,0.49841822208161973,3161
VLTO,1Month,1Min,0.1,1.5,30,0.06212549024025593,-0.04072060547916012,0.696908318281436,0.7507022286511882,0.05781667938245544,0.12607297590752164,-0.04591004393182879,0.49868766404199477,3048
VLTO,1Month,1Min,0.1,2.0,10,0.10635628435526279,-0.04072060547916012,1.1610547798536517,1.3108239205526728,0.10183759557433723,0.13221386610179994,-0.04216894883306712,0.49913180741910024,3167
VLTO,1Month,1Min,0.1,2.0,20,0.09142816761642414,-0.04072060547916012,1.023281508517144,1.1159526047132182,0.08694075786861356,0.13129866213521685,-0.04288908582981091,0.4993256911665543,2966
VLTO,1Month,1Min,0.1,2.0,30,0.09764256333662424,-0.04072060547916012,1.0965478046708101,1.1588211333630174,0.09353077616202425,0.12030819233147295,-0.04347532249971731,0.5012446657183499,2812
VLTO,1Month,5Min,0.001,1.0,10,0.0949541581592579,-0.04215007982969676,1.180201770345412,1.286166712182942,0.0922606174883352,0.1409468110567547,-0.05731818119211472,0.5080583269378358,651
VLTO,1Month,5Min,0.001,1.0,20,0.083602726165104,-0.04215007982969676,1.0490337054171226,1.0725725472128453,0.08059980225692376,0.15713612691027282,-0.056552994093347,0.5084889643463497,589
VLTO,1Month,5Min,0.001,1.0,30,0.06515491349687186,-0.04215007982969676,0.8386557022694057,0.834169024964536,0.062173574137222014,0.1560066569467037,-0.05388628331035976,0.5009025270758123,554
VLTO,1Month,5Min,0.001,1.5,10,0.11672723197374535,-0.04215007982969676,1.4936794072462232,1.5186564729443215,0.11427369863882988,0.12838777714067937,-0.053795837297124366,0.5179533213644524,557
VLTO,1Month,5Min,0.001,1.5,20,0.12762946403161912,-0.04215007982969676,1.6603036252519756,1.5619425724013374,0.1251034005899286,0.1321831114253646,-0.04862225848522771,0.518796992481203,465
VLTO,1Month,5Min,0.001,1.5,30,0.14640010257493974,-0.04215007982969676,1.8816643358708374,1.6338437797030638,0.14406392834378587,0.12224664416940313,-0.04889455695040391,0.5330188679245284,424
VLTO,1Month,5Min,0.001,2.0,10,0.10637699858518634,-0.04215007982969676,1.4335765329710908,1.3162409484255884,0.1042859593606123,0.10941929100232935,-0.04764372881350968,0.5091533180778032,437
VLTO,1Month,5Min,0.001,2.0,20,0.10994275586148539,-0.04215007982969676,1.5482245342339236,1.1926064559994467,0.10835703284155462,0.082977251946214,-0.03391241913600016,0.5292307692307693,325
VLTO,1Month,5Min,0.001,2.0,30,0.09165790555176212,-0.04215007982969676,1.3084757190999303,0.9490246000183261,0.08941807331699007,0.11720528826657704,-0.036580620960613534,0.5221088435374149,294
VLTO,1Month,5Min,0.01,1.0,10,0.08374529129398312,-0.04215007982969676,1.029144310021758,1.2281716773358564,0.0785332995832404,0.2727315829360674,-0.046599488914290055,0.5050167224080268,747
VLTO,1Month,5Min,0.01,1.0,20,0.08457402655529056,-0.04215007982969676,1.0464384630676258,1.2113652742556094,0.07904269650559047,0.28944182644940725,-0.04731520153656334,0.5042492917847026,706
VLTO,1Month,5Min,0.01,1.0,30,0.06777801719472354,-0.04215007982969676,0.8572292873040056,0.973434547739943,0.06234057637226281,0.28452881833528104,-0.048027957145797294,0.5040116703136397,685
VLTO,1Month,5Min,0.01,1.5,10,0.08191209923427989,-0.04215007982969676,1.034718309954304,1.1880036045619842,0.07716401110125032,0.248456571750107,-0.04240359452092691,0.505722460658083,699
VLTO,1Month,5Min,0.01,1.5,20,0.08222147985948558,-0.04215007982969676,1.0601864079509142,1.1574713789953155,0.077474475850601,0.24839984201787185,-0.03927901295478868,0.5056,625
VLTO,1Month,5Min,0.01,1.5,30,0.07258103922970238,-0.04215007982969676,0.9544499118851466,1.0180293143313035,0.06818296401511209,0.2301411977833256,-0.042036199708388365,0.5080128205128205,624
VLTO,1Month,5Min,0.01,2.0,10,0.07088107868004445,-0.04215007982969676,0.9410525450476331,1.0594679352589247,0.06682390268220592,0.21230272294179062,-0.051557455855671855,0.5027195027195027,643
VLTO,1Month,5Min,0.01,2.0,20,0.08012908406086616,-0.04215007982969676,1.0706790152208536,1.114451378694103,0.07621120592557669,0.20501358499586694,-0.03804660474902044,0.5065847234416154,569
VLTO,1Month,5Min,0.01,2.0,30,0.09813555506537419,-0.04215007982969676,1.306454865652528,1.2975198966146413,0.09472667951480608,0.17837864611761117,-0.038577679283048165,0.5098963242224317,530
VLTO,1Month,5Min,0.1,1.0,10,-0.0020905022310507837,-0.04215007982969676,0.017367152978327614,0.02074668026089728,-0.007417909214709461,0.2787709996934823,-0.064612557390531,0.4923265807243708,814
VLTO,1Month,5Min,0.1,1.0,20,-0.01786291170905885,-0.04215007982969676,-0.17138685416643196,-0.2021382629299052,-0.023123652313840348,0.27528250085295025,-0.07033829180222317,0.490625,800
VLTO,1Month,5Min,0.1,1.0,30,-0.0094903641946803,-0.04215007982969676,-0.07151292637258606,-0.08384510761661053,-0.014724428392806074,0.27388658562168344,-0.06756671330229623,0.4914502849905003,789
VLTO,1Month,5Min,0.1,1.5,10,0.019063680983634645,-0.04215007982969676,0.26829500818099655,0.3138274078181959,0.014016562783389214,0.26410412993964955,-0.05872816436847322,0.49556962025316453,790
VLTO,1Month,5Min,0.1,1.5,20,0.021858270797224577,-0.04215007982969676,0.3022452448551823,0.3527784741937325,0.017027112559265638,0.25280343998578636,-0.05074636361612274,0.4951830443159923,778
VLTO,1Month,5Min,0.1,1.5,30,0.012699783989316593,-0.04215007982969676,0.19282937910373424,0.22348685049163533,0.0076692770979963415,0.26323489820843515,-0.06030850295518207,0.49386701097482244,774
VLTO,1Month,5Min,0.1,2.0,10,0.02496770846087837,-0.04215007982969676,0.3419958751805519,0.3950613701345454,0.020073154730193655,0.2561207808492562,-0.04648862455914333,0.4977404777275662,774
VLTO,1Month,5Min,0.1,2.0,20,0.03842374415835503,-0.04215007982969676,0.5184134130833389,0.6109306702654729,0.03394178447031197,0.23453068005770805,-0.044742509018171256,0.4972183588317107,719
VLTO,1Month,5Min,0.1,2.0,30,0.04021155214200256,-0.04215007982969676,0.5387310903170265,0.6322510095677166,0.03615401146480928,0.21232180577676132,-0.04578626768618615,0.4968465311843027,713
VLTO,1Month,15Min,0.001,1.0,10,0.04161500827444353,-0.0461098155607379,0.6070345811379225,0.6482117128927245,0.035540175294029225,0.25932233549930167,-0.04390415698223604,0.5099337748344371,226
VLTO,1Month,15Min,0.001,1.0,20,0.06585541432396425,-0.0461098155607379,0.9432699561585962,0.9428517763335101,0.059985677912913975,0.25056717769630477,-0.04399582899491298,0.5325301204819277,207
VLTO,1Month,15Min,0.001,1.0,30,0.029237898346356372,-0.0461098155607379,0.479171085757102,0.4572131526707579,0.02478100630788365,0.19025570846330744,-0.04346888774734489,0.5193798449612403,193
VLTO,1Month,15Min,0.001,1.5,10,0.036201871763880344,-0.0461098155607379,0.5507077998296636,0.5518546507015357,0.03125145148325132,0.21132343111567725,-0.04651945699596774,0.5122549019607843,204
VLTO,1Month,15Min,0.001,1.5,20,0.03000625247136335,-0.0461098155607379,0.4918166171972576,0.46515370786372096,0.024826077256031018,0.22113120467123715,-0.04346888774734521,0.5059171597633136,169
VLTO,1Month,15Min,0.001,1.5,30,0.04647971781014615,-0.0461098155607379,0.8084169649882382,0.7259974067790019,0.04270443338914533,0.1611592576099585,-0.04346888774734459,0.5188679245283019,159
VLTO,1Month,15Min,0.001,2.0,10,0.03601545007340179,-0.0461098155607379,0.5847409127349559,0.5410044378134204,0.032403315245838935,0.15419473138471093,-0.041319803323701096,0.5105105105105106,166
VLTO,1Month,15Min,0.001,2.0,20,0.029063152038892426,-0.0461098155607379,0.503493563262093,0.4260179444777329,0.02540433564985597,0.15618747284527737,-0.04346888774734512,0.4962686567164179,134
VLTO,1Month,15Min,0.001,2.0,30,0.08302111162651693,-0.0461098155607379,1.6534014394706158,1.7896786143923733,0.08026381340267062,0.1177034854095916,-0.04346888774734473,0.5098039215686274,127
