symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
WAT,1Month,1Min,0.001,1.0,10,0.4571242987113979,-0.061943028673274725,3.3513541621444576,4.1502291618733915,0.45534669541567707,0.08724807815720846,-0.06775451216823368,0.5039908779931584,3069
WAT,1Month,1Min,0.001,1.0,20,0.45464700527560575,-0.061943028673274725,3.3953279403984706,4.239314250499966,0.45312132404009425,0.07488327457500296,-0.061500700676719776,0.5033638088666552,2898
WAT,1Month,1Min,0.001,1.0,30,0.44045301426274075,-0.061943028673274725,3.3543133927370965,4.0895135053561615,0.4391016958307905,0.066325223659231,-0.06353955908539571,0.5037851478010094,2774
WAT,1Month,1Min,0.001,1.5,10,0.3557991218310286,-0.061943028673274725,2.8855805721663645,3.361134990038794,0.3542749415846911,0.0748096032327622,-0.06113250080771296,0.5020668921458098,2661
WAT,1Month,1Min,0.001,1.5,20,0.3916963483275633,-0.061943028673274725,3.1757530989636478,3.597211068443196,0.39034757073898685,0.0662005143375283,-0.057507964444613195,0.5016576875259013,2413
WAT,1Month,1Min,0.001,1.5,30,0.353277339829144,-0.061943028673274725,2.9755626974638267,3.2388643616217863,0.35223296784475316,0.05125972073672255,-0.06378373753935111,0.4994370637243864,2220
WAT,1Month,1Min,0.001,2.0,10,0.2758824744334869,-0.061943028673274725,2.5260354710243997,2.6419602345649045,0.27500672901789647,0.04298321489906389,-0.05027739697586996,0.498989898989899,2227
WAT,1Month,1Min,0.001,2.0,20,0.27011143531132253,-0.061943028673274725,2.613636202366546,2.512510710101733,0.269081603017625,0.050546085656811415,-0.05038023828387732,0.49508893018316963,1883
WAT,1Month,1Min,0.001,2.0,30,0.23827831111751552,-0.061943028673274725,2.446497943995891,2.1900559130777055,0.23797511568418442,0.01488139616294617,-0.045318329224200656,0.4962224236929586,1654
WAT,1Month,1Min,0.01,1.0,10,0.31257073104456223,-0.061943028673274725,2.3481378714500933,3.0875536860986186,0.30995798777612504,0.12823830234680542,-0.051528196548053795,0.49520126056438907,3490
WAT,1Month,1Min,0.01,1.0,20,0.31390210026817655,-0.061943028673274725,2.38585562901525,3.0873373993287507,0.31162613288387925,0.11170871515959123,-0.04709798894554569,0.49665228388632643,3360
WAT,1Month,1Min,0.01,1.0,30,0.3178483623024435,-0.061943028673274725,2.431881560177368,3.112170653152191,0.3154907564989316,0.1157156807167601,-0.04486320167993707,0.49824721841182745,3280
WAT,1Month,1Min,0.01,1.5,10,0.24671097860945812,-0.061943028673274725,1.9658862214597734,2.4898025003150863,0.24442688404915705,0.11210761208382561,-0.043235426063582445,0.4937873907040957,3259
WAT,1Month,1Min,0.01,1.5,20,0.3125151555971102,-0.061943028673274725,2.463691728639453,3.0956259554773338,0.3102278834718191,0.11226357288749059,-0.03989168228861307,0.49564502875924404,3042
WAT,1Month,1Min,0.01,1.5,30,0.3275407542113944,-0.061943028673274725,2.5936647949457714,3.1597745321320803,0.3252544264158559,0.11221722342568549,-0.04097275990747493,0.5001737317581654,2878
WAT,1Month,1Min,0.01,2.0,10,0.19286755479810003,-0.061943028673274725,1.667508204466512,2.017505903419097,0.1908262012244087,0.10019343268133105,-0.040807942594644465,0.4924849699398798,2994
WAT,1Month,1Min,0.01,2.0,20,0.27297074465505,-0.061943028673274725,2.267191167096643,2.6850404384275506,0.27096856720667434,0.09827059553782172,-0.039010179430344204,0.49518874907475946,2702
WAT,1Month,1Min,0.01,2.0,30,0.2444337257044602,-0.061943028673274725,2.120220553067906,2.500838180165285,0.24214426067742795,0.11237120458628669,-0.041700888475281764,0.49516129032258066,2480
WAT,1Month,1Min,0.1,1.0,10,0.23994989511967635,-0.061943028673274725,1.8459021295312483,2.470509649199041,0.23705373109675562,0.1421491204680831,-0.049914916605525564,0.5048166978860048,3737
WAT,1Month,1Min,0.1,1.0,20,0.24933792943248978,-0.061943028673274725,1.9127864959818237,2.506415257473697,0.24628819930542747,0.14968643067036208,-0.0502798756601245,0.5054689636313918,3657
WAT,1Month,1Min,0.1,1.0,30,0.2512835940511897,-0.061943028673274725,1.9354176186258847,2.500252486079025,0.2481434701637924,0.15412312466480857,-0.0506195356194122,0.505586592178771,3580
WAT,1Month,1Min,0.1,1.5,10,0.23303134517335478,-0.061943028673274725,1.8244815340337643,2.3875164586235105,0.23000132227625833,0.14871916314534006,-0.05061953561941142,0.503562945368171,3578
WAT,1Month,1Min,0.1,1.5,20,0.2954507849630572,-0.061943028673274725,2.258965536037942,2.9024679567284655,0.29243411057453483,0.14806399350082045,-0.04972354390283304,0.5081348053457292,3442
WAT,1Month,1Min,0.1,1.5,30,0.26581660272910845,-0.061943028673274725,2.080523332835859,2.6234475423022654,0.2627261638428742,0.15168449233601267,-0.0490115872107501,0.5079149706015378,3316
WAT,1Month,1Min,0.1,2.0,10,0.23110350085383868,-0.061943028673274725,1.8625662152096847,2.440010256303356,0.22814783882913825,0.14506939313070083,-0.049908250213348555,0.5039198606271778,3444
WAT,1Month,1Min,0.1,2.0,20,0.28096353526573425,-0.061943028673274725,2.201492286684731,2.7518540020673035,0.2779207699831766,0.14934458313938698,-0.04867102142671425,0.5083781706379707,3252
WAT,1Month,1Min,0.1,2.0,30,0.24099838810892416,-0.061943028673274725,1.9813024293906993,2.515730268859086,0.23808634522718458,0.14292848441199962,-0.04778754930675739,0.505012936610608,3092
WAT,1Month,5Min,0.001,1.0,10,0.14519083523193022,-0.05755214878110071,1.4315260475628804,1.9209267741175884,0.14343208703281876,0.36917332782984236,-0.04191106630500693,0.5112275449101796,668
WAT,1Month,5Min,0.001,1.0,20,0.104364146332242,-0.05755214878110071,1.0845834066617979,1.402572395891658,0.10267753890882565,0.35403048347665705,-0.0419110663050075,0.50767987065481,618
WAT,1Month,5Min,0.001,1.0,30,0.08665679550776373,-0.05755214878110071,0.9260674685922037,1.1471004767659734,0.08495740002166727,0.35671478567437825,-0.03942079438066047,0.5061619718309859,568
WAT,1Month,5Min,0.001,1.5,10,0.09147423589134962,-0.05755214878110071,0.9799144397380147,1.2365474065429913,0.0897504135318454,0.3618421541907905,-0.04191106630500753,0.5060975609756098,574
WAT,1Month,5Min,0.001,1.5,20,0.09248596853964819,-0.05755214878110071,1.0328858417965396,1.1990128221456038,0.09104028713966011,0.3034584562388981,-0.05066704723598808,0.5125482625482626,518
WAT,1Month,5Min,0.001,1.5,30,0.06666409531170969,-0.05755214878110071,0.7788737962452692,0.8504229524610171,0.0650925138459999,0.3298857448410768,-0.05409295428893638,0.5079365079365079,441
WAT,1Month,5Min,0.001,2.0,10,0.03313714604888629,-0.05755214878110071,0.432611689112656,0.4672182465208773,0.03164476028139596,0.31326202378978635,-0.0519675095933208,0.5151832460732985,477
