symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
WDAY,1Month,1Min,0.001,1.0,10,0.6863286355936054,-0.07988865692414748,2.825456113088979,3.264376981031661,0.6864662078022037,-0.005157432266813798,-0.11894208342078315,0.514052838673412,3558
WDAY,1Month,1Min,0.001,1.0,20,0.5594661414499216,-0.07988865692414748,2.441971529859771,2.6529532708263033,0.560564525783428,-0.04117723238366928,-0.11866763695654872,0.5130117181555319,3285
WDAY,1Month,1Min,0.001,1.0,30,0.5372903062485526,-0.07988865692414748,2.3888625443074107,2.5351427811636396,0.5379286904772594,-0.023932329453040718,-0.1210382666112655,0.512249443207127,3143
WDAY,1Month,1Min,0.001,1.5,10,0.7172485317555926,-0.07988865692414748,3.0606790596131175,3.369760470266147,0.717834263840351,-0.021958457921256884,-0.10808186740960689,0.5141661300708307,3106
WDAY,1Month,1Min,0.001,1.5,20,0.4477750084435934,-0.07988865692414748,2.196522180385826,2.239092544325887,0.4486332002658489,-0.032172676736901565,-0.12409879458101956,0.511640696608616,2727
WDAY,1Month,1Min,0.001,1.5,30,0.4469992200585091,-0.07988865692414748,2.2166464528072525,2.14508606642423,0.4482323577615229,-0.04622898944303506,-0.11032405249391297,0.5106082036775106,2474
WDAY,1Month,1Min,0.001,2.0,10,0.7100082083147186,-0.07988865692414748,3.2512939959820986,3.2288226800900333,0.7099377621565053,0.0026409497466374937,-0.10597156949723271,0.5177635410599883,2575
WDAY,1Month,1Min,0.001,2.0,20,0.41348003814118117,-0.07988865692414748,2.1935754016320197,1.9975164685113356,0.41262855635076107,0.031921124951466893,-0.1102675388135859,0.5101289134438306,2172
WDAY,1Month,1Min,0.001,2.0,30,0.5090493001133174,-0.07988865692414748,2.648817797118796,2.2958118737567568,0.5091801473248239,-0.004905319450209822,-0.10975983466826683,0.5125467164975974,1873
WDAY,1Month,1Min,0.01,1.0,10,0.360177637842505,-0.07988865692414748,1.6298835245448982,1.9911376411370625,0.36075992603738605,-0.021829350240585233,-0.1483981452640559,0.5054836722119532,4057
WDAY,1Month,1Min,0.01,1.0,20,0.3194453332405849,-0.07988865692414748,1.4935232691306912,1.7928439219907062,0.3193204579764361,0.004681437647978148,-0.14484058896549493,0.5034597642234752,3902
WDAY,1Month,1Min,0.01,1.0,30,0.3778018737115092,-0.07988865692414748,1.7233214368608578,2.049183130630282,0.37726865742285187,0.019989697921772187,-0.1212348076864252,0.5051560021152829,3782
WDAY,1Month,1Min,0.01,1.5,10,0.3899541632532715,-0.07988865692414748,1.7948277379500872,2.15538445925214,0.38891207272557937,0.03906683891476745,-0.14143355127261817,0.5069902400422053,3791
WDAY,1Month,1Min,0.01,1.5,20,0.35030770091960917,-0.07988865692414748,1.663375212266479,1.9382756184347743,0.34957062484943896,0.02763217910159866,-0.14809405094149314,0.5049617238446271,3527
WDAY,1Month,1Min,0.01,1.5,30,0.41249292098106394,-0.07988865692414748,1.9202586846584688,2.2037516741724095,0.41198026554844597,0.01921889382222994,-0.14488027261590716,0.5055026769779893,3362
WDAY,1Month,1Min,0.01,2.0,10,0.2888819260255948,-0.07988865692414748,1.513283973790641,1.6476924358425278,0.2878927980120156,0.037081331943551704,-0.11014362221085049,0.5085378103027695,3484
WDAY,1Month,1Min,0.01,2.0,20,0.24914884121314085,-0.07988865692414748,1.3437912171015411,1.3897441241144783,0.24760717627318862,0.057795339530667,-0.1324950647753867,0.5068167406467977,3154
WDAY,1Month,1Min,0.01,2.0,30,0.33990769180726055,-0.07988865692414748,1.7241284893768125,1.831598598265463,0.3397432499587409,0.006164745803026697,-0.12066741686666684,0.5072765072765073,2886
WDAY,1Month,1Min,0.1,1.0,10,0.09386942575864166,-0.07988865692414748,0.5499641596050967,0.6551993891078786,0.09214496100079793,0.06464830561129317,-0.21045112203524538,0.5051863672631939,4386
