symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
WELL,1Month,1Min,0.001,1.0,10,0.1699375389921367,-0.016006383777694366,2.10986188883161,2.8844283914476474,0.16951740744515534,0.02246090361613701,-0.037457838471693206,0.5130046274134354,3133
WELL,1Month,1Min,0.001,1.0,20,0.14329863446317037,-0.016006383777694366,1.821697754001882,2.402088986392264,0.14306721972266126,0.012371801687528864,-0.03985764638969869,0.5122201333105452,2925
WELL,1Month,1Min,0.001,1.0,30,0.13771170092151985,-0.016006383777694366,1.7712853908231316,2.2727508456923844,0.13737059249854425,0.018236201175931402,-0.04745573521482637,0.5110790848495766,2775
WELL,1Month,1Min,0.001,1.5,10,0.17136789574094924,-0.016006383777694366,2.266170434316371,2.8262031548595146,0.17069019688447873,0.03623086341722747,-0.0381861609878183,0.5173489994492381,2723
WELL,1Month,1Min,0.001,1.5,20,0.1316837918052267,-0.016006383777694366,1.7826932467881158,2.170128438344115,0.1312273534534626,0.02440192339599965,-0.03810484469090044,0.5126272912423625,2455
WELL,1Month,1Min,0.001,1.5,30,0.11085377956351694,-0.016006383777694366,1.5442043016633384,1.7780128112566662,0.11084914129195822,0.00024796940666401893,-0.044909384360970785,0.5090990788586834,2225
WELL,1Month,1Min,0.001,2.0,10,0.15086069484395526,-0.016006383777694366,2.226571406064558,2.4108659382429405,0.15023129497114399,0.033648722598423546,-0.037746127525760086,0.5198421398816049,2280
WELL,1Month,1Min,0.001,2.0,20,0.1245002107737494,-0.016006383777694366,1.9078351138332283,1.9369846491309255,0.12357258878425716,0.049592153333627854,-0.03677666543380492,0.5143903715332286,1911
WELL,1Month,1Min,0.001,2.0,30,0.11524462510810807,-0.016006383777694366,1.7655147247915064,1.7213253720980215,0.11464151844900965,0.03224304539278202,-0.03425325896988992,0.5153985507246377,1656
WELL,1Month,1Min,0.01,1.0,10,0.11496441637842847,-0.016006383777694366,1.4139152518941371,1.9513101855279755,0.11476827844618015,0.010485847167037963,-0.05202750311465519,0.5106715993170177,3514
WELL,1Month,1Min,0.01,1.0,20,0.117038471633367,-0.016006383777694366,1.4551859918599224,2.0206234020610587,0.11691586454380434,0.006554770859528314,-0.049958161817060906,0.5098154981549815,3387
WELL,1Month,1Min,0.01,1.0,30,0.13066453692050817,-0.016006383777694366,1.6246120746362789,2.2280282250659544,0.1306440165513772,0.0010970517128021042,-0.04911585984032211,0.510761715768585,3275
WELL,1Month,1Min,0.01,1.5,10,0.11284064756891543,-0.016006383777694366,1.4337794329990015,1.978870289164962,0.11258098855279286,0.013881785778987672,-0.05074426339263095,0.5076875768757687,3252
WELL,1Month,1Min,0.01,1.5,20,0.09602162830761385,-0.016006383777694366,1.2528963435392297,1.6825122992072465,0.0956542114913869,0.019642689903948733,-0.050957875932938976,0.5057433541188053,3047
WELL,1Month,1Min,0.01,1.5,30,0.10225441293617687,-0.016006383777694366,1.3389029662813783,1.7587471772372,0.10185992659857707,0.021089869757162375,-0.05811396931327994,0.5058419243986254,2910
WELL,1Month,1Min,0.01,2.0,10,0.10386951079731754,-0.016006383777694366,1.3833471691782224,1.8025311259043242,0.10339647519353694,0.025289239001108587,-0.053705738629011145,0.5064805583250249,3009
WELL,1Month,1Min,0.01,2.0,20,0.1456302951098667,-0.016006383777694366,1.9162653646149597,2.4778014386349776,0.14535511015799685,0.014711827105032507,-0.05628351089990465,0.5105795768169273,2717
WELL,1Month,1Min,0.01,2.0,30,0.12413238480499533,-0.016006383777694366,1.6683848136127621,2.0607970404140294,0.12359727925232038,0.02860759761900174,-0.06263442134490438,0.5092110532639167,2497
WELL,1Month,1Min,0.1,1.0,10,0.09023156655199926,-0.016006383777694366,1.1140910238601804,1.5928597262640796,0.09051283644711675,-0.015037137891087309,-0.04755440226794687,0.5049807411342808,3764
WELL,1Month,1Min,0.1,1.0,20,0.11298376750135608,-0.016006383777694366,1.3847836104841749,2.032976608282776,0.11334115892112548,-0.019106716194846652,-0.04559321287592775,0.5045374509007179,3691
WELL,1Month,1Min,0.1,1.0,30,0.11477751863150054,-0.016006383777694366,1.4099722077631398,2.046850619050994,0.11524761496639482,-0.02513210099128265,-0.04535361391904668,0.5051034482758621,3625
WELL,1Month,1Min,0.1,1.5,10,0.1149190107296636,-0.016006383777694366,1.4196735425652975,2.0768839992469963,0.11517335089757813,-0.013597431657503534,-0.046615119912645574,0.5051688490696071,3627
WELL,1Month,1Min,0.1,1.5,20,0.12815526776265163,-0.016006383777694366,1.5910763733169888,2.2944010595712614,0.12841881300484745,-0.01408954963268747,-0.0438454102502352,0.5068493150684932,3504
WELL,1Month,1Min,0.1,1.5,30,0.14109310235883266,-0.016006383777694366,1.7561744144359188,2.5039155322997844,0.14144846294883492,-0.01899814479146532,-0.043642064611022366,0.5058944886531094,3393
WELL,1Month,1Min,0.1,2.0,10,0.13332050830209274,-0.016006383777694366,1.6619378969695326,2.4459208293429584,0.13372890964307957,-0.021833788065938588,-0.04240371259856733,0.5061411025421308,3501
WELL,1Month,1Min,0.1,2.0,20,0.11544851788072763,-0.016006383777694366,1.505656155572374,2.1955875581950495,0.11575014298007223,-0.0161253596242973,-0.042178130434282604,0.5044771589011989,3294
WELL,1Month,1Min,0.1,2.0,30,0.11677922516198991,-0.016006383777694366,1.5181352766832652,2.0919768253581315,0.11715106480293372,-0.01987914117829439,-0.04153857750949985,0.506105197244834,3194
WELL,1Month,5Min,0.001,1.0,10,0.06891105924402496,-0.013134356463609831,0.9691528493178464,1.4707974826845087,0.06778877006425571,0.06673673433108976,-0.05499328616069277,0.4836795252225519,674
WELL,1Month,5Min,0.001,1.0,20,0.08944535554667565,-0.013134356463609831,1.2408352847989381,1.8312517342496077,0.08863889459532132,0.047956062687869616,-0.0527375380030578,0.48770816812053924,630
WELL,1Month,5Min,0.001,1.0,30,0.10366000954936005,-0.013134356463609831,1.4400228832607715,2.0548445411562115,0.10288036590911431,0.04636137586455353,-0.04507551412726843,0.4885883347421809,591
WELL,1Month,5Min,0.001,1.5,10,0.05690765110718399,-0.013134356463609831,0.846749297397456,1.2015132505511643,0.05627433305453734,0.037660149797802085,-0.051306079227509106,0.4835164835164835,591
WELL,1Month,5Min,0.001,1.5,20,0.10179492144421953,-0.013134356463609831,1.5093448606720858,2.050332259331912,0.10113327116027263,0.03934492109149084,-0.04168716479535799,0.48565965583174,523
WELL,1Month,5Min,0.001,1.5,30,0.12043472823499712,-0.013134356463609831,1.7793384212089762,2.4091644166234643,0.11900902707517168,0.08477907588698289,-0.040598280534429085,0.4868282402528978,474
WELL,1Month,5Min,0.001,2.0,10,0.036279029250009476,-0.013134356463609831,0.6202291228409487,0.7841010043351856,0.03632344324575873,-0.0026410706690670875,-0.04756926294683791,0.4876360039564787,505
WELL,1Month,5Min,0.001,2.0,20,0.09354322855640196,-0.013134356463609831,1.584600826398527,1.8429044524165235,0.09312365924296455,0.024949617539845974,-0.03403098195195591,0.4955640050697085,394
WELL,1Month,5Min,0.001,2.0,30,0.09897465670302386,-0.013134356463609831,1.6708896349815061,1.8113466851481073,0.09802567615940845,0.056430965892102496,-0.03237235488254729,0.49847560975609756,328
WELL,1Month,5Min,0.01,1.0,10,0.12243983984037032,-0.013134356463609831,1.6219490347312637,2.478453676294439,0.12190714599461241,0.03167654852687958,-0.041218530841888985,0.49566377585056703,749
WELL,1Month,5Min,0.01,1.0,20,0.12532441242297887,-0.013134356463609831,1.6491247120766555,2.4820659350484737,0.12491290484138154,0.024470228033328108,-0.038717256970668745,0.49164345403899723,718
WELL,1Month,5Min,0.01,1.0,30,0.1428642643297957,-0.013134356463609831,1.8669347016301243,2.7225136725142245,0.14249397085341056,0.022019438308343457,-0.03665780711559665,0.4974245768947756,679
WELL,1Month,5Min,0.01,1.5,10,0.11112021067903743,-0.013134356463609831,1.5263380867200087,2.2513648943077573,0.11082078782833386,0.01780512866048489,-0.041428398179026896,0.4931506849315068,693
WELL,1Month,5Min,0.01,1.5,20,0.1334121540084543,-0.013134356463609831,1.821653668004126,2.564859998225962,0.133017977557904,0.02343963528665079,-0.0331031042085177,0.49521531100478466,627
WELL,1Month,5Min,0.01,1.5,30,0.1564173821878565,-0.013134356463609831,2.1144903368987156,2.989895775646144,0.1556708344261486,0.04439333510175589,-0.032372354882547937,0.49872557349192864,588
WELL,1Month,5Min,0.01,2.0,10,0.10194306764709093,-0.013134356463609831,1.472390143452841,2.1699592852986593,0.10151660104695495,0.025359763514970192,-0.035618986199684774,0.49295774647887325,639
WELL,1Month,5Min,0.01,2.0,20,0.12432033367739592,-0.013134356463609831,1.7873900080958722,2.4428779664098603,0.1240982497295077,0.013206184017976231,-0.032372354882547236,0.4982517482517482,572
WELL,1Month,5Min,0.01,2.0,30,0.13450340766462587,-0.013134356463609831,1.947546625357866,2.5312988249068096,0.13418585124374502,0.018883438312943732,-0.03237235488254707,0.5039761431411531,503
WELL,1Month,5Min,0.1,1.0,10,0.16057957874886553,-0.013134356463609831,1.9957220366552029,2.8966174246695564,0.1606946600968537,-0.006843292696388181,-0.040903555483146566,0.5123652504755866,788
WELL,1Month,5Min,0.1,1.0,20,0.1458262837712745,-0.013134356463609831,1.85631580319764,2.612591389229659,0.14605326718494463,-0.01349752991362065,-0.04030795104731183,0.5105960264900662,755
WELL,1Month,5Min,0.1,1.0,30,0.14622130181938076,-0.013134356463609831,1.896454336939171,2.636420419313725,0.14686138853207847,-0.03806264701130869,-0.03913965851169002,0.5113871635610766,724
WELL,1Month,5Min,0.1,1.5,10,0.13112531880388478,-0.013134356463609831,1.7146572517973988,2.4330945473361374,0.13163726249360702,-0.03044264404339649,-0.040903555483146566,0.510862409479921,759
WELL,1Month,5Min,0.1,1.5,20,0.128794423671847,-0.013134356463609831,1.7047200900089827,2.3396251523819878,0.12904244903664963,-0.014748785942680644,-0.04041443945490361,0.508138711960368,706
WELL,1Month,5Min,0.1,1.5,30,0.11957582494104502,-0.013134356463609831,1.6045027439055384,2.1498837943933946,0.119841730198164,-0.015812010684481907,-0.03876817692503331,0.508955223880597,670
WELL,1Month,5Min,0.1,2.0,10,0.1566344467794456,-0.013134356463609831,2.0945128042162535,2.901264488000614,0.1573512003685059,-0.042621629715620446,-0.04022922703248708,0.5197183098591549,710
WELL,1Month,5Min,0.1,2.0,20,0.10924060173665251,-0.013134356463609831,1.4893990233030265,1.9920878923119913,0.10969109999497229,-0.026788801963044024,-0.04022922703248661,0.5041260315078769,666
WELL,1Month,5Min,0.1,2.0,30,0.12009223487544252,-0.013134356463609831,1.6427237952479163,2.1305902531255914,0.12033376861403863,-0.014362762499410103,-0.037489015292584235,0.5127610208816705,646
WELL,1Month,15Min,0.001,1.0,10,0.130022194073649,-0.012204316275563065,1.736269934559859,2.4840441168480387,0.12824646442125334,0.07379300110375799,-0.031644340904678714,0.5177777777777778,225
WELL,1Month,15Min,0.001,1.0,20,0.14539606312097697,-0.012204316275563065,1.9368228584217098,2.6306112788557536,0.14417954226795385,0.05055427470548134,-0.03420779294184813,0.5294117647058824,204
WELL,1Month,15Min,0.001,1.0,30,0.10345680393635392,-0.012204316275563065,1.5255873578532362,1.9584239129040575,0.10322542493639125,0.009615287313919984,-0.03420779294184705,0.5306666666666666,187
WELL,1Month,15Min,0.001,1.5,10,0.11184479896207744,-0.012204316275563065,1.6020701138827733,2.187953206367424,0.11049970607900886,0.055897270438112406,-0.034207792941847136,0.5164556962025316,197
WELL,1Month,15Min,0.001,1.5,20,0.12503021623443633,-0.012204316275563065,1.8809618593279311,2.2534692903923528,0.12392777861266492,0.04581338185711336,-0.03166994480651249,0.5457317073170732,164
WELL,1Month,15Min,0.001,1.5,30,0.08590780270098564,-0.012204316275563065,1.3858422709740887,1.531286739276955,0.08738965089391079,-0.06158033413960333,-0.029713563196031464,0.5344827586206896,145
WELL,1Month,15Min,0.001,2.0,10,0.08112363928078947,-0.012204316275563065,1.2421620315647932,1.5321680891703966,0.07932047750542677,0.07493298245038532,-0.034207792941846886,0.5110410094637224,158
WELL,1Month,15Min,0.001,2.0,20,0.09626103827183541,-0.012204316275563065,1.6211444985702448,1.7074864337482882,0.09695963696147275,-0.029031273879975276,-0.031669944806512314,0.5615384615384615,130
WELL,1Month,15Min,0.001,2.0,30,0.0764597979351116,-0.012204316275563065,1.4658768529162987,1.4662272500970952,0.07728157140722228,-0.03414997922273234,-0.026281147155617968,0.5488372093023256,107
WELL,1Month,15Min,0.01,1.0,10,0.12771548419080836,-0.012204316275563065,1.69266094316213,2.283779361920565,0.1275143369485559,0.00835896311667021,-0.03683011256156575,0.5253549695740365,246
WELL,1Month,15Min,0.01,1.0,20,0.1165347426201182,-0.012204316275563065,1.5908265480391877,1.9921808709994193,0.1177276368538154,-0.04957243653904415,-0.0349756862510848,0.5401785714285714,224
WELL,1Month,15Min,0.01,1.0,30,0.12204465263553366,-0.012204316275563065,1.68790606565739,2.048174180584309,0.12264016879210311,-0.024747530875405935,-0.034975686251084895,0.5408653846153846,208
WELL,1Month,15Min,0.01,1.5,10,0.10371766419405137,-0.012204316275563065,1.4295627351103406,1.8482882361749093,0.10341359204398878,0.012636155776820038,-0.03634112291752244,0.5209713024282561,226
WELL,1Month,15Min,0.01,1.5,20,0.12704612914233726,-0.012204316275563065,1.753117756490244,2.109440028465735,0.12767923102178866,-0.026309459678233543,-0.03497568625108517,0.5502392344497608,209
WELL,1Month,15Min,0.01,1.5,30,0.09310933445030267,-0.012204316275563065,1.376595192350837,1.511237139714351,0.09461739223429949,-0.06266951141401099,-0.03497568625108523,0.5471698113207547,185
WELL,1Month,15Min,0.01,2.0,10,0.09964644595981342,-0.012204316275563065,1.418454461926592,1.7432447078170483,0.09909816425041888,0.022784635449398113,-0.0363411229175225,0.5264423076923077,208
WELL,1Month,15Min,0.01,2.0,20,0.12693543007891517,-0.012204316275563065,1.8522871376846342,2.1656173100829172,0.12767023147895698,-0.030535729609051387,-0.03497568625108479,0.550531914893617,188
WELL,1Month,15Min,0.01,2.0,30,0.11748681756802726,-0.012204316275563065,1.8280122337310871,1.8922140785946784,0.118632844683154,-0.047624805981806774,-0.03497568625108481,0.5627009646302251,155
WELL,1Month,15Min,0.1,1.0,10,0.09390917942695864,-0.012204316275563065,1.154765336339769,1.2696761545548398,0.09528900969875725,-0.05734083261630674,-0.04457102976921037,0.5303867403314917,271
WELL,1Month,15Min,0.1,1.0,20,0.10952339826424029,-0.012204316275563065,1.3407412881900524,1.4228319108246472,0.11123044514617861,-0.07093878973811972,-0.04457102976920973,0.5426356589147286,258
WELL,1Month,15Min,0.1,1.0,30,0.09312247885538216,-0.012204316275563065,1.1607361969670875,1.206483224062274,0.09449785452803966,-0.05715571533852005,-0.04457102976921041,0.5346938775510204,245
WELL,1Month,15Min,0.1,1.5,10,0.09428103350844208,-0.012204316275563065,1.1660179995870477,1.2536235443072268,0.09556831135562759,-0.053494683422134544,-0.04457102976921187,0.5326923076923077,260
