symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
WYNN,1Month,1Min,0.001,1.0,10,0.21342523029419236,-0.10471573380343768,1.559429806596154,1.753041796365487,0.2126067749163494,0.05300903328546103,-0.07800418070717322,0.517306052855925,2932
WYNN,1Month,1Min,0.001,1.0,20,0.20932635852463255,-0.10471573380343768,1.5521915633865742,1.701907732333862,0.20841272086351023,0.059173719790228195,-0.07911449355339424,0.5181375203031944,2770
WYNN,1Month,1Min,0.001,1.0,30,0.1902514500450545,-0.10471573380343768,1.4427110080082362,1.545068489257558,0.18947539159642537,0.050263104438590236,-0.08704121102115872,0.5179282868525896,2635
WYNN,1Month,1Min,0.001,1.5,10,0.1849110398107574,-0.10471573380343768,1.473838117426837,1.4938497526176922,0.18473412536333053,0.011458246944441771,-0.07153676532598033,0.5210280373831776,2568
WYNN,1Month,1Min,0.001,1.5,20,0.13568251752029825,-0.10471573380343768,1.1310177954756728,1.0925380844551535,0.1352607594253287,0.027316075500140997,-0.08048831593333333,0.5236853541938288,2301
WYNN,1Month,1Min,0.001,1.5,30,0.1130605364999806,-0.10471573380343768,0.9821912893764532,0.9118122728780325,0.1128617080553503,0.01287755438455527,-0.0788049745488236,0.5183397683397684,2072
WYNN,1Month,1Min,0.001,2.0,10,0.10487959219021148,-0.10471573380343768,0.94972864181589,0.873122038392499,0.10452648357329801,0.022869843529748836,-0.08055472308899962,0.5174129353233831,2110
WYNN,1Month,1Min,0.001,2.0,20,0.07752744186203553,-0.10471573380343768,0.7461996089562649,0.6272172662169225,0.07733893666190787,0.012208947119860133,-0.07975483712885646,0.5236167341430499,1852
WYNN,1Month,1Min,0.001,2.0,30,0.01304121318500151,-0.10471573380343768,0.1753836351643839,0.13817705418832427,0.0129309546116365,0.007141135049924401,-0.09052611098259826,0.5163378545006165,1622
WYNN,1Month,1Min,0.01,1.0,10,0.16884077325033475,-0.10471573380343768,1.2126991503041178,1.4074921843963837,0.16686049667226563,0.12825689693425202,-0.08409030483852173,0.511673444795903,3319
WYNN,1Month,1Min,0.01,1.0,20,0.14830819413049023,-0.10471573380343768,1.1136357365997127,1.3111933880463953,0.14621734801189337,0.1354181724452519,-0.09591195919909554,0.5109350237717908,3155
WYNN,1Month,1Min,0.01,1.0,30,0.1464578893110453,-0.10471573380343768,1.1048632193212744,1.2880368203055146,0.1443338538012317,0.1375677551731084,-0.09846530986383457,0.510359339592101,3089
WYNN,1Month,1Min,0.01,1.5,10,0.21118126707566054,-0.10471573380343768,1.5306669968243252,1.7824215223133801,0.20912810630288683,0.13297739949025078,-0.09015082744158667,0.5119765357666612,3068
WYNN,1Month,1Min,0.01,1.5,20,0.058150790116662465,-0.10471573380343768,0.5112194770089649,0.5637465539149003,0.05606296392205492,0.13522258053443642,-0.11353846751077487,0.5075888237323215,2899
WYNN,1Month,1Min,0.01,1.5,30,0.04522646108762807,-0.10471573380343768,0.4177001428526245,0.44656045996160343,0.04300913811563219,0.14360971949005,-0.1162733502758,0.5069317767238234,2741
