symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
WY,1Month,1Min,0.001,1.0,10,0.14534482161603912,-0.125,1.631033788551711,2.0106903867373846,0.1452662403920843,-0.06869426216016095,-0.050500856694434645,0.5028630921395106,2881
WY,1Month,1Min,0.001,1.0,20,0.14835005302114146,-0.125,1.6762761336772305,2.012651223589359,0.14827451682608844,-0.06603235384239158,-0.046203925267538325,0.5034977908689249,2716
WY,1Month,1Min,0.001,1.0,30,0.11443369584592777,-0.125,1.3331419370328992,1.5620261769257318,0.11435654334170325,-0.0674453016226716,-0.04257330222714982,0.4999033816425121,2587
WY,1Month,1Min,0.001,1.5,10,0.15569970180691461,-0.125,1.8274729390755549,2.1787487911555683,0.1556063830735336,-0.08157752211919725,-0.04692424647455205,0.5042735042735043,2515
WY,1Month,1Min,0.001,1.5,20,0.15326085068110396,-0.125,1.80699593436386,1.9478454035337878,0.1531640415347554,-0.08462877700391536,-0.0429617685704468,0.5072723204296263,2234
WY,1Month,1Min,0.001,1.5,30,0.1321413643889362,-0.125,1.602883295226247,1.6723477008240537,0.13203971199337755,-0.08886265647538684,-0.045469864295461494,0.5027571325821146,2085
WY,1Month,1Min,0.001,2.0,10,0.12819387983545805,-0.125,1.6239279647704923,1.720125389520478,0.12808070654941406,-0.09893400725727176,-0.050076944249433916,0.5067187881749328,2046
WY,1Month,1Min,0.001,2.0,20,0.18946702184141584,-0.125,2.325835985624735,2.332781515868927,0.18936272323630532,-0.09117592424520644,-0.033658903226348715,0.5101573676680973,1747
WY,1Month,1Min,0.001,2.0,30,0.1223865295958726,-0.125,1.5720133611544218,1.4353059522791585,0.12227019140947473,-0.10170070499596832,-0.040018199939440745,0.5,1547
WY,1Month,1Min,0.01,1.0,10,0.12472979043167376,-0.125,1.369918378905559,1.7543685673490959,0.12469552412927615,-0.029954971960148888,-0.04167871427785773,0.5042353303557677,3246
WY,1Month,1Min,0.01,1.0,20,0.09691918753942796,-0.125,1.0935751917583658,1.3666068829195812,0.09688226254017362,-0.0322791559024243,-0.0426874509547618,0.5033557046979866,3129
WY,1Month,1Min,0.01,1.0,30,0.09077959547266556,-0.125,1.035248239998293,1.272660393927269,0.09074424313209183,-0.030904366579264847,-0.04297997307717978,0.504263693014103,3049
WY,1Month,1Min,0.01,1.5,10,0.10941098778934899,-0.125,1.2884749469706045,1.6077889994015084,0.10948720956619991,0.06663167685349158,-0.04008880734792762,0.5037037037037037,3037
WY,1Month,1Min,0.01,1.5,20,0.08240600836858425,-0.125,1.0114675287660664,1.2089103211090886,0.08249186603547917,0.07505519488382394,-0.05001843480495454,0.5024647887323944,2840
WY,1Month,1Min,0.01,1.5,30,0.0965056271193534,-0.125,1.128119907709271,1.3240464966800287,0.09646769654334762,-0.03315821262245547,-0.051238715971642396,0.5011082379017362,2707
WY,1Month,1Min,0.01,2.0,10,0.0722690249379272,-0.125,0.9013064799614398,1.0732228616718194,0.07233954826641895,0.06165019799900062,-0.03406211894226596,0.5031914893617021,2820
WY,1Month,1Min,0.01,2.0,20,0.06629018280877808,-0.125,0.8499536434008441,0.9619137599393467,0.06637566116830808,0.07472361135466188,-0.047949443217984895,0.5003933910306845,2542
WY,1Month,1Min,0.01,2.0,30,0.08064219249120352,-0.125,1.027977748146707,1.135895685223173,0.08072979992786998,0.07658481146850112,-0.04378544759393067,0.5022269353128314,2357
WY,1Month,1Min,0.1,1.0,10,0.13027692989014317,-0.125,1.4036133656450263,1.8650701230786968,0.13029116058183693,0.012440209209444773,-0.06802953769606071,0.5032899546717357,3419
WY,1Month,1Min,0.1,1.0,20,0.10690990827120328,-0.125,1.1795056972718603,1.5455682937770026,0.10692740546837415,0.015295728280003243,-0.06543853693379816,0.5022448368751871,3341
WY,1Month,1Min,0.1,1.0,30,0.08540023465759305,-0.125,0.9629949932259644,1.2487901336511313,0.08541630587344755,0.014049161613663267,-0.06827535664378909,0.5006875477463713,3272
WY,1Month,1Min,0.1,1.5,10,0.0872552744142534,-0.125,0.9969814494810322,1.2966014284846248,0.08726441870694504,0.007993772657312551,-0.06499851925501055,0.5018867924528302,3312
WY,1Month,1Min,0.1,1.5,20,0.08891396044126254,-0.125,1.0176320621650405,1.2994972102109252,0.08892890345340242,0.013062906655529472,-0.0696817981561032,0.5006265664160401,3192
WY,1Month,1Min,0.1,1.5,30,0.07924724310636311,-0.125,0.9187660877051405,1.1536441498987933,0.07926609953356643,0.016483942200414745,-0.06667984327832599,0.4998394863563403,3115
WY,1Month,1Min,0.1,2.0,10,0.09526679476876332,-0.125,1.1020036592893265,1.414877233860617,0.09527228410152866,0.0047986738445774816,-0.06168471455456827,0.5014080100125157,3196
WY,1Month,1Min,0.1,2.0,20,0.09970872437897826,-0.125,1.160357131578502,1.4856803000047878,0.09972034971087188,0.010162651542026741,-0.06684977462969863,0.501627074520013,3073
WY,1Month,1Min,0.1,2.0,30,0.10445611666322208,-0.125,1.1713102103459703,1.5249719781090871,0.10447073773802516,0.012781474950864175,-0.06331713250800002,0.49965905216501877,2933
WY,1Month,5Min,0.001,1.0,10,0.0909898833828533,-0.125,1.1030637528482539,1.3700721255133446,0.08938396086044877,-0.11100285140578774,-0.058573764975902234,0.4963343108504399,682
WY,1Month,5Min,0.001,1.0,20,0.07898849982621003,-0.125,0.987990764530365,1.1855128290983323,0.0774018707403074,-0.10966927121418572,-0.05968028698918182,0.49553208773354995,615
WY,1Month,5Min,0.001,1.0,30,0.08875778327661954,-0.125,1.1027720984717513,1.2730032939326386,0.08710665663546528,-0.11412740194076126,-0.04774601049698207,0.5026362038664324,569
WY,1Month,5Min,0.001,1.5,10,0.11738392603690029,-0.125,1.4890469276262694,1.915143054510593,0.11575063287418597,-0.11289473540193441,-0.041851633768033046,0.49482758620689654,580
WY,1Month,5Min,0.001,1.5,20,0.1161095276256845,-0.125,1.50910222150758,1.8091003557402465,0.11411484229852699,-0.13787449636128465,-0.04530067322362996,0.4965312190287413,504
WY,1Month,5Min,0.001,1.5,30,0.0877323697424055,-0.125,1.1677658001052715,1.2046077970259776,0.08589550060962153,-0.1269660949103592,-0.0478248318478987,0.49658314350797267,439
WY,1Month,5Min,0.001,2.0,10,0.15246874022623347,-0.125,1.960537626091301,2.484921249255027,0.15085170914628532,-0.11177068518677223,-0.04614920677372887,0.5019762845849802,506
WY,1Month,5Min,0.001,2.0,20,0.14384531342345297,-0.125,1.892949160811384,2.1017566770849783,0.1420930017434164,-0.12112140549874308,-0.04835197946823704,0.5049019607843137,408
WY,1Month,5Min,0.001,2.0,30,0.11124160936278793,-0.125,1.5435713783497218,1.5729124383897168,0.10958103440409463,-0.11478047839568964,-0.047846851993489745,0.4954819277108434,332
WY,1Month,5Min,0.01,1.0,10,0.02364214166249967,-0.125,0.3111318819465689,0.4224026467624379,0.023025092704972886,-0.04265099516749181,-0.07874902762235907,0.490699166132136,779
WY,1Month,5Min,0.01,1.0,20,0.019014172900564397,-0.125,0.25811385590868935,0.34164886451759363,0.018198360131737285,-0.056389733807001484,-0.08144911768109145,0.48902195608782434,751
WY,1Month,5Min,0.01,1.0,30,0.021562923337341555,-0.125,0.2870641608236605,0.38052274927280405,0.020823488098151214,-0.051110448253227,-0.08372886694558107,0.4896978021978022,728
WY,1Month,5Min,0.01,1.5,10,0.043707258234340296,-0.125,0.5406010373277846,0.7261464945857382,0.04274271917370878,-0.06666983277751688,-0.0744887518027545,0.4928522804628999,734
WY,1Month,5Min,0.01,1.5,20,0.030642930211852937,-0.125,0.39662188831442824,0.520573143097972,0.02966552570381794,-0.06755910441202838,-0.07342034424179547,0.49023861171366595,691
WY,1Month,5Min,0.01,1.5,30,0.046782872397284736,-0.125,0.5865664377323104,0.7351026296765679,0.04604579259173998,-0.05094763849913909,-0.07533562497934625,0.4962574850299401,668
WY,1Month,5Min,0.01,2.0,10,0.060074604630340644,-0.125,0.7543896309728154,0.9973778924902136,0.05933952750146107,-0.05080921163409557,-0.07185000724298476,0.4974838245866283,695
