symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ZBH,1Month,1Min,0.001,1.0,10,0.04166535779867875,-0.07655601659751043,0.5086765406850193,0.5535701048650633,0.039179078805602424,0.10014513164772033,-0.0668498269136065,0.49641760491299897,2931
ZBH,1Month,1Min,0.001,1.0,20,0.013147440514036157,-0.07655601659751043,0.19415045006787618,0.20276760231144142,0.011032274268017235,0.08519703651692197,-0.0826740952502126,0.495166879445559,2741
ZBH,1Month,1Min,0.001,1.0,30,0.03115315189909662,-0.07655601659751043,0.40153704612095587,0.40647498504776347,0.029164494413854092,0.08010137487242329,-0.07933920473022747,0.49653979238754326,2601
ZBH,1Month,1Min,0.001,1.5,10,0.024475835668062773,-0.07655601659751043,0.32696482024571294,0.33085078556201186,0.021779073336673734,0.10862321543625661,-0.06388516920960248,0.49551307062036676,2563
ZBH,1Month,1Min,0.001,1.5,20,0.008255486933582912,-0.07655601659751043,0.14183318501029687,0.1394247786302071,0.00569514484253552,0.10312832811006649,-0.06434540269090837,0.49391996462524873,2261
ZBH,1Month,1Min,0.001,1.5,30,0.05120158692018206,-0.07655601659751043,0.6668231679844844,0.6360365457726616,0.04863627497093145,0.10332850962847911,-0.04259669889382146,0.4958382877526754,2102
ZBH,1Month,1Min,0.001,2.0,10,0.0159243131172615,-0.07655601659751043,0.2406992757448884,0.2244801955249409,0.013222504539695815,0.10882647379507093,-0.04332233971161948,0.4980004704775347,2125
ZBH,1Month,1Min,0.001,2.0,20,0.010027698200105739,-0.07655601659751043,0.1701304697775444,0.14386655442475824,0.008142431516516224,0.07593688429371587,-0.07720908326987125,0.49448373408769447,1767
ZBH,1Month,1Min,0.001,2.0,30,0.04584577047632821,-0.07655601659751043,0.6376218274657031,0.521145345346649,0.0431653233878592,0.10796605179748497,-0.04968871310128035,0.4979345408325389,1573
ZBH,1Month,1Min,0.01,1.0,10,0.039583569681937325,-0.07655601659751043,0.4683494091854685,0.553661139315191,0.037489496268339605,0.08434743577399383,-0.08767867718618445,0.49190161967606477,3334
ZBH,1Month,1Min,0.01,1.0,20,0.04879203829608736,-0.07655601659751043,0.5674330012985596,0.6597518356644221,0.046676995091916765,0.08519208049946234,-0.07698937932048869,0.49344439302791915,3241
ZBH,1Month,1Min,0.01,1.0,30,0.04364877922588328,-0.07655601659751043,0.5167938917863161,0.5907412932546953,0.041456050453042285,0.08832118689632713,-0.08126191945942736,0.49220241884150223,3142
ZBH,1Month,1Min,0.01,1.5,10,0.07286012036696965,-0.07655601659751043,0.8247951968287249,0.9432609098594137,0.07067385850709575,0.08806070532839068,-0.07079830482692527,0.49400287861826325,3126
ZBH,1Month,1Min,0.01,1.5,20,0.04097834310874582,-0.07655601659751043,0.49550972094453366,0.5447796356504268,0.038816325952700376,0.08708414997662904,-0.0899767775109704,0.4915687276443536,2935
ZBH,1Month,1Min,0.01,1.5,30,0.03493876835390419,-0.07655601659751043,0.43414906899449623,0.4626953334762216,0.0323286574626777,0.10513297161940921,-0.0859447214863022,0.4929805615550756,2778
ZBH,1Month,1Min,0.01,2.0,10,0.07120353884234576,-0.07655601659751043,0.8396280463264916,0.9222419504959636,0.06900973566547378,0.08836446294596816,-0.07979375744282996,0.4963579604578564,2883
ZBH,1Month,1Min,0.01,2.0,20,0.04276234000749923,-0.07655601659751043,0.5343445928084852,0.5429732263646175,0.04043622759318083,0.09369376269035706,-0.08580129624612369,0.493639167309175,2594
ZBH,1Month,1Min,0.01,2.0,30,0.02653598340636676,-0.07655601659751043,0.35371828980647835,0.3488966610150952,0.024036451262491643,0.10067895690835613,-0.09187327996503108,0.4936524453694069,2402
ZBH,1Month,1Min,0.1,1.0,10,0.07181551169743505,-0.07655601659751043,0.7908697278666016,0.9574252417540058,0.06979556566535919,0.08136165002674643,-0.08225840353362934,0.49907814494397956,3525
ZBH,1Month,1Min,0.1,1.0,20,0.06566593958732558,-0.07655601659751043,0.7310054246943234,0.874440857117388,0.06359577905661769,0.08338424587786922,-0.08332838516031545,0.4983326083804553,3448
ZBH,1Month,1Min,0.1,1.0,30,0.0806742245223846,-0.07655601659751043,0.8850695871484588,1.0460649419366805,0.07847927980536189,0.08841044317947946,-0.07850297929655699,0.4990371796770849,3375
ZBH,1Month,1Min,0.1,1.5,10,0.09763822351975393,-0.07655601659751043,1.062420677316425,1.2692612762767341,0.09553591836306646,0.08467900314744964,-0.07926378111446455,0.5000736919675756,3392
ZBH,1Month,1Min,0.1,1.5,20,0.08967511090050939,-0.07655601659751043,0.9900735232637123,1.1519209885883197,0.0874973687427285,0.08771753921948658,-0.08538527489950035,0.49884134095473504,3236
ZBH,1Month,1Min,0.1,1.5,30,0.08172958431917121,-0.07655601659751043,0.9112631292431536,1.0337879513331028,0.07926043371236399,0.09945521530984766,-0.0803066144173382,0.49863847509210313,3121
ZBH,1Month,1Min,0.1,2.0,10,0.13463898906634175,-0.07655601659751043,1.4447339635690097,1.7005363666110966,0.13238863610769055,0.09064223843162332,-0.07402482026307947,0.5006155740227762,3249
ZBH,1Month,1Min,0.1,2.0,20,0.07313742363792075,-0.07655601659751043,0.8434932975162027,0.939373060194463,0.07072724565156353,0.09707985001294325,-0.07263192060130308,0.4984377569478704,3040
ZBH,1Month,1Min,0.1,2.0,30,0.10787030912934092,-0.07655601659751043,1.2064700984219943,1.3249794101266317,0.10551760922326303,0.09476468347995948,-0.07038924110599315,0.49878682842287697,2885
ZBH,1Month,5Min,0.001,1.0,10,0.14317765994780918,-0.07655601659751043,1.5619902146368032,1.7257241486082424,0.1422549056062408,0.06399936068900766,-0.047789103886164704,0.520723436322532,663
ZBH,1Month,5Min,0.001,1.0,20,0.14456596620648132,-0.07655601659751043,1.588782963891787,1.6885895130620803,0.1437504400148868,0.05656235092698769,-0.05497552939649233,0.5148760330578512,605
ZBH,1Month,5Min,0.001,1.0,30,0.16995548061320864,-0.07655601659751043,1.9419751153768545,2.176967397357964,0.16940325593122774,0.03830058013425226,-0.059644877574057335,0.5118829981718465,547
ZBH,1Month,5Min,0.001,1.5,10,0.14168256543698643,-0.07655601659751043,1.6203114478771865,1.6942553444589814,0.14048089862986057,0.0833438586553189,-0.05833022116360932,0.5209424083769634,573
ZBH,1Month,5Min,0.001,1.5,20,0.1471190753629792,-0.07655601659751043,1.7563834371753493,1.8876495212417546,0.1455262227850368,0.1104752826054268,-0.056544274350003226,0.5120724346076458,497
ZBH,1Month,5Min,0.001,1.5,30,0.1576911619524619,-0.07655601659751043,1.9051288471588177,1.9048196101506534,0.1562898254188981,0.09719232759804744,-0.0409997896977879,0.5116822429906542,428
ZBH,1Month,5Min,0.001,2.0,10,0.09653410299797938,-0.07655601659751043,1.1831173040225282,1.106384247678521,0.09554902261480379,0.06832210037978911,-0.03955184351848751,0.5134264232008593,465
ZBH,1Month,5Min,0.001,2.0,20,0.14353531456717872,-0.07655601659751043,1.7948810547917322,1.7129552946760844,0.14193831295164785,0.11076304690105368,-0.04436281072123398,0.5148387096774194,387
ZBH,1Month,5Min,0.001,2.0,30,0.1330771198242604,-0.07655601659751043,1.6963596986862746,1.4815792589012216,0.13134015073372535,0.12047075404908782,-0.04888999063533426,0.5133858267716536,317
ZBH,1Month,5Min,0.01,1.0,10,0.17734518038502722,-0.07655601659751043,1.828285919265487,2.189581233599103,0.17680082296713834,0.03775493125504539,-0.05681962200727336,0.5182926829268293,738
ZBH,1Month,5Min,0.01,1.0,20,0.17239824842668217,-0.07655601659751043,1.7961693224373105,2.0918184485159914,0.17179973411724936,0.041511084198008336,-0.057116702847744553,0.5140388768898488,694
ZBH,1Month,5Min,0.01,1.0,30,0.12462707355163616,-0.07655601659751043,1.3485500365085354,1.5219993918948973,0.12395149370441574,0.046856109333494586,-0.05956463512027007,0.5042868277474669,641
ZBH,1Month,5Min,0.01,1.5,10,0.1270267278900472,-0.07655601659751043,1.3932350523527561,1.5654261901760242,0.126472806645036,0.03841824845009471,-0.056288986565480106,0.5159090909090909,660
ZBH,1Month,5Min,0.01,1.5,20,0.11824777598645975,-0.07655601659751043,1.3040595843858414,1.4352810397425033,0.1176540360600665,0.04117994789395561,-0.061332888108513985,0.5077551020408163,612
ZBH,1Month,5Min,0.01,1.5,30,0.1460126692385808,-0.07655601659751043,1.5826442202120166,1.7105172342982882,0.14542312828113596,0.04088872051506957,-0.05725712979560583,0.5084889643463497,589
ZBH,1Month,5Min,0.01,2.0,10,0.09373782743646952,-0.07655601659751043,1.1148966898846246,1.1342912949166992,0.09348417289916369,0.0175926869071651,-0.05580287814473525,0.514410480349345,572
ZBH,1Month,5Min,0.01,2.0,20,0.12374881638946467,-0.07655601659751043,1.4105294860965232,1.4372993523358473,0.12302987985111205,0.04986319408948138,-0.057257129795606265,0.5116063138347261,538
ZBH,1Month,5Min,0.01,2.0,30,0.13215274566859514,-0.07655601659751043,1.5638624972616082,1.6578434462709082,0.13103592094273558,0.07745947673917472,-0.05725712979560555,0.512639029322548,494
ZBH,1Month,5Min,0.1,1.0,10,0.07341707540795195,-0.07655601659751043,0.8244270393508338,0.904651510115323,0.07104150920894003,0.16476185606753216,-0.08263799835072648,0.51434034416826,784
ZBH,1Month,5Min,0.1,1.0,20,0.08528156795167918,-0.07655601659751043,0.9622078649356369,1.0600464875412994,0.08289436711271773,0.1655687983760904,-0.08234604864893688,0.5143790849673202,765
